"lineup_name","canonical_artist","action","status","style","confidence","reason","source_url","notes"
"ZIK","Zik","include","producer_with_tracks","dark_psy","high","Zig confirma o evento/lineup; Changa Reporter e What Is Life confirmam faixas darkpsy/forest.","https://zig.tickets/eventos/pachamama-festival-11-anos",""
"POLYZIK","Polyzik","include","collab_project_with_public_tracks","psycore","medium_high","Projeto associado a Zik + Polyphonia; Friscoo e Left Right confirmam faixas publicas.","https://www.youtube.com/watch?v=5j_E0lXJnvY",""
"OXIDAKSI (3H RETRO SET)","Oxidaksi","include","producer_with_tracks","hi_tech","high","Poison Turtle, Evolution e Savage confirmam hi-tech; Retro Set e formato.","https://www.deezer.com/track/493592102",""
"DEPURATUS (3H)","Depuratus","include","producer_with_tracks","psycore","high","Conscious War, Hagios e Pi confirmam psycore/darkpsy high-BPM.","https://www.deezer.com/track/2068859787",""
"AUDIOSYNTAX (3H)","Audiosyntax","include","producer_with_tracks","dark_experimental","high","Alien Speech/Honey Badger/Te Deum confirmam catalogo; primario dark experimental, nao hitech generico.","https://www.deezer.com/track/3863925681",""
"KASATKA (3H)","Kasatka","include","producer_with_tracks","dark_experimental","high","Irreversible Echoes tem tags darkpsy/experimental/hightech-adjacent; mantido dark experimental.","https://kasatkamusic.bandcamp.com/album/irreversible-echoes",""
"CALYPTRATUS (3H)","Calyptratus","include","producer_with_tracks","psycore","medium_high","13 Trumpets e May Fair confirmam faixas; banco v14 ja ancorava Psycore.","https://www.deezer.com/track/111169026",""
"OPUS SUMMUM","Opus Summum","include","producer_with_tracks","dark_psy","medium_high","Sonic Vibrations em Sacred Manuscript confirma faixa publica; pouca discografia aberta.","https://www.deezer.com/track/110384814",""
"KAOS","Kaos","include","producer_with_tracks","dark_psy","medium_high","Identidade grega confirmada via Polykaos/StrangeKaos; buscas diretas em streaming tem muito homonimo.","https://bandcamp.com/search?q=Kaos+psytrance",""
"POLYKAOS","Polykaos","include","producer_with_tracks","psycore","high","Numbers/No More Faith/No Problem confirmam projeto Polyphonia + Kaos.","https://www.deezer.com/track/3540300671",""
"STRANGEKAOS","StrangeKaos","include","producer_with_tracks","dark_psy","high","Twilight Zone/Ethereal Powers e descricao Stranger + Kaos confirmam projeto.","https://strangekaos.bandcamp.com/",""
"STRANGER","Stranger","include","producer_with_collab_release","dark_psy","medium","Pouca faixa solo verificavel; incluido por ser parte do projeto StrangeKaos e aparecer no lineup como produtor.","https://strangekaos.bandcamp.com/",""
"BETHAD","Bethad","include","producer_with_tracks","dark_psy","high","Reminiscing the Past e Anima/Tetraktyz confirmam darkpsy/forest.","https://www.deezer.com/track/877960112",""
"PENURNA","Penurna","include","producer_with_tracks","dark_psy","medium_high","Sacral Chakra e Supranormal confirmam faixa publica; grafia e Penurna, nao Penumbra.","https://www.youtube.com/watch?v=DDgOOFv-pCQ",""
"KHALINE","Khaline","include","producer_with_tracks","psycore","medium_high","Magic Beans 196 BPM e Sinchronicity 184 BPM apontam psycore/high-BPM, nao hi-tech primario.","https://www.youtube.com/watch?v=9OZwTwTmS9w",""
"YARA","Yara","include","producer_with_tracks","dark_psy","medium_high","Dark Star 170 BPM e No Signs of Life apontam darkpsy; corrige seed antiga hi_tech.","https://www.youtube.com/watch?v=iYCfpRLQYWA",""
"DARK NOTES","Dark Notes","include","producer_with_tracks","dark_psy","medium_high","Mighty Darkness em YouTube/SoundCloud confirma projeto brasileiro de darkpsy.","https://www.youtube.com/watch?v=cDbZ7sTRycc",""
"YARA VS DARK NOTES (4H INEDITO)","Yara / Dark Notes","alias_only","live_collab_not_separate_artist","dark_psy","medium_high","Tratado como set/collab ao vivo; os artistas individuais entram no banco.","https://zig.tickets/eventos/pachamama-festival-11-anos",""
"ALCOHBATA","Alcohbata","include","producer_with_tracks","dark_psy","high","Katayy/Deezer confirmam album e faixas; grafia correta Alcohbata.","https://katayyrecords.bandcamp.com/album/alcohbata-welcome-to-this-world",""
"UMBRA LUMEN","Umbra Lumen","include","producer_with_tracks","dark_experimental","high","Vysehrad e Sahasrara confirmam projeto experimental de Khaline + Maramba.","https://www.deezer.com/track/3857759251",""
"VUTTUN","Vuttun","include","producer_with_tracks","slambient","high","The Endless Knot confirma Nabaat 185 BPM, Synergic Transformation 185 BPM e Flegetonte 180 BPM.","https://theendlessknotrec.bandcamp.com/track/vuttun-nabaat-185bpm",""
"VUCSETICS","Vucsetics","include","producer_with_tracks","psycore","medium_high","New Moon 185 BPM, Sun Down 180 BPM e Night Work 177 BPM confirmam projeto high-BPM.","https://www.youtube.com/watch?v=8DGrxq6HtTc",""
"KATOPTROS","Katoptros","exclude","dj_only_or_unverified_project","","medium","Encontrei confirmacao de lineup/showcase, mas nao faixa publica confiavel sob a identidade.","https://zig.tickets/eventos/pachamama-festival-11-anos",""
"TURTLE TREE","Turtle Tree","exclude","dj_only_or_unverified_project","","medium","Aparece em lineups locais, mas nao encontrei release/faixa propria verificavel.","https://zig.tickets/eventos/pachamama-festival-11-anos",""
