"style","artist","country","city","artist_bio","artist_genre","artist_profile_hint","scene_role","source_anchor","source_anchor_url","primary_social_url","social_discovery_links","label_links","cover_art_url","profile_tracks","status","confidence","source_note"
"acid_trance","Emmanuel Top","France","Lille","Emmanuel Top is included as a Acid Trance reference artist in electronic_subgenre_expansion_v15_20260621.","Acid Trance","Recommend Emmanuel Top when the user asks for Acid Trance or adjacent electronic club music.","acid_trance_303","Acid Phase","https://www.deezer.com/track/7897971","https://www.google.com/search?q=Emmanuel%20Top%20official","https://open.spotify.com/search/Emmanuel%20Top;https://soundcloud.com/search?q=Emmanuel%20Top;https://www.youtube.com/results?search_query=Emmanuel%20Top%20official","https://www.beatport.com/search?q=Emmanuel%20Top%20Acid%20Phase;https://www.discogs.com/search/?q=Emmanuel%20Top%20Acid%20Phase&type=all","https://cdn-images.dzcdn.net/images/cover/834cd506f152bc70e5e8727efcb6dc78/500x500-000000-80-0-0.jpg","Acid Phase (135); Climax V 1.1; La pipe à eau; Stress; This Is a ... ?; This Is Cocaine; Tone; Turkish Bazar","published","high","Artist profile generated from electronic_subgenre_expansion_v15_20260621."
"acid_trance","Union Jack","United Kingdom","London","Union Jack is included as a Acid Trance reference artist in electronic_subgenre_expansion_v15_20260621.","Acid Trance","Recommend Union Jack when the user asks for Acid Trance or adjacent electronic club music.","acid_trance_anchor_artist_depth","Cockroach","https://www.deezer.com/track/1641314002","https://www.google.com/search?q=Union%20Jack%20official","https://open.spotify.com/search/Union%20Jack;https://soundcloud.com/search?q=Union%20Jack;https://www.youtube.com/results?search_query=Union%20Jack%20official","https://www.beatport.com/search?q=Union%20Jack%20Cockroach;https://www.discogs.com/search/?q=Union%20Jack%20Cockroach&type=all","https://cdn-images.dzcdn.net/images/cover/236a8caf810cc8a5cf4ce61a862de2a9/500x500-000000-80-0-0.jpg","Cockroach; Lollipop Man; Papillon (Original Mix); The Dark Major; Two Full Moons & A Trout (Freedom Fighters, Domestic & Pixel Remix) (138); Two Full Moons & A Trout (Original Remastered Mix); Two Full Moons And A Trout; Vowel","published","high","Artist profile generated from electronic_subgenre_expansion_v15_20260621."
"ambient_dub","Sounds From The Ground","United Kingdom","London","Sounds From The Ground is included as a Ambient Dub reference artist in electronic_subgenre_expansion_v15_20260621.","Ambient Dub","Recommend Sounds From The Ground when the user asks for Ambient Dub or adjacent electronic club music.","ambient_dub_deep_artist_depth","Mosaic","https://www.deezer.com/track/6371252","https://www.google.com/search?q=Sounds%20From%20The%20Ground%20official","https://open.spotify.com/search/Sounds%20From%20The%20Ground;https://soundcloud.com/search?q=Sounds%20From%20The%20Ground;https://www.youtube.com/results?search_query=Sounds%20From%20The%20Ground%20official","https://www.beatport.com/search?q=Sounds%20From%20The%20Ground%20bodega%20Bay;https://www.discogs.com/search/?q=Sounds%20From%20The%20Ground%20bodega%20Bay&type=all","https://cdn-images.dzcdn.net/images/cover/9b15350af26223f6989fb2b35261cbd4/500x500-000000-80-0-0.jpg","bodega Bay; Corran; Drawn To The Woman; Gentle Healing (Trust); Lean on Me; Tending the Vine; Treasure; Triangle (90)","published","high","Artist profile generated from electronic_subgenre_expansion_v15_20260621."
"ambient_dub","The Orb","United Kingdom","London","The Orb is included as a Ambient Dub reference artist in electronic_subgenre_expansion_v15_20260621.","Ambient Dub","Recommend The Orb when the user asks for Ambient Dub or adjacent electronic club music.","ambient_dub_anchor","U.F.Orb","https://www.deezer.com/track/1108660","https://www.google.com/search?q=The%20Orb%20official","https://open.spotify.com/search/The%20Orb;https://soundcloud.com/search?q=The%20Orb;https://www.youtube.com/results?search_query=The%20Orb%20official","https://www.beatport.com/search?q=The%20Orb%20Blue%20Room;https://www.discogs.com/search/?q=The%20Orb%20Blue%20Room&type=all","https://cdn-images.dzcdn.net/images/cover/a68449b55e9531feee626425917f68f7/500x500-000000-80-0-0.jpg","Blue Room (110); Earth (Gaia); Little Fluffy Clouds; Metallic Spheres In Colour: Movement 1 - Excerpt; Round Side: Seamless Solar Spheres of Affection Mix: Movement 1; Round Side: Seamless Solar Spheres of Affection Mix: Movement 2; Super Nova At The End Of The Universe; Toxygene","published","high","Artist profile generated from electronic_subgenre_expansion_v15_20260621."
"ambient_house","The KLF","United Kingdom","London","The KLF is included as a Ambient House reference artist in electronic_subgenre_expansion_v15_20260621.","Ambient House","Recommend The KLF when the user asks for Ambient House or adjacent electronic club music.","ambient_house_rave_artist_depth","Solid State Logik 1","https://www.deezer.com/track/1181472102","https://www.google.com/search?q=The%20KLF%20official","https://open.spotify.com/search/The%20KLF;https://soundcloud.com/search?q=The%20KLF;https://www.youtube.com/results?search_query=The%20KLF%20official","https://www.beatport.com/search?q=The%20KLF%203AM%20Eternal;https://www.discogs.com/search/?q=The%20KLF%203AM%20Eternal&type=all","https://cdn-images.dzcdn.net/images/cover/2f906742179b93091b5f089fd95cd90f/500x500-000000-80-0-0.jpg","3AM Eternal; America: What Time Is Love?; Church of The KLF; Justified & Ancient; Last Train To Trancentral; Last Train To Trancentral (da Force, Over & Out); What Time Is Love : What Time Is Love; What Time Is Love? (120)","published","high","Artist profile generated from electronic_subgenre_expansion_v15_20260621."
"ambient_house","The Orb","United Kingdom","London","The Orb is included as a Ambient House reference artist in electronic_subgenre_expansion_v15_20260621.","Ambient House","Recommend The Orb when the user asks for Ambient House or adjacent electronic club music.","ambient_house_anchor_artist_depth","Doughnuts Forever","https://www.deezer.com/track/3652881492","https://www.google.com/search?q=The%20Orb%20official","https://open.spotify.com/search/The%20Orb;https://soundcloud.com/search?q=The%20Orb;https://www.youtube.com/results?search_query=The%20Orb%20official","https://www.beatport.com/search?q=The%20Orb%20Doughnuts%20Forever;https://www.discogs.com/search/?q=The%20Orb%20Doughnuts%20Forever&type=all","https://cdn-images.dzcdn.net/images/cover/6c2cd07b8077d53f8f1a59ce90ae65e9/500x500-000000-80-0-0.jpg","Doughnuts Forever; Earth (Gaia); Little Fluffy Clouds (112); Metallic Spheres In Colour: Movement 1 - Excerpt; Round Side: Seamless Solar Spheres of Affection Mix: Movement 1; Round Side: Seamless Solar Spheres of Affection Mix: Movement 2; Super Nova At The End Of The Universe; Toxygene","published","high","Artist profile generated from electronic_subgenre_expansion_v15_20260621."
"atmospheric_jungle","LTJ Bukem","United Kingdom","London","LTJ Bukem is included as a Atmospheric Jungle reference artist in electronic_subgenre_expansion_v15_20260621.","Atmospheric Jungle","Recommend LTJ Bukem when the user asks for Atmospheric Jungle or adjacent electronic club music.","atmospheric_jungle_anchor_artist_depth","Producer 01","https://www.deezer.com/track/71701361","https://www.google.com/search?q=LTJ%20Bukem%20official","https://open.spotify.com/search/LTJ%20Bukem;https://soundcloud.com/search?q=LTJ%20Bukem;https://www.youtube.com/results?search_query=LTJ%20Bukem%20official","https://www.beatport.com/search?q=LTJ%20Bukem%20Atlantis%20(I%20Need%20You);https://www.discogs.com/search/?q=LTJ%20Bukem%20Atlantis%20(I%20Need%20You)&type=all","https://cdn-images.dzcdn.net/images/cover/e3343ca3a597ffe82cc24ce18523c5a2/500x500-000000-80-0-0.jpg","Atlantis (I Need You); Atlantis (Marky & S.P.Y. Rework) (164); Enchanted; Inner Guidance; Music; Orchestral Jam; Rhodes to Freedom; Twilight Voyage","published","high","Artist profile generated from electronic_subgenre_expansion_v15_20260621."
"atmospheric_jungle","PFM","United Kingdom","London","PFM is included as a Atmospheric Jungle reference artist in electronic_subgenre_expansion_v15_20260621.","Atmospheric Jungle","Recommend PFM when the user asks for Atmospheric Jungle or adjacent electronic club music.","atmospheric_jungle_liquid_artist_depth","Www.PfmPfm.It/(Il Best)","https://www.deezer.com/track/871574","https://www.google.com/search?q=PFM%20official","https://open.spotify.com/search/PFM;https://soundcloud.com/search?q=PFM;https://www.youtube.com/results?search_query=PFM%20official","https://www.beatport.com/search?q=PFM%20Altaloma;https://www.discogs.com/search/?q=PFM%20Altaloma&type=all","https://cdn-images.dzcdn.net/images/cover/f165ddbe498572c5e466cf5840fc328e/500x500-000000-80-0-0.jpg","Altaloma; E' Festa (Celebration); Impressioni di settembre; Intro A ""Out Of A Roundabout""; Sei; The Mystics; The Western (Mikes Ricochet Mix); Words 2B Heard Meets the Western (164)","published","high","Artist profile generated from electronic_subgenre_expansion_v15_20260621."
"balearic_trance","Chicane","United Kingdom","United Kingdom","Chicane is included as a Balearic Trance reference artist in electronic_subgenre_expansion_v15_20260621.","Balearic Trance","Recommend Chicane when the user asks for Balearic Trance or adjacent electronic club music.","balearic_trance_anchor_artist_depth","Everything We Had To Leave Behind (Back Pedal Brakes Remixes)","https://www.deezer.com/track/1570874172","https://www.google.com/search?q=Chicane%20official","https://open.spotify.com/search/Chicane;https://soundcloud.com/search?q=Chicane;https://www.youtube.com/results?search_query=Chicane%20official","https://www.beatport.com/search?q=Chicane%201000%20More%20Suns;https://www.discogs.com/search/?q=Chicane%201000%20More%20Suns&type=all","https://cdn-images.dzcdn.net/images/cover/e355c8de04eb93762fb9ffa712f6ee8d/500x500-000000-80-0-0.jpg","1000 More Suns; Don't Give Up; Love On The Run; Motion; Offshore (128); One Thousand Suns; Sailing; Saltwater","published","high","Artist profile generated from electronic_subgenre_expansion_v15_20260621."
"balearic_trance","Energy 52","Germany","Frankfurt","Energy 52 is included as a Balearic Trance reference artist in electronic_subgenre_expansion_v15_20260621.","Balearic Trance","Recommend Energy 52 when the user asks for Balearic Trance or adjacent electronic club music.","balearic_trance_classic_artist_depth","Aria","https://www.deezer.com/track/1495758812","https://www.google.com/search?q=Energy%2052%20official","https://open.spotify.com/search/Energy%2052;https://soundcloud.com/search?q=Energy%2052;https://www.youtube.com/results?search_query=Energy%2052%20official","https://www.beatport.com/search?q=Energy%2052%20Aria;https://www.discogs.com/search/?q=Energy%2052%20Aria&type=all","https://cdn-images.dzcdn.net/images/cover/a7e7e7ae5526c4dbc34eff52e949e6ca/500x500-000000-80-0-0.jpg","Aria; Café Del Mar (132); Café Del Mar (Sunday Session 054); Cafe Del Mar [Mix Cut]","published","high","Artist profile generated from electronic_subgenre_expansion_v15_20260621."
