artist,style,canonical_subgenres,confidence,status,country,city,stage,booking,official_names,evidence_tags,source_note,source_urls,social_discovery_links
1200 Micrograms,full_on,full-on psytrance / goa trance / psytrance,high,published,International,Ibiza Town,PSY LAGOON,1200 MICS,1200 Micrograms,full-on; psychedelic trance; psytrance,"curated_known_artist_or_scene_source; stages: PSY LAGOON. MusicBrainz tags/disambiguation matched: full-on, psychedelic trance, psytrance. Official HIVE Psy Lagoon stage context.",https://www.hive-festival.de/;https://musicbrainz.org/artist/bf346e67-b4b1-41c0-bcc7-a8f4df4fbbbb,https://musicbrainz.org/search?query=1200%20Micrograms&type=artist&method=indexed;https://www.beatport.com/search?q=1200%20Micrograms;https://www.discogs.com/search/?q=1200%20Micrograms&type=all;https://soundcloud.com/search?q=1200%20Micrograms;https://www.youtube.com/results?search_query=1200%20Micrograms
2HOT2PLAY,hard_trance,neo-rave / hard trance / eurodance trance,medium_low,needs_review,,,GROOVE BEACH,2HOT2PLAY,2HOT2PLAY,,official_hive_stage_context; stages: GROOVE BEACH. Official HIVE Groove Beach stage context; individual artist check recommended.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=2HOT2PLAY&type=artist&method=indexed;https://www.beatport.com/search?q=2HOT2PLAY;https://www.discogs.com/search/?q=2HOT2PLAY&type=all;https://soundcloud.com/search?q=2HOT2PLAY;https://www.youtube.com/results?search_query=2HOT2PLAY
3LEEZA,hard_trance,bounce / hard trance / eurodance rave,medium_low,needs_review,,,BOUNCE TEMPLE,3LEEZA B2B HANÀ,3LEEZA,,official_hive_stage_context; stages: BOUNCE TEMPLE. Official HIVE Bounce Temple stage context; app has no dedicated bounce style.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=3LEEZA&type=artist&method=indexed;https://www.beatport.com/search?q=3LEEZA;https://www.discogs.com/search/?q=3LEEZA&type=all;https://soundcloud.com/search?q=3LEEZA;https://www.youtube.com/results?search_query=3LEEZA
44 ALL STARS,hard_techno,hard techno / industrial techno / schranz,medium,published,,,TECHNO CASTLE,44 ALL STARS,44 ALL STARS,,official_hive_stage_context; stages: TECHNO CASTLE. Official HIVE Techno Castle stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=44%20ALL%20STARS&type=artist&method=indexed;https://www.beatport.com/search?q=44%20ALL%20STARS;https://www.discogs.com/search/?q=44%20ALL%20STARS&type=all;https://soundcloud.com/search?q=44%20ALL%20STARS;https://www.youtube.com/results?search_query=44%20ALL%20STARS
6EURONEUNZIG,hard_trance,neo-rave / hard trance / eurodance trance,medium_low,needs_review,,,GROOVE BEACH,6EURONEUNZIG,6EURONEUNZIG,,official_hive_stage_context; stages: GROOVE BEACH. Official HIVE Groove Beach stage context; individual artist check recommended.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=6EURONEUNZIG&type=artist&method=indexed;https://www.beatport.com/search?q=6EURONEUNZIG;https://www.discogs.com/search/?q=6EURONEUNZIG&type=all;https://soundcloud.com/search?q=6EURONEUNZIG;https://www.youtube.com/results?search_query=6EURONEUNZIG
A.N.I.,hard_techno,hard techno / industrial techno / schranz,medium,published,,,TECHNO CASTLE; WARM-UP PARTY,A.N.I.; A.N.I. F2F JOVYNN,A.N.I.,,official_hive_stage_context; stages: TECHNO CASTLE; WARM-UP PARTY. Official HIVE Techno Castle stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=A.N.I.&type=artist&method=indexed;https://www.beatport.com/search?q=A.N.I.;https://www.discogs.com/search/?q=A.N.I.&type=all;https://soundcloud.com/search?q=A.N.I.;https://www.youtube.com/results?search_query=A.N.I.
Ace Ventura,progressive_psy,progressive psytrance / psytrance,high,published,Israel,,PSY LAGOON,ACE VENTURA,ACE VENTURA,psytrance,curated_known_artist_or_scene_source; stages: PSY LAGOON. MusicBrainz tags/disambiguation matched: psytrance. Official HIVE Psy Lagoon stage context.,https://www.hive-festival.de/;https://musicbrainz.org/artist/0c205acd-5003-4b0d-b603-fb91b93b6eae,https://musicbrainz.org/search?query=Ace%20Ventura&type=artist&method=indexed;https://www.beatport.com/search?q=Ace%20Ventura;https://www.discogs.com/search/?q=Ace%20Ventura&type=all;https://soundcloud.com/search?q=Ace%20Ventura;https://www.youtube.com/results?search_query=Ace%20Ventura
ACHIM FEUERVOGEL,hard_trance,bounce / hard trance / eurodance rave,medium_low,needs_review,,,BOUNCE TEMPLE,ZWILLING. B2B ACHIM FEUERVOGEL FEAT. FRONS,ACHIM FEUERVOGEL,,official_hive_stage_context; stages: BOUNCE TEMPLE. Official HIVE Bounce Temple stage context; app has no dedicated bounce style.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=ACHIM%20FEUERVOGEL&type=artist&method=indexed;https://www.beatport.com/search?q=ACHIM%20FEUERVOGEL;https://www.discogs.com/search/?q=ACHIM%20FEUERVOGEL&type=all;https://soundcloud.com/search?q=ACHIM%20FEUERVOGEL;https://www.youtube.com/results?search_query=ACHIM%20FEUERVOGEL
Acid Asian,hard_trance,hard trance / eurodance rave / bounce,medium_high,published,,,BOUNCE TEMPLE,MACON B2B ACID ASIAN,ACID ASIAN,,curated_known_artist_or_scene_source; stages: BOUNCE TEMPLE. Official HIVE Bounce Temple stage context; app has no dedicated bounce style.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=Acid%20Asian&type=artist&method=indexed;https://www.beatport.com/search?q=Acid%20Asian;https://www.discogs.com/search/?q=Acid%20Asian&type=all;https://soundcloud.com/search?q=Acid%20Asian;https://www.youtube.com/results?search_query=Acid%20Asian
ADRIÁN MILLS,hard_trance,neo-rave / hard trance / eurodance trance,medium_low,needs_review,,,GROOVE BEACH; WARM-UP PARTY,ADRIÁN MILLS; ADRIÁN MILLS F2F PEGASSI,ADRIÁN MILLS,,official_hive_stage_context; stages: GROOVE BEACH; WARM-UP PARTY. Official HIVE Groove Beach stage context; individual artist check recommended.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=ADRI%C3%81N%20MILLS&type=artist&method=indexed;https://www.beatport.com/search?q=ADRI%C3%81N%20MILLS;https://www.discogs.com/search/?q=ADRI%C3%81N%20MILLS&type=all;https://soundcloud.com/search?q=ADRI%C3%81N%20MILLS;https://www.youtube.com/results?search_query=ADRI%C3%81N%20MILLS
