style,artist,song,label,bpm_exact,bpm_text,release_date,duration_sec,duration_text,source,source_url,status,confidence,notes
psycore,Anacamptis Morio,Wobbashaket,Popol-Vuh Records,160,160 BPM,2019-09-13,456,07:36,popol_vuh_bandcamp_xa_xa_namaxitacor_2019,https://popol-vuh.bandcamp.com/album/v-a-xa-xa-namaxitacor-compiled-by-mita,ready,high,Album page lists track/BPM/duration and album tags include psycore.
psycore,Mukhtar,Organism,Popol-Vuh Records,160,160 BPM,2019-09-13,444,07:24,popol_vuh_bandcamp_xa_xa_namaxitacor_2019,https://popol-vuh.bandcamp.com/album/v-a-xa-xa-namaxitacor-compiled-by-mita,ready,high,Album page lists track/BPM/duration and album tags include psycore.
psycore,Romeodark & Sadhana,Aurora Borealis,Popol-Vuh Records,186.7,186.7 BPM,2019-09-13,483,08:03,popol_vuh_bandcamp_xa_xa_namaxitacor_2019,https://popol-vuh.bandcamp.com/album/v-a-xa-xa-namaxitacor-compiled-by-mita,ready,high,Album page lists track/BPM/duration and album tags include psycore.
psycore,Dattatreya,Colori Nell Ombra,Popol-Vuh Records,196,196 BPM,2019-09-13,637,10:37,popol_vuh_bandcamp_xa_xa_namaxitacor_2019,https://popol-vuh.bandcamp.com/album/v-a-xa-xa-namaxitacor-compiled-by-mita,ready,high,Album page lists track/BPM/duration and album tags include psycore.
psycore,Indacoruna,Propolisergica,Popol-Vuh Records,198,198 BPM,2019-09-13,535,08:55,popol_vuh_bandcamp_xa_xa_namaxitacor_2019,https://popol-vuh.bandcamp.com/album/v-a-xa-xa-namaxitacor-compiled-by-mita,ready,high,Album page lists track/BPM/duration and album tags include psycore.
psycore,Eodem Tempore,Basking Birds,Popol-Vuh Records,200,200 BPM,2019-09-13,655,10:55,popol_vuh_bandcamp_xa_xa_namaxitacor_2019,https://popol-vuh.bandcamp.com/album/v-a-xa-xa-namaxitacor-compiled-by-mita,ready,high,Album page lists track/BPM/duration and album tags include psycore.
psycore,Whrikk,Voidsurf,Popol-Vuh Records,200,200 BPM,2019-09-13,405,06:45,popol_vuh_bandcamp_xa_xa_namaxitacor_2019,https://popol-vuh.bandcamp.com/album/v-a-xa-xa-namaxitacor-compiled-by-mita,ready,high,Album page lists track/BPM/duration and album tags include psycore.
psycore,Baco Ames,Dirty Garlic,Popol-Vuh Records,200,200 BPM,2019-09-13,336,05:36,popol_vuh_bandcamp_xa_xa_namaxitacor_2019,https://popol-vuh.bandcamp.com/album/v-a-xa-xa-namaxitacor-compiled-by-mita,ready,high,Album page lists track/BPM/duration and album tags include psycore.
psycore,Parasitorum,State Of Confusion,Popol-Vuh Records,200,200 BPM,2019-09-13,408,06:48,popol_vuh_bandcamp_xa_xa_namaxitacor_2019,https://popol-vuh.bandcamp.com/album/v-a-xa-xa-namaxitacor-compiled-by-mita,ready,high,Album page lists track/BPM/duration and album tags include psycore.
psycore,Cinder Vomit,Creating Energy,Popol-Vuh Records,200,200 BPM,2019-09-13,740,12:20,popol_vuh_bandcamp_xa_xa_namaxitacor_2019,https://popol-vuh.bandcamp.com/album/v-a-xa-xa-namaxitacor-compiled-by-mita,ready,high,Album page lists track/BPM/duration and album tags include psycore.
psycore,Chastrophob,Inoportuno,Popol-Vuh Records,210,210 BPM,2019-09-13,374,06:14,popol_vuh_bandcamp_xa_xa_namaxitacor_2019,https://popol-vuh.bandcamp.com/album/v-a-xa-xa-namaxitacor-compiled-by-mita,ready,high,Album page lists track/BPM/duration and album tags include psycore.
psycore,Neormm,The Scam Of The Embodied Soul,Popol-Vuh Records,220,220 BPM,2019-09-13,418,06:58,popol_vuh_bandcamp_xa_xa_namaxitacor_2019,https://popol-vuh.bandcamp.com/album/v-a-xa-xa-namaxitacor-compiled-by-mita,ready,high,Album page lists track/BPM/duration and album tags include psycore.
psycore,Setu Ketu,Koh Chang,Popol-Vuh Records,220,220 BPM,2019-09-13,514,08:34,popol_vuh_bandcamp_xa_xa_namaxitacor_2019,https://popol-vuh.bandcamp.com/album/v-a-xa-xa-namaxitacor-compiled-by-mita,ready,high,Album page lists track/BPM/duration and album tags include psycore.
psycore,Bolon Yokte Meets Lumnia,Kambo Icarongo,Popol-Vuh Records,222,222 BPM,2019-09-13,549,09:09,popol_vuh_bandcamp_xa_xa_namaxitacor_2019,https://popol-vuh.bandcamp.com/album/v-a-xa-xa-namaxitacor-compiled-by-mita,ready,high,Album page lists track/BPM/duration and album tags include psycore; title ASCII-normalized.
psycore,Mother Of Datura,Between The Layers,Popol-Vuh Records,232,232 BPM,2019-09-13,579,09:39,popol_vuh_bandcamp_xa_xa_namaxitacor_2019,https://popol-vuh.bandcamp.com/album/v-a-xa-xa-namaxitacor-compiled-by-mita,ready,high,Album page lists track/BPM/duration and album tags include psycore.
psycore,Der Sandmann,La Riata Del Chahuistle,Popol-Vuh Records,232,232 BPM,2019-09-13,613,10:13,popol_vuh_bandcamp_xa_xa_namaxitacor_2019,https://popol-vuh.bandcamp.com/album/v-a-xa-xa-namaxitacor-compiled-by-mita,ready,high,Album page lists track/BPM/duration and album tags include psycore.
psycore,Chellolive & Ocram,Emozioni,Popol-Vuh Records,240,240 BPM,2019-09-13,684,11:24,popol_vuh_bandcamp_xa_xa_namaxitacor_2019,https://popol-vuh.bandcamp.com/album/v-a-xa-xa-namaxitacor-compiled-by-mita,ready,high,Album page lists track/BPM/duration and album tags include psycore.
psycore,Mirror Me,Abyssal Tuning,Popol-Vuh Records,240,240 BPM,2019-09-13,420,07:00,popol_vuh_bandcamp_xa_xa_namaxitacor_2019,https://popol-vuh.bandcamp.com/album/v-a-xa-xa-namaxitacor-compiled-by-mita,ready,high,Album page lists track/BPM/duration and album tags include psycore.
psycore,Nephilim,Automato,Popol-Vuh Records,,300-384 BPM,2019-09-13,488,08:08,popol_vuh_bandcamp_xa_xa_namaxitacor_2019,https://popol-vuh.bandcamp.com/album/v-a-xa-xa-namaxitacor-compiled-by-mita,ready,high,Album page lists track/BPM range/duration and album tags include psycore; bpm_exact left blank because source gives a range.
psycore,Luuli,Form Follows Function,Popol-Vuh Records,373,373 BPM,2019-09-13,517,08:37,popol_vuh_bandcamp_xa_xa_namaxitacor_2019,https://popol-vuh.bandcamp.com/album/v-a-xa-xa-namaxitacor-compiled-by-mita,ready,high,Album page lists track/BPM/duration and album tags include psycore.
