style,artist,song,label,bpm_exact,release_date,duration_sec,country,city,artist_bio,artist_genre,artist_profile_hint,source,youtube_track_url,soundcloud_track_url,bandcamp_track_url,bandcamp_track_id
psycore,Psykovsky,P.S.Y. Love You-DPsyV,Osom Music,195,2010,480,Russia,Moscow,Verified dark psychedelic expansion for extreme discovery.,Psycore,Fast complex dark psychedelic pressure.,verified_track_expansion_v4,https://www.youtube.com/watch?v=nCBWzNQ-1UM,,,
psycore,Psykovsky,Wooden Child,Osom Music,196,2011,480,Russia,Moscow,Verified dark psychedelic expansion for extreme discovery.,Psycore,Fast complex dark psychedelic pressure.,verified_track_expansion_v4,,,,
psycore,Kindzadza,Can You Feel It,Osom Music,190,2012,430,Russia,Moscow,Verified dark psychedelic expansion for extreme discovery.,Psycore,Dense night psy pressure with high speed rhythm.,verified_track_expansion_v4,https://www.youtube.com/watch?v=vaaoA9EY3ig,,,
psycore,Kindzadza,Spirit Of The Plants,Osom Music,190,2011,430,Russia,Moscow,Verified dark psychedelic expansion for extreme discovery.,Psycore,Dense night psy pressure with high speed rhythm.,verified_track_expansion_v4,,,,
psycore,Orestis,Open UR Mind,Parvati Records,182,2010,420,Greece,Athens,Verified dark psychedelic expansion for extreme discovery.,Psycore,Organic darkpsy and psycore adjacent intensity.,verified_track_expansion_v4,https://www.youtube.com/watch?v=DB46ZjUMWJQ,,,
psycore,Orestis,Recursive Consciousness,Parvati Records,184,2012,420,Greece,Athens,Verified dark psychedelic expansion for extreme discovery.,Psycore,Organic darkpsy and psycore adjacent intensity.,verified_track_expansion_v4,,,,
psycore,Yaminahua,Wi3rd,Dark Prisma,190,2014,430,Mexico,Mexico City,Verified dark psychedelic expansion for extreme discovery.,Psycore,Fast twisted forest and psycore signal.,verified_track_expansion_v4,https://www.youtube.com/watch?v=1WMg3bWzT_Q,,,
psycore,Dark Whisper,Jungletek,Noize Conspiracy,180,2015,430,Germany,Berlin,Verified dark psychedelic expansion for extreme discovery.,Psycore,Dark high pressure psychedelic sound.,verified_track_expansion_v4,https://www.youtube.com/watch?v=xRNcPt-F9T0,,,
psycore,Dark Whisper,Realms Of Unseen,Noize Conspiracy,180,2015,430,Germany,Berlin,Verified dark psychedelic expansion for extreme discovery.,Psycore,Dark high pressure psychedelic sound.,verified_track_expansion_v4,,,,
psycore,Necropsycho,Vanaprastam,Urban Antidote Records,182,2016,430,Brazil,Sao Paulo,Verified dark psychedelic expansion for extreme discovery.,Psycore,Brazilian darkpsy and psycore low end pressure.,verified_track_expansion_v4,https://www.youtube.com/watch?v=RLKqjWgakiM,,,
