"style","artist","country","city","artist_bio","artist_genre","artist_profile_hint","source","source_url","status","confidence","scene_role","aliases","source_note","social_discovery_links","label_links","profile_tracks"
"dark_psy","Zik","Greece","","Zik e projeto grego de darkpsy/forest com catalogo em Parvati, Sangoma, Dark Prisma, Sanaton e Lycanthrop.","darkpsy / forest / psycore-adjacent","Usar Zik no eixo dark_psy/forest/psycore-adjacent; nao misturar com homonimos mainstream nem classificar como hi_tech.","pachamama_2026_research","https://zikmusic1.bandcamp.com/","published","high","producer_with_verified_tracks","ZIK; Zik Music","Zig confirma Zik na Pachamama; Deezer/catalogo local confirma Changa Reporter e What Is Life em selos darkpsy.","https://ektoplazm.com/artist/zik;https://sangomarecs.bandcamp.com/music","https://parvati-records.com/;https://sangomarecs.bandcamp.com/music","Changa Reporter;What Is Life"
"psycore","Polyzik","Greece","","Polyzik e projeto colaborativo associado a Zik e Polyphonia, usado no circuito grego de darkpsy/psycore.","darkpsy / psycore / experimental psychedelic collaboration","Tratar Polyzik como projeto colaborativo de produtores, nao como DJ; usar psycore/darkpsy underground.","pachamama_2026_research","https://zikmusic1.bandcamp.com/","published","medium_high","collab_project_with_public_tracks","Poly Zik; Zik + Polyphonia; Zik & Polyphonia","A pagina de Zik e resultados de cena listam Polyzik como side project de Zik e Polyphonia; YouTube confirma Friscoo e Left Right.","https://bandcamp.com/search?q=Polyzik;https://www.youtube.com/results?search_query=Polyzik+Zik+Polyphonia","","Friscoo;Left Right"
"hi_tech","Oxidaksi","Israel","","Oxidaksi e produtor israelense de hi-tech psytrance, com faixas em Noise Poison, Future Music, Black Out e Shamanic Tales.","hi-tech psytrance / high-BPM psychedelic trance","Classificar Oxidaksi como hi_tech; nao rebaixar para dark experimental/slambient por causa de timbre extremo.","pachamama_2026_research","https://www.deezer.com/track/493592102","published","high","producer_with_verified_tracks","Oxidaksi Retro Set; Oxidaksi 3H Retro Set","Poison Turtle, Evolution e Savage confirmam o eixo hi-tech; o flyer marca Retro Set como formato, nao outro artista.","https://blackoutrec.bandcamp.com/music","","Poison Turtle;Evolution;Savage"
"psycore","Depuratus","Portugal","","Depuratus assina psycore/darkpsy de alta intensidade com releases por Voodoo Hoodoo, Atomes, Labyrinthine e Xibalba.","psycore / darkpsy / high-BPM psychedelic","Usar Depuratus como psycore; nao confundir com dark experimental mais lento nem com hi_tech puro.","pachamama_2026_research","https://www.deezer.com/track/2068859787","published","high","producer_with_verified_tracks","","Conscious War, Hagios e Pi aparecem em plataformas e no catalogo Voodoo Hoodoo/Black Out de alta velocidade.","https://voodoo-hoodoo.bandcamp.com/music","","Conscious War;Hagios;Pi"
"dark_experimental","Audiosyntax","Germany","","Audiosyntax trabalha dark experimental psytrance com estruturas longas, timbres densos e catalogo Voodoo Hoodoo/Alice-D.","dark experimental psytrance / darkpsy / psycore-adjacent","Usar dark_experimental como primario; so usar psycore quando faixa/BPM indicar, e nao classificar como hi_tech generico.","pachamama_2026_research","https://www.deezer.com/track/3863925681","published","high","producer_with_verified_tracks","Audio Syntax","Alien Speech, Honey Badger e Te Deum confirmam faixas; auditoria previa moveu do psycore puro para dark experimental.","https://naturaizrecords.bandcamp.com/music;https://voodoo-hoodoo.bandcamp.com/music","","Alien Speech;Honey Badger;Te Deum"
"dark_experimental","Kasatka","Germany","Hamburg","Kasatka e projeto de Marco em Hamburgo, com discografia marcada por darkpsy, experimental e hightech-adjacent.","darkpsy / dark experimental / hightech-adjacent","Usar dark_experimental; so marcar hi_tech em faixas explicitamente hi-tech.","pachamama_2026_research","https://kasatkamusic.bandcamp.com/album/irreversible-echoes","published","high","producer_with_verified_tracks","","Irreversible Echoes traz tags darkpsy, experimental, hightech e psytrance; mantido no eixo experimental.","https://kasatkamusic.bandcamp.com/","","The Hive;Debut"
"psycore","Calyptratus","Germany","","Calyptratus aparece no catalogo psycore com faixas como 13 Trumpets, May Fair e Infection Human.","psycore / high-BPM dark psychedelic","Classificar como psycore; evitar dark_psy generico quando a faixa estiver no recorte core/alta velocidade.","pachamama_2026_research","https://www.deezer.com/track/111169026","published","medium_high","producer_with_verified_tracks","","Deezer confirma faixas e o banco v14 ja mantinha Calyptratus em Psycore com ancora Beatport/Alice-D.","https://www.beatport.com/label/alice-d-records/66644","","13 Trumpets;May Fair;Infection Human"
"dark_psy","Opus Summum","Germany","","Opus Summum tem faixa confirmada em Sacred Manuscript ao lado de nomes darkpsy/experimental do circuito Alice-D.","darkpsy / psychedelic trance","Usar dark_psy com confianca media; ha pouca discografia publica, entao nao promover para psycore sem mais evidencias.","pachamama_2026_research","https://www.deezer.com/track/110384814","published","medium_high","producer_with_verified_tracks","","Sonic Vibrations no VA Sacred Manuscript confirma faixa publica sob o projeto.","https://www.deezer.com/track/110384814","","Sonic Vibrations"
"dark_psy","Kaos","Greece","Athens","Kaos e produtor grego associado a projetos colaborativos como Polykaos e StrangeKaos dentro do darkpsy helenico.","darkpsy / psychedelic trance","Usar apenas quando contexto for psytrance grego; nome e muito homonimo em plataformas.","pachamama_2026_research","https://www.youtube.com/results?search_query=Kaos+Beyond+Magic+Pralayah+Records","published","medium_high","producer_with_verified_tracks","Dennis Tapinos; Kaos GR","Polykaos e StrangeKaos confirmam a identidade de Kaos no circuito; buscas diretas em Deezer retornam homonimos.","https://bandcamp.com/search?q=Kaos+psytrance;https://www.youtube.com/results?search_query=Kaos+Beyond+Magic+Pralayah+Records","","Beyond Magic"
"psycore","Polykaos","Greece","Athens","Polykaos e projeto de Polyphonia com Kaos, em Athens, com material recente em plataformas e catalogo darkpsy.","psycore / darkpsy / psychedelic trance collaboration","Tratar Polykaos como projeto colaborativo; usar psycore/darkpsy, nao hi_tech.","pachamama_2026_research","https://www.deezer.com/track/3540300671","published","high","producer_with_verified_tracks","Poly Kaos; Polyphonia & Kaos","Numbers, No More Faith e No Problem confirmam faixas; resultados Bandcamp descrevem Polykaos como Polyphonia + Kaos.","https://polykaos.bandcamp.com/;https://bandcamp.com/search?q=Polykaos","","Numbers;No More Faith;No Problem"
"dark_psy","StrangeKaos","Greece","Athens","StrangeKaos e colaboracao de Stranger e Kaos iniciada no fim dos anos 2000, com som acido, atmosferico e energetico.","darkpsy / psychedelic trance collaboration","Usar dark_psy; grafias Strange Kaos e StrangeKaos devem apontar para o mesmo projeto.","pachamama_2026_research","https://strangekaos.bandcamp.com/","published","high","producer_with_verified_tracks","Strange Kaos; Stranger & Kaos","Bandcamp/Deezer confirmam catalogo como Twilight Zone e Ethereal Powers; pagina do projeto descreve Stranger + Kaos.","https://bandcamp.com/search?q=StrangeKaos;https://www.deezer.com/track/1868312977","","Twilight Zone;Ethereal Powers;Customer's Feedback"
"dark_psy","Stranger","Greece","","Stranger e produtor grego ligado a StrangeKaos e ao circuito darkpsy helenico, com participacao em releases colaborativos.","darkpsy / experimental psychedelic trance","Usar Stranger somente com contexto psytrance; ha muitos homonimos em plataformas grandes.","pachamama_2026_research","https://strangekaos.bandcamp.com/","published","medium","producer_with_collab_release","Stranger GR; Stranger / StrangeKaos","Prova forte vem das faixas de StrangeKaos e da descricao do projeto com Stranger + Kaos; pouca faixa solo verificavel.","https://bandcamp.com/search?q=Stranger+Kaos+psytrance;https://www.youtube.com/results?search_query=Stranger+psytrance+Greece","","Twilight Zone"
"dark_psy","Bethad","Spain","","Bethad trabalha darkpsy/forest espanhol com faixas como Reminiscing the Past e colabs no eixo Enygma/Tetraktyz.","darkpsy / forest / experimental darkpsy","Preferir dark_psy/forest; nao classificar como hi_tech, mesmo quando o lineup esta em palco extremo.","pachamama_2026_research","https://www.deezer.com/track/877960112","published","high","producer_with_verified_tracks","","Deezer confirma Reminiscing the Past/Trying To Find the Reason; Enygma confirma Bethad em Anima com Tetraktyz.","https://enygmamusic.bandcamp.com/track/tetraktyz-bethad-anima-158","","Reminiscing the Past;Trying To Find the Reason;Anima"
"dark_psy","Penurna","Spain","","Penurna e projeto espanhol de darkpsy/experimental psytrance com faixas publicas como Sacral Chakra e Supranormal.","darkpsy / experimental psytrance","Grafia correta do flyer e Penurna; nao confundir com Penumbra ou homonimos.","pachamama_2026_research","https://www.youtube.com/watch?v=DDgOOFv-pCQ","published","medium_high","producer_with_verified_tracks","","Sacral Chakra em Sick Trick Music e Supranormal confirmam faixa publica; cobertura em plataformas e menor que a dos headliners.","https://www.youtube.com/watch?v=Bh3d7LdHRec;https://www.youtube.com/watch?v=DDgOOFv-pCQ","","Sacral Chakra;Supranormal"
"psycore","Khaline","Brazil","","Khaline e projeto brasileiro de darkpsy/psycore com faixas high-BPM como Magic Beans, Sinchronicity e Aquarius.","psycore / darkpsy / high-BPM psychedelic","Usar psycore; nao manter a seed antiga em hi_tech como classificacao primaria sem prova de faixa hi-tech.","pachamama_2026_research","https://www.youtube.com/watch?v=9OZwTwTmS9w","published","medium_high","producer_with_verified_tracks","","Magic Beans aparece com 196 BPM e Sinchronicity com 184 BPM; tambem participa do projeto Umbra Lumen.","https://www.youtube.com/watch?v=xJOH-Q0NkGk;https://www.youtube.com/watch?v=DMgpYUjEvDw","","Magic Beans;Sinchronicity;Aquarius"
"dark_psy","Yara","Venezuela","","Yara aparece em releases e videos de dark psy como Dark Star, No Signs of Life e Elixir, alem do set Yara vs Dark Notes.","darkpsy / dark forest / psychedelic trance","Corrigir seed antiga: aqui Yara deve entrar como dark_psy, nao hi_tech, salvo faixa futura provar outro recorte.","pachamama_2026_research","https://www.youtube.com/watch?v=iYCfpRLQYWA","published","medium_high","producer_with_verified_tracks","Yara VE; Yara vs Dark Notes","Dark Star e Elixir/No Signs of Life ancoram dark psy; evitar homonimos latin/pop em plataformas.","https://www.youtube.com/watch?v=Kt5LoIBSp7o;https://www.youtube.com/watch?v=RRWMVn8xnrA","","Dark Star;No Signs of Life;Elixir"
"dark_psy","Dark Notes","Brazil","","Dark Notes e projeto brasileiro de dark psy com material publico como Mighty Darkness e set/preview proprio.","darkpsy / Brazilian dark psychedelic trance","Usar dark_psy; o slot Yara vs Dark Notes e um set/collab ao vivo, nao artista separado.","pachamama_2026_research","https://www.youtube.com/watch?v=cDbZ7sTRycc","published","medium_high","producer_with_verified_tracks","Dark Notes BR; Fabio Batera","SoundCloud e YouTube confirmam Mighty Darkness; manter longe de homonimos de rock/ambient.","https://soundcloud.com/dark-notes-fabiobatera/dark-notes-preview-to-mighty-darkness","","Mighty Darkness;Preview To Mighty Darkness"
"dark_psy","Alcohbata","Brazil","","Alcohbata e projeto brasileiro de psytrance com album Welcome To This World pela Katayy Records e faixas em dark/forest.","psytrance / darkpsy / forest-adjacent","Grafia correta e Alcohbata; nao usar Alcohibata como nome principal e nao classificar como hi_tech.","pachamama_2026_research","https://katayyrecords.bandcamp.com/album/alcohbata-welcome-to-this-world","published","high","producer_with_verified_tracks","Alcohibata; Alcohbata BR","Ja validado no pacote Cosmic Crew: Pure Love, Youtab Ariobarzan e Morning Ritual confirmam discografia.","https://www.katayyrecords.com.br/fr/musicas/","https://katayyrecords.bandcamp.com/","Pure Love;Youtab Ariobarzan;Morning Ritual"
"dark_experimental","Umbra Lumen","Brazil","","Umbra Lumen e projeto brasileiro experimental de Khaline e Maramba, com singles Vysehrad e Sahasrara em 2026.","dark experimental psytrance / psycore","Usar dark_experimental/psycore; manter como projeto musical proprio, separado de ritual session.","pachamama_2026_research","https://www.deezer.com/track/3857759251","published","high","producer_with_verified_tracks","","Vysehrad e Sahasrara ja foram confirmadas no pacote Cosmic Crew; Pachamama reforca evento futuro.","https://www.youtube.com/watch?v=lx4M6xI-bcA","","Vysehrad;Sahasrara"
"slambient","Vuttun","Brazil","","Vuttun combina slambient acelerado, ambiencia ritual e dark experimental em releases da The Endless Knot.","slambient / dark experimental psy / psycore-adjacent","Classificar como slambient; nao jogar automaticamente em hi_tech por BPM 180-185.","pachamama_2026_research","https://theendlessknotrec.bandcamp.com/track/vuttun-nabaat-185bpm","published","high","producer_with_verified_tracks","Vutt'un; Vuttun BR","The Endless Knot publica Nabaat 185 BPM, N'Iser Synergic Transformation 185 BPM e Flegetonte 180 BPM.","https://vuttun.bandcamp.com/;https://theendlessknotrec.bandcamp.com/","","Nabaat;Synergic Transformation;Flegetonte"
"psycore","Vucsetics","Brazil","","Vucsetics e projeto brasileiro de psycore/darkpsy com faixas publicas como New Moon, Sun Down e Night Work.","psycore / darkpsy / high-BPM psychedelic","Usar psycore/darkpsy; nao confundir com DJ-only porque ha faixas publicas high-BPM.","pachamama_2026_research","https://www.youtube.com/watch?v=8DGrxq6HtTc","published","medium_high","producer_with_verified_tracks","","Videos publicos indicam New Moon 185 BPM, Sun Down 180 BPM e Night Work 177 BPM.","https://www.youtube.com/watch?v=hpZ52Yhvt3E;https://www.youtube.com/watch?v=ctvGqeay4Tc","","New Moon;Sun Down;Night Work"
