style,artist,country,city,artist_bio,artist_genre,artist_profile_hint,source
"psytrance","Faders","International","","Faders entra como seed adicional de expansao para psytrance, ajudando o app a variar recomendacoes e buscar musicas dentro do recorte correto.","psytrance","Expansao v4: artista para descoberta dinamica em psytrance; BPM guia 145.","artist_expansion_v4"
"psytrance","Vertical Mode","International","","Vertical Mode entra como seed adicional de expansao para psytrance, ajudando o app a variar recomendacoes e buscar musicas dentro do recorte correto.","psytrance","Expansao v4: artista para descoberta dinamica em psytrance; BPM guia 145.","artist_expansion_v4"
"psytrance","Major7","International","","Major7 entra como seed adicional de expansao para psytrance, ajudando o app a variar recomendacoes e buscar musicas dentro do recorte correto.","psytrance","Expansao v4: artista para descoberta dinamica em psytrance; BPM guia 145.","artist_expansion_v4"
"psytrance","Sinerider","International","","Sinerider entra como seed adicional de expansao para psytrance, ajudando o app a variar recomendacoes e buscar musicas dentro do recorte correto.","psytrance","Expansao v4: artista para descoberta dinamica em psytrance; BPM guia 145.","artist_expansion_v4"
"psytrance","Spirit Architect","International","","Spirit Architect entra como seed adicional de expansao para psytrance, ajudando o app a variar recomendacoes e buscar musicas dentro do recorte correto.","psytrance","Expansao v4: artista para descoberta dinamica em psytrance; BPM guia 145.","artist_expansion_v4"
"forest_psy","Trold","International","","Trold entra como seed adicional de expansao para forest psy, ajudando o app a variar recomendacoes e buscar musicas dentro do recorte correto.","forest psy","Expansao v4: artista para descoberta dinamica em forest psy; BPM guia 149.","artist_expansion_v4"
"forest_psy","Hutti Heita","International","","Hutti Heita entra como seed adicional de expansao para forest psy, ajudando o app a variar recomendacoes e buscar musicas dentro do recorte correto.","forest psy","Expansao v4: artista para descoberta dinamica em forest psy; BPM guia 149.","artist_expansion_v4"
"forest_psy","Kabayun","International","","Kabayun entra como seed adicional de expansao para forest psy, ajudando o app a variar recomendacoes e buscar musicas dentro do recorte correto.","forest psy","Expansao v4: artista para descoberta dinamica em forest psy; BPM guia 149.","artist_expansion_v4"
"forest_psy","Gaspard","International","","Gaspard entra como seed adicional de expansao para forest psy, ajudando o app a variar recomendacoes e buscar musicas dentro do recorte correto.","forest psy","Expansao v4: artista para descoberta dinamica em forest psy; BPM guia 149.","artist_expansion_v4"
"forest_psy","Procs","International","","Procs entra como seed adicional de expansao para forest psy, ajudando o app a variar recomendacoes e buscar musicas dentro do recorte correto.","forest psy","Expansao v4: artista para descoberta dinamica em forest psy; BPM guia 149.","artist_expansion_v4"
"dark_psy","Orestis","International","","Orestis entra como seed adicional de expansao para dark psy, ajudando o app a variar recomendacoes e buscar musicas dentro do recorte correto.","dark psy","Expansao v4: artista para descoberta dinamica em dark psy; BPM guia 160.","artist_expansion_v4"
"dark_psy","Zik","International","","Zik entra como seed adicional de expansao para dark psy, ajudando o app a variar recomendacoes e buscar musicas dentro do recorte correto.","dark psy","Expansao v4: artista para descoberta dinamica em dark psy; BPM guia 160.","artist_expansion_v4"
"dark_psy","Megalopsy","International","","Megalopsy entra como seed adicional de expansao para dark psy, ajudando o app a variar recomendacoes e buscar musicas dentro do recorte correto.","dark psy","Expansao v4: artista para descoberta dinamica em dark psy; BPM guia 160.","artist_expansion_v4"
"dark_psy","Yaminahua","International","","Yaminahua entra como seed adicional de expansao para dark psy, ajudando o app a variar recomendacoes e buscar musicas dentro do recorte correto.","dark psy","Expansao v4: artista para descoberta dinamica em dark psy; BPM guia 160.","artist_expansion_v4"
"dark_psy","Necropsycho","International","","Necropsycho entra como seed adicional de expansao para dark psy, ajudando o app a variar recomendacoes e buscar musicas dentro do recorte correto.","dark psy","Expansao v4: artista para descoberta dinamica em dark psy; BPM guia 160.","artist_expansion_v4"
"dark_experimental","Furious","International","","Furious entra como seed adicional de expansao para dark experimental, ajudando o app a variar recomendacoes e buscar musicas dentro do recorte correto.","dark experimental","Expansao v4: artista para descoberta dinamica em dark experimental; BPM guia 180.","artist_expansion_v4"
"dark_experimental","CPC","International","","CPC entra como seed adicional de expansao para dark experimental, ajudando o app a variar recomendacoes e buscar musicas dentro do recorte correto.","dark experimental","Expansao v4: artista para descoberta dinamica em dark experimental; BPM guia 180.","artist_expansion_v4"
"dark_experimental","Horror Place","International","","Horror Place entra como seed adicional de expansao para dark experimental, ajudando o app a variar recomendacoes e buscar musicas dentro do recorte correto.","dark experimental","Expansao v4: artista para descoberta dinamica em dark experimental; BPM guia 180.","artist_expansion_v4"
"dark_experimental","Fractal Error","International","","Fractal Error entra como seed adicional de expansao para dark experimental, ajudando o app a variar recomendacoes e buscar musicas dentro do recorte correto.","dark experimental","Expansao v4: artista para descoberta dinamica em dark experimental; BPM guia 180.","artist_expansion_v4"
"dark_experimental","Alien Mental","International","","Alien Mental entra como seed adicional de expansao para dark experimental, ajudando o app a variar recomendacoes e buscar musicas dentro do recorte correto.","dark experimental","Expansao v4: artista para descoberta dinamica em dark experimental; BPM guia 180.","artist_expansion_v4"
"psycore","Khaos Sektor","International","","Khaos Sektor entra como seed adicional de expansao para psycore, ajudando o app a variar recomendacoes e buscar musicas dentro do recorte correto.","psycore","Expansao v4: artista para descoberta dinamica em psycore; BPM guia 205.","artist_expansion_v4"
"psycore","Kulu","International","","Kulu entra como seed adicional de expansao para psycore, ajudando o app a variar recomendacoes e buscar musicas dentro do recorte correto.","psycore","Expansao v4: artista para descoberta dinamica em psycore; BPM guia 205.","artist_expansion_v4"
"psycore","Psychoz","International","","Psychoz entra como seed adicional de expansao para psycore, ajudando o app a variar recomendacoes e buscar musicas dentro do recorte correto.","psycore","Expansao v4: artista para descoberta dinamica em psycore; BPM guia 205.","artist_expansion_v4"
"psycore","CinderVOMIT","International","","CinderVOMIT entra como seed adicional de expansao para psycore, ajudando o app a variar recomendacoes e buscar musicas dentro do recorte correto.","psycore","Expansao v4: artista para descoberta dinamica em psycore; BPM guia 205.","artist_expansion_v4"
"psycore","Gloomy Phantom","International","","Gloomy Phantom entra como seed adicional de expansao para psycore, ajudando o app a variar recomendacoes e buscar musicas dentro do recorte correto.","psycore","Expansao v4: artista para descoberta dinamica em psycore; BPM guia 205.","artist_expansion_v4"
"freeform","Texas Faggott","International","","Texas Faggott entra como seed adicional de expansao para freeform, ajudando o app a variar recomendacoes e buscar musicas dentro do recorte correto.","freeform","Expansao v4: artista para descoberta dinamica em freeform; BPM guia 152.","artist_expansion_v4"
"freeform","Salakavala","International","","Salakavala entra como seed adicional de expansao para freeform, ajudando o app a variar recomendacoes e buscar musicas dentro do recorte correto.","freeform","Expansao v4: artista para descoberta dinamica em freeform; BPM guia 152.","artist_expansion_v4"
"freeform","Squaremeat","International","","Squaremeat entra como seed adicional de expansao para freeform, ajudando o app a variar recomendacoes e buscar musicas dentro do recorte correto.","freeform","Expansao v4: artista para descoberta dinamica em freeform; BPM guia 152.","artist_expansion_v4"
"freeform","Haltya","International","","Haltya entra como seed adicional de expansao para freeform, ajudando o app a variar recomendacoes e buscar musicas dentro do recorte correto.","freeform","Expansao v4: artista para descoberta dinamica em freeform; BPM guia 152.","artist_expansion_v4"
"freeform","Eraser vs Yojalka","International","","Eraser vs Yojalka entra como seed adicional de expansao para freeform, ajudando o app a variar recomendacoes e buscar musicas dentro do recorte correto.","freeform","Expansao v4: artista para descoberta dinamica em freeform; BPM guia 152.","artist_expansion_v4"
"full_on","GMS","International","","GMS entra como seed adicional de expansao para full on, ajudando o app a variar recomendacoes e buscar musicas dentro do recorte correto.","full on","Expansao v4: artista para descoberta dinamica em full on; BPM guia 146.","artist_expansion_v4"
"full_on","Deedrah","International","","Deedrah entra como seed adicional de expansao para full on, ajudando o app a variar recomendacoes e buscar musicas dentro do recorte correto.","full on","Expansao v4: artista para descoberta dinamica em full on; BPM guia 146.","artist_expansion_v4"
"full_on","1200 Micrograms","International","","1200 Micrograms entra como seed adicional de expansao para full on, ajudando o app a variar recomendacoes e buscar musicas dentro do recorte correto.","full on","Expansao v4: artista para descoberta dinamica em full on; BPM guia 146.","artist_expansion_v4"
