slug,name,event_type,electronic_focus,market_tier,franchise_name,home_city,home_country_code,continent,founding_year,official_url,primary_genres,selection_basis,djmag_2026_rank,publication_status,notes
tomorrowland-belgium,Tomorrowland Belgium,festival,exclusive,global_mega,Tomorrowland,Boom,BE,Europe,2005,https://belgium.tomorrowland.com/,edm|house|techno|trance|drum_and_bass,djmag_2026_ranked,1,published,Edicao principal da franquia Tomorrowland.
edc-las-vegas,EDC Las Vegas,festival,exclusive,global_mega,Electric Daisy Carnival,Las Vegas,US,North America,1997,https://lasvegas.electricdaisycarnival.com/,edm|house|techno|trance|bass_music|hardstyle,djmag_2026_ranked,2,published,Edicao principal da franquia Electric Daisy Carnival.
untold-festival,UNTOLD Festival,festival,primary,global_mega,UNTOLD,Cluj-Napoca,RO,Europe,2015,https://untold.com/,edm|house|techno|trance,djmag_2026_ranked,3,published,Festival de grande escala com programacao eletronica predominante.
ultra-music-festival,Ultra Music Festival,festival,exclusive,global_mega,ULTRA Worldwide,Miami,US,North America,1999,https://ultramusicfestival.com/,edm|house|techno|trance,djmag_2026_ranked,4,published,Edicao principal da franquia ULTRA Worldwide.
defqon-1,Defqon.1 Weekend Festival,festival,exclusive,global_mega,Q-dance,Biddinghuizen,NL,Europe,2003,https://www.q-dance.com/l/defqon1-2026,hardstyle|hardcore,djmag_2026_ranked,5,published,Referencia global em hard dance.
sunburn-festival,Sunburn Festival,festival,exclusive,global_mega,Sunburn,Goa,IN,Asia,2007,https://sunburn.in/,edm|house|techno|trance,djmag_2026_ranked,6,published,Ancora de grande escala para o mercado indiano.
creamfields,Creamfields,festival,exclusive,global_mega,Creamfields,Daresbury,GB,Europe,1998,https://creamfields.com/,edm|house|techno|trance|drum_and_bass,djmag_2026_ranked,7,published,Edicao britanica principal da franquia Creamfields.
kappa-futurfestival,Kappa FuturFestival,festival,exclusive,global_mega,Kappa FuturFestival,Turin,IT,Europe,2012,https://www.kappafuturfestival.it/,techno|house,djmag_2026_ranked,8,published,Grande festival urbano de house e techno.
parookaville,PAROOKAVILLE,festival,exclusive,global_mega,PAROOKAVILLE,Weeze,DE,Europe,2015,https://www.parookaville.com/en/,edm|house|techno|hardstyle,djmag_2026_ranked,10,published,Festival de grande escala com conceito de cidade tematica.
electric-love-festival,Electric Love Festival,festival,exclusive,global_mega,Electric Love,Plainfeld,AT,Europe,2013,https://www.electriclove.at/en/,edm|house|techno|hardstyle,djmag_2026_ranked,11,published,Grande festival eletronico da Austria.
time-warp,Time Warp,festival_series,exclusive,global_major,Time Warp,Mannheim,DE,Europe,1994,https://www.time-warp.de/,techno|house,djmag_2026_ranked,14,published,Marca internacional com edicao de referencia em Mannheim.
mysteryland,Mysteryland,festival,exclusive,global_major,Mysteryland,Haarlemmermeer,NL,Europe,1993,https://www.mysteryland.nl/,edm|house|techno|hardstyle,djmag_2026_ranked,15,published,Um dos festivais dance mais antigos ainda ativos.
edc-orlando,EDC Orlando,festival,exclusive,global_major,Electric Daisy Carnival,Orlando,US,North America,2011,https://orlando.electricdaisycarnival.com/,edm|house|techno|trance|bass_music,djmag_2026_ranked,16,published,Edicao da franquia Electric Daisy Carnival na Florida.
dekmantel-festival,Dekmantel Festival,festival,exclusive,global_major,Dekmantel,Amsterdam,NL,Europe,2013,https://dekmantelfestival.com/,techno|house|electro|experimental_electronic,djmag_2026_ranked,17,published,Referencia de curadoria underground e experimental.
