"style","artist","song","label","bpm_exact","preview_url","release_date","duration_sec","country","city","artist_bio","artist_genre","artist_profile_hint","source","source_url","track_url","deezer_track_id","deezer_track_url","cover_art_url","youtube_track_url","soundcloud_track_url","bandcamp_track_url","bandcamp_track_id","source_tags","album_keywords","energy_band","catalog_role","confidence","source_note","social_discovery_links","label_links"
"dark_psy","Karmn'Eugen","Body Awakening","Body Awakening","170","https://cdnt-preview.dzcdn.net/api/1/1/4/c/f/0/4cf99eae5702b181ae1e2f7f763754fc.mp3?hdnea=exp=1782083051~acl=/api/1/1/4/c/f/0/4cf99eae5702b181ae1e2f7f763754fc.mp3*~data=user_id=0,application_id=42~hmac=a13ac9fad776ceb657ed2397e6d8be74c2a8d0a31a686a2a29eab9a38a04bb3d","2025-08-01","386","Brazil","Guarulhos","Karmn'Eugen e uma faceta experimental de Necropsycho, com releases que misturam IDM, dark psychedelic, breakbeat e pressao ritual.","IDM / dark experimental / dark psychedelic","Usar Karmn'Eugen como dark experimental/IDM de pista; nao classificar como hitech por aparecer na Rage Stage.","mop_brasil_2026_rage_stage_research","https://necropsycho.bandcamp.com/album/body-awakening","https://www.deezer.com/track/3483473691","3483473691","https://www.deezer.com/track/3483473691","https://cdn-images.dzcdn.net/images/cover/82857b834cc7c42b0df55dee752d1853/1000x1000-000000-80-0-0.jpg","","","https://necropsycho.bandcamp.com/album/body-awakening","","dark_psy;dark_experimental_adjacent;idm_adjacent;170_bpm","Masters of Puppets Brazil 2026 - Rage Stage by Void Brasil;Rage Stage;Void Brasil","festival_lineup_verified","mop_brasil_2026_rage_stage_anchor;producer_with_verified_tracks","high","Body Awakening tem faixas a 170 BPM no Bandcamp; divulgacoes do projeto citam IDM, breakbeat e drum and bass como eixo experimental.","https://www.youtube.com/watch?v=KevRrSb6ZfY","https://necropsycho.bandcamp.com/"
"dark_experimental","Karmn'Eugen","Dormant Dreams part 01","Dormant Dreams","","https://cdnt-preview.dzcdn.net/api/1/1/a/b/0/0/ab013c10a2a1221a3577e831825e0788.mp3?hdnea=exp=1782083051~acl=/api/1/1/a/b/0/0/ab013c10a2a1221a3577e831825e0788.mp3*~data=user_id=0,application_id=42~hmac=93e953eaf9005cd5fbc20f0049a74e07ee0a09c9cf3c227198d4ff4efa74a1ff","2025-09-29","461","Brazil","Guarulhos","Karmn'Eugen e uma faceta experimental de Necropsycho, com releases que misturam IDM, dark psychedelic, breakbeat e pressao ritual.","IDM / dark experimental / dark psychedelic","Usar Karmn'Eugen como dark experimental/IDM de pista; nao classificar como hitech por aparecer na Rage Stage.","mop_brasil_2026_rage_stage_research","https://necropsycho.bandcamp.com/","https://www.deezer.com/track/3569588171","3569588171","https://www.deezer.com/track/3569588171","https://cdn-images.dzcdn.net/images/cover/f333c2a9b0d043a4b3ff75f4d6ef4519/1000x1000-000000-80-0-0.jpg","","","","","dark_experimental;idm_adjacent","Masters of Puppets Brazil 2026 - Rage Stage by Void Brasil;Rage Stage;Void Brasil","festival_lineup_verified","mop_brasil_2026_rage_stage_anchor;producer_with_verified_tracks","high","Body Awakening tem faixas a 170 BPM no Bandcamp; divulgacoes do projeto citam IDM, breakbeat e drum and bass como eixo experimental.","https://www.youtube.com/watch?v=KevRrSb6ZfY","https://necropsycho.bandcamp.com/"
"dark_experimental","Necropsycho","OPPEES","God's Own Country","","https://cdnt-preview.dzcdn.net/api/1/1/9/0/1/0/9019b044ba045a6c0d7e35b5d973920c.mp3?hdnea=exp=1782083051~acl=/api/1/1/9/0/1/0/9019b044ba045a6c0d7e35b5d973920c.mp3*~data=user_id=0,application_id=42~hmac=546a29207141b155fd33e8c260d2ffdb105c7136f3ab55e2b6e5d6fb52b5bb77","2024-08-13","414","Brazil","Guarulhos","Necropsycho e o projeto de Carmine Eugenio Tarsitano, figura brasileira central do dark psychedelic extremo e experimental.","dark experimental psytrance / darkpsy / psycore-adjacent","Priorizar dark experimental/darkpsy; algumas faixas encostam em psycore, mas nao tratar como hitech generico.","mop_brasil_2026_rage_stage_research","https://www.deezer.com/en/track/2938879461","https://www.deezer.com/track/2938879461","2938879461","https://www.deezer.com/track/2938879461","https://cdn-images.dzcdn.net/images/cover/d8ace5457022512bf97882ebf2ee6173/1000x1000-000000-80-0-0.jpg","","","","","dark_experimental;darkpsy","Masters of Puppets Brazil 2026 - Rage Stage by Void Brasil;Rage Stage;Void Brasil","festival_lineup_verified","mop_brasil_2026_rage_stage_anchor;producer_with_verified_tracks","high","Deezer confirma OPPEES em God's Own Country; Bandcamp oficial confirma catalogo proprio e colabs.","https://necropsycho.bandcamp.com/","https://necropsycho.bandcamp.com/"
"dark_psy","Necropsycho","Surrealismus","Necropsycho","","https://cdnt-preview.dzcdn.net/api/1/1/5/6/1/0/561b427fb1dafbaaa8d67e96b34a29e5.mp3?hdnea=exp=1782083051~acl=/api/1/1/5/6/1/0/561b427fb1dafbaaa8d67e96b34a29e5.mp3*~data=user_id=0,application_id=42~hmac=6c4d4b84b61f35e34ccfbfea0618067afd4632d20d3c0bc0eac4d2798425a710","2011-07-28","466","Brazil","Guarulhos","Necropsycho e o projeto de Carmine Eugenio Tarsitano, figura brasileira central do dark psychedelic extremo e experimental.","dark experimental psytrance / darkpsy / psycore-adjacent","Priorizar dark experimental/darkpsy; algumas faixas encostam em psycore, mas nao tratar como hitech generico.","mop_brasil_2026_rage_stage_research","https://www.deezer.com/track/78758152","https://www.deezer.com/track/78758152","78758152","https://www.deezer.com/track/78758152","https://cdn-images.dzcdn.net/images/cover/81e0928b7c2024d3d7ff1f589b17eef0/1000x1000-000000-80-0-0.jpg","","","","","dark_psy;psytrance","Masters of Puppets Brazil 2026 - Rage Stage by Void Brasil;Rage Stage;Void Brasil","festival_lineup_verified","mop_brasil_2026_rage_stage_anchor;producer_with_verified_tracks","high","Deezer confirma OPPEES em God's Own Country; Bandcamp oficial confirma catalogo proprio e colabs.","https://necropsycho.bandcamp.com/","https://necropsycho.bandcamp.com/"
"psycore","Necropsycho","Samsara","Necropsycho","","","","","Brazil","Guarulhos","Necropsycho e o projeto de Carmine Eugenio Tarsitano, figura brasileira central do dark psychedelic extremo e experimental.","dark experimental psytrance / darkpsy / psycore-adjacent","Priorizar dark experimental/darkpsy; algumas faixas encostam em psycore, mas nao tratar como hitech generico.","mop_brasil_2026_rage_stage_research","https://www.deezer.com/track/888034412","https://www.deezer.com/track/888034412","888034412","https://www.deezer.com/track/888034412","","","","","","psycore;darkpsy","Masters of Puppets Brazil 2026 - Rage Stage by Void Brasil;Rage Stage;Void Brasil","festival_lineup_verified","mop_brasil_2026_rage_stage_anchor;producer_with_verified_tracks","high","Deezer confirma OPPEES em God's Own Country; Bandcamp oficial confirma catalogo proprio e colabs.","https://necropsycho.bandcamp.com/","https://necropsycho.bandcamp.com/"
"dark_experimental","Kasatka","The Hive","Irreversible Echoes","","","","","Germany","Hamburg","Kasatka e o alias de Marco em Hamburgo, com discografia Bandcamp marcada por darkpsy, experimental e hightech.","darkpsy / dark experimental / hightech-adjacent","Usar Kasatka como dark experimental de alta velocidade; so usar hi_tech quando a faixa indicar isso claramente.","mop_brasil_2026_rage_stage_research","https://kasatkamusic.bandcamp.com/album/irreversible-echoes","https://www.deezer.com/track/842698282","842698282","https://www.deezer.com/track/842698282","","","","https://kasatkamusic.bandcamp.com/album/irreversible-echoes","","darkpsy;experimental;hightech_adjacent","Masters of Puppets Brazil 2026 - Rage Stage by Void Brasil;Rage Stage;Void Brasil","festival_lineup_verified","mop_brasil_2026_rage_stage_anchor;producer_with_verified_tracks","high","Bandcamp lista Irreversible Echoes e tags electronic, darkpsy, experimental, hightech e psytrance.","https://kasatkamusic.bandcamp.com/",""
"dark_experimental","Kasatka","Debut","Irreversible Echoes","","","","","Germany","Hamburg","Kasatka e o alias de Marco em Hamburgo, com discografia Bandcamp marcada por darkpsy, experimental e hightech.","darkpsy / dark experimental / hightech-adjacent","Usar Kasatka como dark experimental de alta velocidade; so usar hi_tech quando a faixa indicar isso claramente.","mop_brasil_2026_rage_stage_research","https://kasatkamusic.bandcamp.com/track/debut","https://www.deezer.com/track/842698272","842698272","https://www.deezer.com/track/842698272","","","","https://kasatkamusic.bandcamp.com/track/debut","","darkpsy;experimental","Masters of Puppets Brazil 2026 - Rage Stage by Void Brasil;Rage Stage;Void Brasil","festival_lineup_verified","mop_brasil_2026_rage_stage_anchor;producer_with_verified_tracks","high","Bandcamp lista Irreversible Echoes e tags electronic, darkpsy, experimental, hightech e psytrance.","https://kasatkamusic.bandcamp.com/",""
"dark_experimental","Kasatka","A Certain Reality","Kasatka","","","","","Germany","Hamburg","Kasatka e o alias de Marco em Hamburgo, com discografia Bandcamp marcada por darkpsy, experimental e hightech.","darkpsy / dark experimental / hightech-adjacent","Usar Kasatka como dark experimental de alta velocidade; so usar hi_tech quando a faixa indicar isso claramente.","mop_brasil_2026_rage_stage_research","https://kasatkamusic.bandcamp.com/","https://www.deezer.com/track/125738432","125738432","https://www.deezer.com/track/125738432","","","","","","darkpsy;experimental","Masters of Puppets Brazil 2026 - Rage Stage by Void Brasil;Rage Stage;Void Brasil","festival_lineup_verified","mop_brasil_2026_rage_stage_anchor;producer_with_verified_tracks","high","Bandcamp lista Irreversible Echoes e tags electronic, darkpsy, experimental, hightech e psytrance.","https://kasatkamusic.bandcamp.com/",""
"psycore","Infra","Nullpunktfeld","Tzu-Jan Bandcamp","","","","","Austria","Salzburg","Infra e o projeto de Sebastian ligado ao nucleo Tzu-Jan, com faixas publicadas no Bandcamp oficial e sets retro no circuito MOP.","darkpsy / psycore / experimental psychedelic","Entrada do flyer Infra Retro deve apontar para Infra, nao virar artista separado; classificar no eixo darkpsy/psycore.","mop_brasil_2026_rage_stage_research","https://tzu-jan-official.bandcamp.com/","https://tzu-jan-official.bandcamp.com/","","","","","","https://tzu-jan-official.bandcamp.com/","","darkpsy;psycore;infra_retro","Masters of Puppets Brazil 2026 - Rage Stage by Void Brasil;Rage Stage;Void Brasil","festival_lineup_verified","mop_brasil_2026_rage_stage_anchor;producer_with_verified_tracks","medium_high","Bandcamp de Tzu-Jan lista faixas de Infra como Nullpunktfeld e Kietai na discografia do projeto.","https://tzu-jan-official.bandcamp.com/",""
"psycore","Infra","Kietai","Tzu-Jan Bandcamp","","","","","Austria","Salzburg","Infra e o projeto de Sebastian ligado ao nucleo Tzu-Jan, com faixas publicadas no Bandcamp oficial e sets retro no circuito MOP.","darkpsy / psycore / experimental psychedelic","Entrada do flyer Infra Retro deve apontar para Infra, nao virar artista separado; classificar no eixo darkpsy/psycore.","mop_brasil_2026_rage_stage_research","https://tzu-jan-official.bandcamp.com/","https://tzu-jan-official.bandcamp.com/","","","","","","https://tzu-jan-official.bandcamp.com/","","darkpsy;psycore;infra_retro","Masters of Puppets Brazil 2026 - Rage Stage by Void Brasil;Rage Stage;Void Brasil","festival_lineup_verified","mop_brasil_2026_rage_stage_anchor;producer_with_verified_tracks","medium_high","Bandcamp de Tzu-Jan lista faixas de Infra como Nullpunktfeld e Kietai na discografia do projeto.","https://tzu-jan-official.bandcamp.com/",""
