"style","artist","country","city","artist_bio","artist_genre","artist_profile_hint","source","source_url","status","confidence","scene_role","aliases","source_note","social_discovery_links","label_links","profile_tracks"
"dark_experimental","Karmn'Eugen","Brazil","Guarulhos","Karmn'Eugen e uma faceta experimental de Necropsycho, com releases que misturam IDM, dark psychedelic, breakbeat e pressao ritual.","IDM / dark experimental / dark psychedelic","Usar Karmn'Eugen como dark experimental/IDM de pista; nao classificar como hitech por aparecer na Rage Stage.","mop_brasil_2026_rage_stage_research","https://necropsycho.bandcamp.com/album/body-awakening","published","high","producer_with_verified_tracks","Karmn Eugen; KarmnEugen; Carmine Eugenio Tarsitano","Body Awakening tem faixas a 170 BPM no Bandcamp; divulgacoes do projeto citam IDM, breakbeat e drum and bass como eixo experimental.","https://www.youtube.com/watch?v=KevRrSb6ZfY","https://necropsycho.bandcamp.com/","Body Awakening;Dormant Dreams part 01"
"dark_experimental","Necropsycho","Brazil","Guarulhos","Necropsycho e o projeto de Carmine Eugenio Tarsitano, figura brasileira central do dark psychedelic extremo e experimental.","dark experimental psytrance / darkpsy / psycore-adjacent","Priorizar dark experimental/darkpsy; algumas faixas encostam em psycore, mas nao tratar como hitech generico.","mop_brasil_2026_rage_stage_research","https://www.deezer.com/en/track/2938879461","published","high","producer_with_verified_tracks","Necropsyco; Nuccho","Deezer confirma OPPEES em God's Own Country; Bandcamp oficial confirma catalogo proprio e colabs.","https://necropsycho.bandcamp.com/","https://necropsycho.bandcamp.com/","OPPEES;Surrealismus;Samsara"
"dark_experimental","Kasatka","Germany","Hamburg","Kasatka e o alias de Marco em Hamburgo, com discografia Bandcamp marcada por darkpsy, experimental e hightech.","darkpsy / dark experimental / hightech-adjacent","Usar Kasatka como dark experimental de alta velocidade; so usar hi_tech quando a faixa indicar isso claramente.","mop_brasil_2026_rage_stage_research","https://kasatkamusic.bandcamp.com/album/irreversible-echoes","published","high","producer_with_verified_tracks","","Bandcamp lista Irreversible Echoes e tags electronic, darkpsy, experimental, hightech e psytrance.","https://kasatkamusic.bandcamp.com/","","The Hive;Debut;A Certain Reality"
"psycore","Infra","Austria","Salzburg","Infra e o projeto de Sebastian ligado ao nucleo Tzu-Jan, com faixas publicadas no Bandcamp oficial e sets retro no circuito MOP.","darkpsy / psycore / experimental psychedelic","Entrada do flyer Infra Retro deve apontar para Infra, nao virar artista separado; classificar no eixo darkpsy/psycore.","mop_brasil_2026_rage_stage_research","https://tzu-jan-official.bandcamp.com/","published","high","producer_with_verified_tracks","Infra Retro; Sebastian; Infra / Tzu-Jan","Bandcamp de Tzu-Jan lista faixas de Infra como Nullpunktfeld e Kietai na discografia do projeto.","https://tzu-jan-official.bandcamp.com/","","Nullpunktfeld;Kietai"
"psycore","Tzu Jan","Austria","Salzburg","Tzu Jan e o duo austriaco Sebastian e Natalie, com albums Bandcamp em darkpsy, experimental, psycore e psytrance.","darkpsy / psycore / experimental psychedelic","Usar Tzu Jan para darkpsy/psycore experimental; nao confundir com hitech puro apesar da velocidade.","mop_brasil_2026_rage_stage_research","https://tzu-jan-official.bandcamp.com/album/tzu-jan-entelechie","published","high","producer_with_verified_tracks","Tzu-Jan; Tzu~Jan; Tzu Jan Official; Infra / Tzu-Jan","Entelechie no Bandcamp traz tags darkpsy, experimental, psycore e psytrance.","https://tzu-jan-official.bandcamp.com/","","en-tel-echeia;perceptio;Annunaki"
"dark_psy","Absurdus","Hungary","","Absurdus aparece no recorte darkpsy europeu com faixas como Transmutation e Zephyrum em plataformas abertas.","darkpsy / night psytrance","Classificar como darkpsy de alta energia; nao promover a psycore/hitech sem BPM ou fonte de release.","mop_brasil_2026_rage_stage_research","https://www.deezer.com/track/3528600411","published","high","producer_with_verified_tracks","Absurdus Sounds","Deezer confirma Transmutation e Zephyrum sob o mesmo artista; fonte social usa hashtags psytrance/darkpsy.","https://www.instagram.com/absurdusmuzik/","","Transmutation;Zephyrum"
"psycore","Varasurdum","Hungary","","Varasurdum e a colaboracao Varazslo com Absurdus, usada em lineups de MOP e Zenovoid para sets e faixas publicas.","darkpsy / psycore live collaboration","Tratar Varasurdum como projeto colaborativo de Varazslo e Absurdus; nao duplicar como DJ sem faixa.","mop_brasil_2026_rage_stage_research","https://www.youtube.com/watch?v=B6S2o7sCIj8","published","medium_high","collab_project_with_public_track","Varazslo vs Absurdus; Varazslo & Absurdus","Mechanika aparece como faixa publica de Varasurdum; lineup portugues tambem descreve Varasurdum como Varazslo vs Absurdus.","https://www.youtube.com/watch?v=B6S2o7sCIj8","https://zenovoidrecords.bandcamp.com/","Mechanika"
"psycore","Varazslo","Hungary","","Varazslo e projeto hungaro de alta intensidade, com album Expressed Impressions e releases Zenovoid/Sacred Sound.","psycore / darkpsy / high-BPM psychedelic trance","Classificar como psycore/darkpsy de alta velocidade; evitar darkpsy generico quando a faixa for high-BPM/psycore.","mop_brasil_2026_rage_stage_research","https://sacredsoundrecs.bandcamp.com/album/expressed-impressions-free-download","published","high","producer_with_verified_tracks","Varazslo; Varazslo Music; Varazsombor","Expressed Impressions aparece em Bandcamp e Exorbeatal como Darkpsy/Psycore.","https://zenovoidrecords.bandcamp.com/album/scrapbook","https://sacredsoundrecs.bandcamp.com/","Turan;Promised Land;Hall of Purity;Information"
"hi_tech","KiLLATK","Brazil","Sao Paulo","KiLLATK e projeto brasileiro de Sao Paulo ligado ao hi-tech psytrance, com faixas como Babaji Vibes e Nitrous Drive.","hi-tech psytrance / psytrance","Usar KiLLATK como hi_tech; nao puxar para dark experimental so por estar na Rage Stage.","mop_brasil_2026_rage_stage_research","https://www.deezer.com/us/artist/13226473","published","high","producer_with_verified_tracks","Killatk; KiLLATK Music","Deezer confirma discografia; Viberate descreve como artista brasileiro de electronic/psy trance.","https://www.viberate.com/artist/killatk/","","Babaji Vibes;NITROUS DRIVE;Litanies of Satan"
"hi_tech","Mentalecho","Portugal","","Mentalecho e projeto solo de Bernardo Fialho, publicado pela Black Out Records com EP Digital Nature e faixas de hi-tech.","hi-tech psytrance / experimental psytrance","Classificar como hi_tech; nao confundir com dark experimental apenas pela estetica psicodelica.","mop_brasil_2026_rage_stage_research","https://blackoutrec.bandcamp.com/album/mentalecho-digital-nature","published","high","producer_with_verified_tracks","Bernardo Fialho","Black Out Records descreve Mentalecho como projeto solo e lista Digital Nature.","https://blackoutrec.bandcamp.com/album/mentalecho-digital-nature","https://blackoutrec.bandcamp.com/","Bam Bam;Codex Gigas;Tomorrow Never Comes"
"dark_psy","Tetraktyz","Spain","","Tetraktyz trabalha darkpsy e experimental darkpsy, com Codex Seraphinianus EP e faixas em Enygma Music.","darkpsy / experimental darkpsy / dark forest","Usar dark_psy/dark forest; nao classificar como hi_tech apesar da intensidade.","mop_brasil_2026_rage_stage_research","https://enygmamusic.bandcamp.com/track/tetraktyz-bethad-anima-158","published","high","producer_with_verified_tracks","","Enygma Music lista tags dark psy, darkpsy, experimental darkpsy e darkpsytrance para Anima 158.","https://enygmamusic.bandcamp.com/track/tetraktyz-bethad-anima-158","","Anima;Ebusus Materia;Codex Seraphinianus"
