"style","artist","country","city","artist_bio","artist_genre","artist_profile_hint","scene_role","source_anchor","source_anchor_url","primary_social_url","social_discovery_links","label_links","cover_art_url","profile_tracks","status","confidence","source_note"
"acid_techno","A*S*Y*S","Germany","Frankfurt","A*S*Y*S appears in club_styles_enrichment_v2_20260621 for acid techno with 1 curated reference track(s). Scene use: hard_acid_bridge.","acid techno / 303 techno","Recommend A*S*Y*S for acid techno discovery, especially when the user wants fast_303_rave energy and richer artist context.","hard_acid_bridge","Fe Chrome","https://www.beatport.com/search?q=A*S*Y*S%20Acid%20Nightmare","https://www.google.com/search?q=A*S*Y*S%20official%20instagram","https://open.spotify.com/search/A*S*Y*S;https://soundcloud.com/search?q=A*S*Y*S;https://www.youtube.com/results?search_query=A*S*Y*S%20acid%20techno%20live%20official;https://www.google.com/search?q=A*S*Y*S%20acid%20techno%20official%20instagram%20soundcloud%20bandcamp","https://www.beatport.com/search?q=A*S*Y*S%20Acid%20Nightmare;https://www.discogs.com/search/?q=A*S*Y*S%20Acid%20Nightmare&type=all","","Acid Nightmare (145)","published","medium_high","Artist profile generated from 1 acid techno track anchor(s) in club_styles_enrichment_v2_20260621."
"acid_techno","Boston 168","Italy","Turin","Boston 168 appears in club_styles_enrichment_v2_20260621 for acid techno with 1 curated reference track(s). Scene use: modern_acid_warehouse.","acid techno / 303 techno","Recommend Boston 168 for acid techno discovery, especially when the user wants rolling_acid_peak energy and richer artist context.","modern_acid_warehouse","Enemy Records","https://www.beatport.com/search?q=Boston%20168%20Oblivion%20And%20Vapor","https://www.google.com/search?q=Boston%20168%20official%20instagram","https://open.spotify.com/search/Boston%20168;https://soundcloud.com/search?q=Boston%20168;https://www.youtube.com/results?search_query=Boston%20168%20acid%20techno%20live%20official;https://www.google.com/search?q=Boston%20168%20acid%20techno%20official%20instagram%20soundcloud%20bandcamp","https://www.beatport.com/search?q=Boston%20168%20Oblivion%20And%20Vapor;https://www.discogs.com/search/?q=Boston%20168%20Oblivion%20And%20Vapor&type=all","","Oblivion And Vapor (132)","published","medium_high","Artist profile generated from 1 acid techno track anchor(s) in club_styles_enrichment_v2_20260621."
"acid_techno","Emmanuel Top","France","Lille","Emmanuel Top appears in club_styles_enrichment_v2_20260621 for acid techno with 1 curated reference track(s). Scene use: european_acid_hypnosis.","acid techno / 303 techno","Recommend Emmanuel Top for acid techno discovery, especially when the user wants acid_trance_bridge energy and richer artist context.","european_acid_hypnosis","Attack Records","https://www.beatport.com/search?q=Emmanuel%20Top%20Turkish%20Bazar","https://www.google.com/search?q=Emmanuel%20Top%20official%20instagram","https://open.spotify.com/search/Emmanuel%20Top;https://soundcloud.com/search?q=Emmanuel%20Top;https://www.youtube.com/results?search_query=Emmanuel%20Top%20acid%20techno%20live%20official;https://www.google.com/search?q=Emmanuel%20Top%20acid%20techno%20official%20instagram%20soundcloud%20bandcamp","https://www.beatport.com/search?q=Emmanuel%20Top%20Turkish%20Bazar;https://www.discogs.com/search/?q=Emmanuel%20Top%20Turkish%20Bazar&type=all","","Turkish Bazar (129)","published","medium_high","Artist profile generated from 1 acid techno track anchor(s) in club_styles_enrichment_v2_20260621."
"acid_techno","Hardfloor","Germany","Frankfurt","Hardfloor appears in club_styles_enrichment_v2_20260621 for acid techno with 1 curated reference track(s). Scene use: classic_303_anchor.","acid techno / 303 techno","Recommend Hardfloor for acid techno discovery, especially when the user wants rolling_acid_peak energy and richer artist context.","classic_303_anchor","Harthouse","https://www.beatport.com/search?q=Hardfloor%20Acperience%201","https://www.google.com/search?q=Hardfloor%20official%20instagram","https://open.spotify.com/search/Hardfloor;https://soundcloud.com/search?q=Hardfloor;https://www.youtube.com/results?search_query=Hardfloor%20acid%20techno%20live%20official;https://www.google.com/search?q=Hardfloor%20acid%20techno%20official%20instagram%20soundcloud%20bandcamp","https://www.beatport.com/search?q=Hardfloor%20Acperience%201;https://www.discogs.com/search/?q=Hardfloor%20Acperience%201&type=all","","Acperience 1 (130)","published","high","Artist profile generated from 1 acid techno track anchor(s) in club_styles_enrichment_v2_20260621."
"acid_techno","Josh Wink","United States","Philadelphia","Josh Wink appears in club_styles_enrichment_v2_20260621 for acid techno with 1 curated reference track(s). Scene use: rave_acid_crossover.","acid techno / 303 techno","Recommend Josh Wink for acid techno discovery, especially when the user wants peak_time_acid energy and richer artist context.","rave_acid_crossover","Strictly Rhythm","https://www.beatport.com/search?q=Josh%20Wink%20Higher%20State%20Of%20Consciousness","https://www.google.com/search?q=Josh%20Wink%20official%20instagram","https://open.spotify.com/search/Josh%20Wink;https://soundcloud.com/search?q=Josh%20Wink;https://www.youtube.com/results?search_query=Josh%20Wink%20acid%20techno%20live%20official;https://www.google.com/search?q=Josh%20Wink%20acid%20techno%20official%20instagram%20soundcloud%20bandcamp","https://www.beatport.com/search?q=Josh%20Wink%20Higher%20State%20Of%20Consciousness;https://www.discogs.com/search/?q=Josh%20Wink%20Higher%20State%20Of%20Consciousness&type=all","","Higher State Of Consciousness (130)","published","medium_high","Artist profile generated from 1 acid techno track anchor(s) in club_styles_enrichment_v2_20260621."
"acid_techno","KiNK","Bulgaria","Sofia","KiNK appears in club_styles_enrichment_v2_20260621 for acid techno with 1 curated reference track(s). Scene use: live_acid_groove_bridge.","acid techno / 303 techno","Recommend KiNK for acid techno discovery, especially when the user wants bouncy_303_groove energy and richer artist context.","live_acid_groove_bridge","Running Back","https://www.beatport.com/search?q=KiNK%20Perth","https://www.google.com/search?q=KiNK%20official%20instagram","https://open.spotify.com/search/KiNK;https://soundcloud.com/search?q=KiNK;https://www.youtube.com/results?search_query=KiNK%20acid%20techno%20live%20official;https://www.google.com/search?q=KiNK%20acid%20techno%20official%20instagram%20soundcloud%20bandcamp","https://www.beatport.com/search?q=KiNK%20Perth;https://www.discogs.com/search/?q=KiNK%20Perth&type=all","","Perth (124)","published","medium_high","Artist profile generated from 1 acid techno track anchor(s) in club_styles_enrichment_v2_20260621."
"acid_techno","Luke Vibert","United Kingdom","Cornwall","Luke Vibert appears in club_styles_enrichment_v2_20260621 for acid techno with 1 curated reference track(s). Scene use: leftfield_acid_anchor.","acid techno / 303 techno","Recommend Luke Vibert for acid techno discovery, especially when the user wants playful_303_breaks energy and richer artist context.","leftfield_acid_anchor","Planet Mu","https://www.beatport.com/search?q=Luke%20Vibert%20I%20Love%20Acid","https://www.google.com/search?q=Luke%20Vibert%20official%20instagram","https://open.spotify.com/search/Luke%20Vibert;https://soundcloud.com/search?q=Luke%20Vibert;https://www.youtube.com/results?search_query=Luke%20Vibert%20acid%20techno%20live%20official;https://www.google.com/search?q=Luke%20Vibert%20acid%20techno%20official%20instagram%20soundcloud%20bandcamp","https://www.beatport.com/search?q=Luke%20Vibert%20I%20Love%20Acid;https://www.discogs.com/search/?q=Luke%20Vibert%20I%20Love%20Acid&type=all","","I Love Acid (126)","published","high","Artist profile generated from 1 acid techno track anchor(s) in club_styles_enrichment_v2_20260621."
"acid_techno","Phuture","United States","Chicago","Phuture appears in club_styles_enrichment_v2_20260621 for acid techno with 1 curated reference track(s). Scene use: acid_origin_anchor.","acid techno / 303 techno","Recommend Phuture for acid techno discovery, especially when the user wants mid_303_hypnosis energy and richer artist context.","acid_origin_anchor","Trax","https://www.beatport.com/search?q=Phuture%20Acid%20Tracks","https://www.google.com/search?q=Phuture%20official%20instagram","https://open.spotify.com/search/Phuture;https://soundcloud.com/search?q=Phuture;https://www.youtube.com/results?search_query=Phuture%20acid%20techno%20live%20official;https://www.google.com/search?q=Phuture%20acid%20techno%20official%20instagram%20soundcloud%20bandcamp","https://www.beatport.com/search?q=Phuture%20Acid%20Tracks;https://www.discogs.com/search/?q=Phuture%20Acid%20Tracks&type=all","","Acid Tracks (124)","published","high","Artist profile generated from 1 acid techno track anchor(s) in club_styles_enrichment_v2_20260621."
"acid_techno","Regal","Spain","Madrid","Regal appears in club_styles_enrichment_v2_20260621 for acid techno with 1 curated reference track(s). Scene use: acid_peak_tool.","acid techno / 303 techno","Recommend Regal for acid techno discovery, especially when the user wants peak_time_acid energy and richer artist context.","acid_peak_tool","Involve Records","https://www.beatport.com/search?q=Regal%20Acid%20Is%20The%20Answer","https://www.google.com/search?q=Regal%20official%20instagram","https://open.spotify.com/search/Regal;https://soundcloud.com/search?q=Regal;https://www.youtube.com/results?search_query=Regal%20acid%20techno%20live%20official;https://www.google.com/search?q=Regal%20acid%20techno%20official%20instagram%20soundcloud%20bandcamp","https://www.beatport.com/search?q=Regal%20Acid%20Is%20The%20Answer;https://www.discogs.com/search/?q=Regal%20Acid%20Is%20The%20Answer&type=all","","Acid Is The Answer (133)","published","medium_high","Artist profile generated from 1 acid techno track anchor(s) in club_styles_enrichment_v2_20260621."
"acid_techno","Tin Man","United States","Vienna","Tin Man appears in club_styles_enrichment_v2_20260621 for acid techno with 1 curated reference track(s). Scene use: modern_acid_depth.","acid techno / 303 techno","Recommend Tin Man for acid techno discovery, especially when the user wants deep_303_motion energy and richer artist context.","modern_acid_depth","Acid Test","https://www.beatport.com/search?q=Tin%20Man%20Nonneo","https://www.google.com/search?q=Tin%20Man%20official%20instagram","https://open.spotify.com/search/Tin%20Man;https://soundcloud.com/search?q=Tin%20Man;https://www.youtube.com/results?search_query=Tin%20Man%20acid%20techno%20live%20official;https://www.google.com/search?q=Tin%20Man%20acid%20techno%20official%20instagram%20soundcloud%20bandcamp","https://www.beatport.com/search?q=Tin%20Man%20Nonneo;https://www.discogs.com/search/?q=Tin%20Man%20Nonneo&type=all","","Nonneo (124)","published","medium_high","Artist profile generated from 1 acid techno track anchor(s) in club_styles_enrichment_v2_20260621."
