style,artist,country,city,artist_bio,artist_genre,artist_profile_hint,source,source_url,status,confidence,scene_role,source_note,social_discovery_links,label_links
full_on,1200 Micrograms,International,Ibiza Town,1200 Micrograms appears on the HIVE Festival 2026 lineup (PSY LAGOON) and is cataloged here as full-on psytrance / goa trance / psytrance. Confidence: high.,full-on psytrance / goa trance / psytrance,Use 1200 Micrograms for full-on psytrance / goa trance / psytrance discovery. HIVE 2026 booking(s): 1200 MICS.,hive_festival_2026_subgenres,https://www.hive-festival.de/,published,high,hive_festival_2026_lineup_artist,"curated_known_artist_or_scene_source; stages: PSY LAGOON. MusicBrainz tags/disambiguation matched: full-on, psychedelic trance, psytrance. Official HIVE Psy Lagoon stage context.",https://musicbrainz.org/search?query=1200%20Micrograms&type=artist&method=indexed;https://www.beatport.com/search?q=1200%20Micrograms;https://www.discogs.com/search/?q=1200%20Micrograms&type=all;https://soundcloud.com/search?q=1200%20Micrograms;https://www.youtube.com/results?search_query=1200%20Micrograms,https://www.hive-festival.de/;https://musicbrainz.org/artist/bf346e67-b4b1-41c0-bcc7-a8f4df4fbbbb
hard_trance,2HOT2PLAY,,,2HOT2PLAY appears on the HIVE Festival 2026 lineup (GROOVE BEACH) and is cataloged here as neo-rave / hard trance / eurodance trance. Confidence: medium_low.,neo-rave / hard trance / eurodance trance,Use 2HOT2PLAY for neo-rave / hard trance / eurodance trance discovery. HIVE 2026 booking(s): 2HOT2PLAY.,hive_festival_2026_subgenres,https://www.hive-festival.de/,needs_review,medium_low,hive_festival_2026_lineup_artist,official_hive_stage_context; stages: GROOVE BEACH. Official HIVE Groove Beach stage context; individual artist check recommended.,https://musicbrainz.org/search?query=2HOT2PLAY&type=artist&method=indexed;https://www.beatport.com/search?q=2HOT2PLAY;https://www.discogs.com/search/?q=2HOT2PLAY&type=all;https://soundcloud.com/search?q=2HOT2PLAY;https://www.youtube.com/results?search_query=2HOT2PLAY,https://www.hive-festival.de/
hard_trance,3LEEZA,,,3LEEZA appears on the HIVE Festival 2026 lineup (BOUNCE TEMPLE) and is cataloged here as bounce / hard trance / eurodance rave. Confidence: medium_low.,bounce / hard trance / eurodance rave,Use 3LEEZA for bounce / hard trance / eurodance rave discovery. HIVE 2026 booking(s): 3LEEZA B2B HANÀ.,hive_festival_2026_subgenres,https://www.hive-festival.de/,needs_review,medium_low,hive_festival_2026_lineup_artist,official_hive_stage_context; stages: BOUNCE TEMPLE. Official HIVE Bounce Temple stage context; app has no dedicated bounce style.,https://musicbrainz.org/search?query=3LEEZA&type=artist&method=indexed;https://www.beatport.com/search?q=3LEEZA;https://www.discogs.com/search/?q=3LEEZA&type=all;https://soundcloud.com/search?q=3LEEZA;https://www.youtube.com/results?search_query=3LEEZA,https://www.hive-festival.de/
hard_techno,44 ALL STARS,,,44 ALL STARS appears on the HIVE Festival 2026 lineup (TECHNO CASTLE) and is cataloged here as hard techno / industrial techno / schranz. Confidence: medium.,hard techno / industrial techno / schranz,Use 44 ALL STARS for hard techno / industrial techno / schranz discovery. HIVE 2026 booking(s): 44 ALL STARS.,hive_festival_2026_subgenres,https://www.hive-festival.de/,published,medium,hive_festival_2026_lineup_artist,official_hive_stage_context; stages: TECHNO CASTLE. Official HIVE Techno Castle stage context.,https://musicbrainz.org/search?query=44%20ALL%20STARS&type=artist&method=indexed;https://www.beatport.com/search?q=44%20ALL%20STARS;https://www.discogs.com/search/?q=44%20ALL%20STARS&type=all;https://soundcloud.com/search?q=44%20ALL%20STARS;https://www.youtube.com/results?search_query=44%20ALL%20STARS,https://www.hive-festival.de/
hard_trance,6EURONEUNZIG,,,6EURONEUNZIG appears on the HIVE Festival 2026 lineup (GROOVE BEACH) and is cataloged here as neo-rave / hard trance / eurodance trance. Confidence: medium_low.,neo-rave / hard trance / eurodance trance,Use 6EURONEUNZIG for neo-rave / hard trance / eurodance trance discovery. HIVE 2026 booking(s): 6EURONEUNZIG.,hive_festival_2026_subgenres,https://www.hive-festival.de/,needs_review,medium_low,hive_festival_2026_lineup_artist,official_hive_stage_context; stages: GROOVE BEACH. Official HIVE Groove Beach stage context; individual artist check recommended.,https://musicbrainz.org/search?query=6EURONEUNZIG&type=artist&method=indexed;https://www.beatport.com/search?q=6EURONEUNZIG;https://www.discogs.com/search/?q=6EURONEUNZIG&type=all;https://soundcloud.com/search?q=6EURONEUNZIG;https://www.youtube.com/results?search_query=6EURONEUNZIG,https://www.hive-festival.de/
hard_techno,A.N.I.,,,A.N.I. appears on the HIVE Festival 2026 lineup (TECHNO CASTLE; WARM-UP PARTY) and is cataloged here as hard techno / industrial techno / schranz. Confidence: medium.,hard techno / industrial techno / schranz,Use A.N.I. for hard techno / industrial techno / schranz discovery. HIVE 2026 booking(s): A.N.I.; A.N.I. F2F JOVYNN.,hive_festival_2026_subgenres,https://www.hive-festival.de/,published,medium,hive_festival_2026_lineup_artist,official_hive_stage_context; stages: TECHNO CASTLE; WARM-UP PARTY. Official HIVE Techno Castle stage context.,https://musicbrainz.org/search?query=A.N.I.&type=artist&method=indexed;https://www.beatport.com/search?q=A.N.I.;https://www.discogs.com/search/?q=A.N.I.&type=all;https://soundcloud.com/search?q=A.N.I.;https://www.youtube.com/results?search_query=A.N.I.,https://www.hive-festival.de/
progressive_psy,Ace Ventura,Israel,,Ace Ventura appears on the HIVE Festival 2026 lineup (PSY LAGOON) and is cataloged here as progressive psytrance / psytrance. Confidence: high.,progressive psytrance / psytrance,Use Ace Ventura for progressive psytrance / psytrance discovery. HIVE 2026 booking(s): ACE VENTURA.,hive_festival_2026_subgenres,https://www.hive-festival.de/,published,high,hive_festival_2026_lineup_artist,curated_known_artist_or_scene_source; stages: PSY LAGOON. MusicBrainz tags/disambiguation matched: psytrance. Official HIVE Psy Lagoon stage context.,https://musicbrainz.org/search?query=Ace%20Ventura&type=artist&method=indexed;https://www.beatport.com/search?q=Ace%20Ventura;https://www.discogs.com/search/?q=Ace%20Ventura&type=all;https://soundcloud.com/search?q=Ace%20Ventura;https://www.youtube.com/results?search_query=Ace%20Ventura,https://www.hive-festival.de/;https://musicbrainz.org/artist/0c205acd-5003-4b0d-b603-fb91b93b6eae
hard_trance,ACHIM FEUERVOGEL,,,ACHIM FEUERVOGEL appears on the HIVE Festival 2026 lineup (BOUNCE TEMPLE) and is cataloged here as bounce / hard trance / eurodance rave. Confidence: medium_low.,bounce / hard trance / eurodance rave,Use ACHIM FEUERVOGEL for bounce / hard trance / eurodance rave discovery. HIVE 2026 booking(s): ZWILLING. B2B ACHIM FEUERVOGEL FEAT. FRONS.,hive_festival_2026_subgenres,https://www.hive-festival.de/,needs_review,medium_low,hive_festival_2026_lineup_artist,official_hive_stage_context; stages: BOUNCE TEMPLE. Official HIVE Bounce Temple stage context; app has no dedicated bounce style.,https://musicbrainz.org/search?query=ACHIM%20FEUERVOGEL&type=artist&method=indexed;https://www.beatport.com/search?q=ACHIM%20FEUERVOGEL;https://www.discogs.com/search/?q=ACHIM%20FEUERVOGEL&type=all;https://soundcloud.com/search?q=ACHIM%20FEUERVOGEL;https://www.youtube.com/results?search_query=ACHIM%20FEUERVOGEL,https://www.hive-festival.de/
hard_trance,Acid Asian,,,Acid Asian appears on the HIVE Festival 2026 lineup (BOUNCE TEMPLE) and is cataloged here as hard trance / eurodance rave / bounce. Confidence: medium_high.,hard trance / eurodance rave / bounce,Use Acid Asian for hard trance / eurodance rave / bounce discovery. HIVE 2026 booking(s): MACON B2B ACID ASIAN.,hive_festival_2026_subgenres,https://www.hive-festival.de/,published,medium_high,hive_festival_2026_lineup_artist,curated_known_artist_or_scene_source; stages: BOUNCE TEMPLE. Official HIVE Bounce Temple stage context; app has no dedicated bounce style.,https://musicbrainz.org/search?query=Acid%20Asian&type=artist&method=indexed;https://www.beatport.com/search?q=Acid%20Asian;https://www.discogs.com/search/?q=Acid%20Asian&type=all;https://soundcloud.com/search?q=Acid%20Asian;https://www.youtube.com/results?search_query=Acid%20Asian,https://www.hive-festival.de/
hard_trance,ADRIÁN MILLS,,,ADRIÁN MILLS appears on the HIVE Festival 2026 lineup (GROOVE BEACH; WARM-UP PARTY) and is cataloged here as neo-rave / hard trance / eurodance trance. Confidence: medium_low.,neo-rave / hard trance / eurodance trance,Use ADRIÁN MILLS for neo-rave / hard trance / eurodance trance discovery. HIVE 2026 booking(s): ADRIÁN MILLS; ADRIÁN MILLS F2F PEGASSI.,hive_festival_2026_subgenres,https://www.hive-festival.de/,needs_review,medium_low,hive_festival_2026_lineup_artist,official_hive_stage_context; stages: GROOVE BEACH; WARM-UP PARTY. Official HIVE Groove Beach stage context; individual artist check recommended.,https://musicbrainz.org/search?query=ADRI%C3%81N%20MILLS&type=artist&method=indexed;https://www.beatport.com/search?q=ADRI%C3%81N%20MILLS;https://www.discogs.com/search/?q=ADRI%C3%81N%20MILLS&type=all;https://soundcloud.com/search?q=ADRI%C3%81N%20MILLS;https://www.youtube.com/results?search_query=ADRI%C3%81N%20MILLS,https://www.hive-festival.de/
