"style","artist","song","label","bpm_exact","preview_url","release_date","duration_sec","country","city","artist_bio","artist_genre","artist_profile_hint","source","source_url","track_url","deezer_track_id","deezer_track_url","cover_art_url","youtube_track_url","soundcloud_track_url","bandcamp_track_url","bandcamp_track_id","source_tags","album_keywords","energy_band","catalog_role","confidence","source_note","social_discovery_links","label_links"
"edm","Calvin Harris","This Is What You Came For","This Is What You Came For","","https://cdnt-preview.dzcdn.net/api/1/1/e/e/9/0/ee9343b8c6302f49270fd6e96321276c.mp3?hdnea=exp=1782111977~acl=/api/1/1/e/e/9/0/ee9343b8c6302f49270fd6e96321276c.mp3*~data=user_id=0,application_id=42~hmac=8c195662ecc49bd58ebdc4dcd9ceaa22cbe3ec17e49e98de4a4162ea3723d57d","","222","Scotland","Dumfries","Calvin Harris entra no recorte de festivais 2026/2027 por line-up confirmado em Tomorrowland Belgium 2026, Ultra Europe 2026.","Mainstage EDM / dance-pop","Recomendar Calvin Harris em edm; evento futuro: Tomorrowland Belgium 2026 (2026-07-17, Boom, BE); Ultra Europe 2026 (2026-07-10, Split, HR).","festival_2026_2027_recommendations_20260622","https://belgium.tomorrowland.com/en/line-up/","https://www.deezer.com/track/123883254","123883254","https://www.deezer.com/track/123883254","https://cdn-images.dzcdn.net/images/cover/b8af7ff13a47e2775307299843da9b36/500x500-000000-80-0-0.jpg","https://www.youtube.com/results?search_query=Calvin%20Harris%20This%20Is%20What%20You%20Came%20For","","","","festival_2026_2027;edm;tomorrowland_belgium_2026;ultra_europe_2026;tomorrowland_belgium_2026;ultra_europe_2026","Tomorrowland Belgium 2026;Ultra Europe 2026;Mainstage EDM / dance-pop","festival_future_anchor","future_festival_recommendation;producer_with_verified_tracks","high","Artista anunciado em Tomorrowland Belgium 2026 (2026-07-17, Boom, BE); Ultra Europe 2026 (2026-07-10, Split, HR); faixa escolhida via Deezer com artista exato e preview tocavel.","https://belgium.tomorrowland.com/en/line-up/;https://ultraeurope.com/lineup/",""
"progressive_edm","Martin Garrix","In the Name of Love","In the Name of Love","","https://cdnt-preview.dzcdn.net/api/1/1/e/9/f/0/e9f810d14e97f241541cc7fc40cb695f.mp3?hdnea=exp=1782111978~acl=/api/1/1/e/9/f/0/e9f810d14e97f241541cc7fc40cb695f.mp3*~data=user_id=0,application_id=42~hmac=6fe09080c32203a0862824b2a3e61a89ae11382f3cba0e31913f56618ae61a74","","195","Netherlands","Amstelveen","Martin Garrix entra no recorte de festivais 2026/2027 por line-up confirmado em Tomorrowland Belgium 2026, Ultra Europe 2026.","Progressive EDM / big-room","Recomendar Martin Garrix em progressive_edm; evento futuro: Tomorrowland Belgium 2026 (2026-07-17, Boom, BE); Ultra Europe 2026 (2026-07-10, Split, HR).","festival_2026_2027_recommendations_20260622","https://belgium.tomorrowland.com/en/line-up/","https://www.deezer.com/track/129313094","129313094","https://www.deezer.com/track/129313094","https://cdn-images.dzcdn.net/images/cover/eed47f7aa8765df6c4e8891a4a70d298/500x500-000000-80-0-0.jpg","https://www.youtube.com/results?search_query=Martin%20Garrix%20In%20the%20Name%20of%20Love","","","","festival_2026_2027;progressive_edm;tomorrowland_belgium_2026;ultra_europe_2026;tomorrowland_belgium_2026;ultra_europe_2026","Tomorrowland Belgium 2026;Ultra Europe 2026;Progressive EDM / big-room","festival_future_anchor","future_festival_recommendation;producer_with_verified_tracks","high","Artista anunciado em Tomorrowland Belgium 2026 (2026-07-17, Boom, BE); Ultra Europe 2026 (2026-07-10, Split, HR); faixa escolhida via Deezer com artista exato e preview tocavel.","https://belgium.tomorrowland.com/en/line-up/;https://ultraeurope.com/lineup/",""
"mainstage_techno","Hardwell","Call Me A Spaceman","Spaceman","","https://cdnt-preview.dzcdn.net/api/1/1/c/0/d/0/c0dc0f84712e4bf4d25f21ff048bd8db.mp3?hdnea=exp=1782111978~acl=/api/1/1/c/0/d/0/c0dc0f84712e4bf4d25f21ff048bd8db.mp3*~data=user_id=0,application_id=42~hmac=d67ecb82ca83b9b1637930d0dfd98dd6bbf37f3939992285abc23f332473d570","","189","Netherlands","Breda","Hardwell entra no recorte de festivais 2026/2027 por line-up confirmado em Tomorrowland Belgium 2026, Ultra Europe 2026.","Big-room techno / mainstage EDM","Recomendar Hardwell em mainstage_techno; evento futuro: Tomorrowland Belgium 2026 (2026-07-17, Boom, BE); Ultra Europe 2026 (2026-07-10, Split, HR).","festival_2026_2027_recommendations_20260622","https://belgium.tomorrowland.com/en/line-up/","https://www.deezer.com/track/1818071587","1818071587","https://www.deezer.com/track/1818071587","https://cdn-images.dzcdn.net/images/cover/6557d669736063b655fab4d69594062f/500x500-000000-80-0-0.jpg","https://www.youtube.com/results?search_query=Hardwell%20Call%20Me%20A%20Spaceman","","","","festival_2026_2027;mainstage_techno;tomorrowland_belgium_2026;ultra_europe_2026;tomorrowland_belgium_2026;ultra_europe_2026","Tomorrowland Belgium 2026;Ultra Europe 2026;Big-room techno / mainstage EDM","festival_future_anchor","future_festival_recommendation;producer_with_verified_tracks","high","Artista anunciado em Tomorrowland Belgium 2026 (2026-07-17, Boom, BE); Ultra Europe 2026 (2026-07-10, Split, HR); faixa escolhida via Deezer com artista exato e preview tocavel.","https://belgium.tomorrowland.com/en/line-up/;https://ultraeurope.com/lineup/",""
"trance_uplifting","Armin van Buuren","This Is What It Feels Like","Intense (The More Intense Edition)","","https://cdnt-preview.dzcdn.net/api/1/1/b/f/2/0/bf2b7dca99d8ef28707b192251da210b.mp3?hdnea=exp=1782111979~acl=/api/1/1/b/f/2/0/bf2b7dca99d8ef28707b192251da210b.mp3*~data=user_id=0,application_id=42~hmac=3a1b06df924ba3030a2e48241b8f30a8874ad0fa89a2d344fc56e91a1bad0985","","204","Netherlands","Leiden","Armin van Buuren entra no recorte de festivais 2026/2027 por line-up confirmado em Tomorrowland Belgium 2026, Ultra Europe 2026.","Uplifting trance / progressive trance","Recomendar Armin van Buuren em trance_uplifting; evento futuro: Tomorrowland Belgium 2026 (2026-07-17, Boom, BE); Ultra Europe 2026 (2026-07-10, Split, HR).","festival_2026_2027_recommendations_20260622","https://belgium.tomorrowland.com/en/line-up/","https://www.deezer.com/track/72327967","72327967","https://www.deezer.com/track/72327967","https://cdn-images.dzcdn.net/images/cover/23cf6e0aa081b1b76db2070bb5b3495c/500x500-000000-80-0-0.jpg","https://www.youtube.com/results?search_query=Armin%20van%20Buuren%20This%20Is%20What%20It%20Feels%20Like","","","","festival_2026_2027;trance_uplifting;tomorrowland_belgium_2026;ultra_europe_2026;tomorrowland_belgium_2026;ultra_europe_2026","Tomorrowland Belgium 2026;Ultra Europe 2026;Uplifting trance / progressive trance","festival_future_anchor","future_festival_recommendation;producer_with_verified_tracks","high","Artista anunciado em Tomorrowland Belgium 2026 (2026-07-17, Boom, BE); Ultra Europe 2026 (2026-07-10, Split, HR); faixa escolhida via Deezer com artista exato e preview tocavel.","https://belgium.tomorrowland.com/en/line-up/;https://ultraeurope.com/lineup/",""
"tech_house","FISHER","Rain","Rain","","https://cdnt-preview.dzcdn.net/api/1/1/0/6/9/0/069dd9a3f8c34b52280a28c4d80ec32a.mp3?hdnea=exp=1782111980~acl=/api/1/1/0/6/9/0/069dd9a3f8c34b52280a28c4d80ec32a.mp3*~data=user_id=0,application_id=42~hmac=69f383f16fa42a08bf3b7b49cc7c8a47adadf8750f95c470d8928200a4058ade","","209","Australia","Gold Coast","FISHER entra no recorte de festivais 2026/2027 por line-up confirmado em Tomorrowland Belgium 2026, Ultra Europe 2026.","Tech house","Recomendar FISHER em tech_house; evento futuro: Tomorrowland Belgium 2026 (2026-07-17, Boom, BE); Ultra Europe 2026 (2026-07-10, Split, HR).","festival_2026_2027_recommendations_20260622","https://belgium.tomorrowland.com/en/line-up/","https://www.deezer.com/track/3761388842","3761388842","https://www.deezer.com/track/3761388842","https://cdn-images.dzcdn.net/images/cover/e86fe37c8e6e93eeb75a6cf84a92fd42/500x500-000000-80-0-0.jpg","https://www.youtube.com/results?search_query=FISHER%20Rain","","","","festival_2026_2027;tech_house;tomorrowland_belgium_2026;ultra_europe_2026;tomorrowland_belgium_2026;ultra_europe_2026","Tomorrowland Belgium 2026;Ultra Europe 2026;Tech house","festival_future_anchor","future_festival_recommendation;producer_with_verified_tracks","high","Artista anunciado em Tomorrowland Belgium 2026 (2026-07-17, Boom, BE); Ultra Europe 2026 (2026-07-10, Split, HR); faixa escolhida via Deezer com artista exato e preview tocavel.","https://belgium.tomorrowland.com/en/line-up/;https://ultraeurope.com/lineup/",""
"slap_house","Alok","Hear Me Now","Hear Me Now (feat. Zeeba)","","https://cdnt-preview.dzcdn.net/api/1/1/5/8/1/0/5813d5d08be89452b685f28a8ef1e698.mp3?hdnea=exp=1782111980~acl=/api/1/1/5/8/1/0/5813d5d08be89452b685f28a8ef1e698.mp3*~data=user_id=0,application_id=42~hmac=33777d7b9253e6b7872077014186fae9a3af491bb2cc1b6345f0bdf52aa2e688","","194","Brazil","Goiania","Alok entra no recorte de festivais 2026/2027 por line-up confirmado em Tomorrowland Belgium 2026.","Brazilian bass / slap house","Recomendar Alok em slap_house; evento futuro: Tomorrowland Belgium 2026 (2026-07-17, Boom, BE).","festival_2026_2027_recommendations_20260622","https://belgium.tomorrowland.com/en/line-up/","https://www.deezer.com/track/452769552","452769552","https://www.deezer.com/track/452769552","https://cdn-images.dzcdn.net/images/cover/666f254b772127dd8b15954d4f52af16/500x500-000000-80-0-0.jpg","https://www.youtube.com/results?search_query=Alok%20Hear%20Me%20Now","","","","festival_2026_2027;slap_house;tomorrowland_belgium_2026;tomorrowland_belgium_2026","Tomorrowland Belgium 2026;Brazilian bass / slap house","festival_future_anchor","future_festival_recommendation;producer_with_verified_tracks","high","Artista anunciado em Tomorrowland Belgium 2026 (2026-07-17, Boom, BE); faixa escolhida via Deezer com artista exato e preview tocavel.","https://belgium.tomorrowland.com/en/line-up/",""
"tech_house","Dom Dolla","Addicted To Bass (Dom Dolla Relapse)","Addicted To Bass (Dom Dolla Relapse)","","https://cdnt-preview.dzcdn.net/api/1/1/8/4/e/0/84e9eeefc5ae4758fe6d99ab127061b7.mp3?hdnea=exp=1782111981~acl=/api/1/1/8/4/e/0/84e9eeefc5ae4758fe6d99ab127061b7.mp3*~data=user_id=0,application_id=42~hmac=b5aeb2f922df86a1ff8ad367ca5a5b89d14ada9ada10de8d912af38526b75731","","189","Australia","Melbourne","Dom Dolla entra no recorte de festivais 2026/2027 por line-up confirmado em Ultra Europe 2026.","Tech house","Recomendar Dom Dolla em tech_house; evento futuro: Ultra Europe 2026 (2026-07-10, Split, HR).","festival_2026_2027_recommendations_20260622","https://ultraeurope.com/lineup/","https://www.deezer.com/track/3864226981","3864226981","https://www.deezer.com/track/3864226981","https://cdn-images.dzcdn.net/images/cover/9dce1a816e803eebdfdd0fd8ff232ee3/500x500-000000-80-0-0.jpg","https://www.youtube.com/results?search_query=Dom%20Dolla%20Addicted%20To%20Bass%20(Dom%20Dolla%20Relapse)","","","","festival_2026_2027;tech_house;ultra_europe_2026;ultra_europe_2026","Ultra Europe 2026;Tech house","festival_future_anchor","future_festival_recommendation;producer_with_verified_tracks","high","Artista anunciado em Ultra Europe 2026 (2026-07-10, Split, HR); faixa escolhida via Deezer com artista exato e preview tocavel.","https://ultraeurope.com/lineup/",""
"tech_house","John Summit","ALL THE TIME","ALL THE TIME","","https://cdnt-preview.dzcdn.net/api/1/1/a/b/1/0/ab1b63b54aa99f64c026ccaf84decc8d.mp3?hdnea=exp=1782111982~acl=/api/1/1/a/b/1/0/ab1b63b54aa99f64c026ccaf84decc8d.mp3*~data=user_id=0,application_id=42~hmac=1ec9aebc1b2cce724f6041752c269898ead55227f192f022fa8bda19a9c3ff84","","180","United States","Chicago","John Summit entra no recorte de festivais 2026/2027 por line-up confirmado em Tomorrowland Belgium 2026, Ultra Europe 2026.","Tech house","Recomendar John Summit em tech_house; evento futuro: Tomorrowland Belgium 2026 (2026-07-17, Boom, BE); Ultra Europe 2026 (2026-07-10, Split, HR).","festival_2026_2027_recommendations_20260622","https://belgium.tomorrowland.com/en/line-up/","https://www.deezer.com/track/3913212711","3913212711","https://www.deezer.com/track/3913212711","https://cdn-images.dzcdn.net/images/cover/2e560e6a82f97689baaa001532f24225/500x500-000000-80-0-0.jpg","https://www.youtube.com/results?search_query=John%20Summit%20ALL%20THE%20TIME","","","","festival_2026_2027;tech_house;tomorrowland_belgium_2026;ultra_europe_2026;tomorrowland_belgium_2026;ultra_europe_2026","Tomorrowland Belgium 2026;Ultra Europe 2026;Tech house","festival_future_anchor","future_festival_recommendation;producer_with_verified_tracks","high","Artista anunciado em Tomorrowland Belgium 2026 (2026-07-17, Boom, BE); Ultra Europe 2026 (2026-07-10, Split, HR); faixa escolhida via Deezer com artista exato e preview tocavel.","https://belgium.tomorrowland.com/en/line-up/;https://ultraeurope.com/lineup/",""
"hard_techno","Sara Landry","Hands Up","Hands Up","","https://cdnt-preview.dzcdn.net/api/1/1/0/d/4/0/0d4ad5b4ea6d0dc3a3c27060d1b81436.mp3?hdnea=exp=1782111982~acl=/api/1/1/0/d/4/0/0d4ad5b4ea6d0dc3a3c27060d1b81436.mp3*~data=user_id=0,application_id=42~hmac=5b92f764f468d647e325e035ce3fee985c898d1f295f5958792d158195104a28","","205","United States","Austin","Sara Landry entra no recorte de festivais 2026/2027 por line-up confirmado em Tomorrowland Belgium 2026, Ultra Europe 2026.","Hard techno","Recomendar Sara Landry em hard_techno; evento futuro: Tomorrowland Belgium 2026 (2026-07-17, Boom, BE); Ultra Europe 2026 (2026-07-10, Split, HR).","festival_2026_2027_recommendations_20260622","https://belgium.tomorrowland.com/en/line-up/","https://www.deezer.com/track/4023839401","4023839401","https://www.deezer.com/track/4023839401","https://cdn-images.dzcdn.net/images/cover/1cde700d66d745c3ad840d9e7abc5514/500x500-000000-80-0-0.jpg","https://www.youtube.com/results?search_query=Sara%20Landry%20Hands%20Up","","","","festival_2026_2027;hard_techno;tomorrowland_belgium_2026;ultra_europe_2026;tomorrowland_belgium_2026;ultra_europe_2026","Tomorrowland Belgium 2026;Ultra Europe 2026;Hard techno","festival_future_anchor","future_festival_recommendation;producer_with_verified_tracks","high","Artista anunciado em Tomorrowland Belgium 2026 (2026-07-17, Boom, BE); Ultra Europe 2026 (2026-07-10, Split, HR); faixa escolhida via Deezer com artista exato e preview tocavel.","https://belgium.tomorrowland.com/en/line-up/;https://ultraeurope.com/lineup/",""
"industrial_techno","I Hate Models","Daydream","Warehouse Memories","","https://cdnt-preview.dzcdn.net/api/1/1/6/b/a/0/6ba97f8929e76b1cfb37ba8b7c2cb5f8.mp3?hdnea=exp=1782111983~acl=/api/1/1/6/b/a/0/6ba97f8929e76b1cfb37ba8b7c2cb5f8.mp3*~data=user_id=0,application_id=42~hmac=28fc72436f7ecbf751d6fd0a7217307dff0c7096e74985e436d68fd5d511d13e","","463","France","","I Hate Models entra no recorte de festivais 2026/2027 por line-up confirmado em Tomorrowland Belgium 2026, Ultra Europe 2026.","Industrial techno / hard techno","Recomendar I Hate Models em industrial_techno; evento futuro: Tomorrowland Belgium 2026 (2026-07-17, Boom, BE); Ultra Europe 2026 (2026-07-10, Split, HR).","festival_2026_2027_recommendations_20260622","https://belgium.tomorrowland.com/en/line-up/","https://www.deezer.com/track/357057861","357057861","https://www.deezer.com/track/357057861","https://cdn-images.dzcdn.net/images/cover/bd4d16cc280c202142d61bcd36e54380/500x500-000000-80-0-0.jpg","https://www.youtube.com/results?search_query=I%20Hate%20Models%20Daydream","","","","festival_2026_2027;industrial_techno;tomorrowland_belgium_2026;ultra_europe_2026;tomorrowland_belgium_2026;ultra_europe_2026","Tomorrowland Belgium 2026;Ultra Europe 2026;Industrial techno / hard techno","festival_future_anchor","future_festival_recommendation;producer_with_verified_tracks","high","Artista anunciado em Tomorrowland Belgium 2026 (2026-07-17, Boom, BE); Ultra Europe 2026 (2026-07-10, Split, HR); faixa escolhida via Deezer com artista exato e preview tocavel.","https://belgium.tomorrowland.com/en/line-up/;https://ultraeurope.com/lineup/",""
