style,artist,song,label,bpm_exact,release_date,duration_sec,country,city,artist_bio,artist_genre,artist_profile_hint,source
full_on,Avalon,Distant Futures,Nano Records,145,2015,460,United Kingdom,,"Avalon e referencia de full-on moderno com energia clara de pista.",Full On,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
full_on,Burn In Noise,Last Window,Nano Records,145,2012,480,Brazil,,"Burn In Noise e um dos grandes nomes brasileiros do full-on psicodelico.",Full On,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
full_on,Tristan,Excitement Generator,Nano Records,145,2013,470,United Kingdom,,"Tristan representa full-on psicodelico com groove classico e pressao de pista.",Full On,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
full_on,Dickster,Dizzy Drops,Nano Records,146,2016,460,United Kingdom,,"Dickster traz full-on elastico e detalhado para pistas psicodelicas.",Full On,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
full_on,Earthling,Ray Gun,Nano Records,145,2014,470,Spain,,"Earthling e conhecido por psytrance e full-on de alta funcionalidade.",Full On,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
full_on,AMD,Big Dipper,Nano Records,145,2011,460,United Kingdom,,"AMD une Aphid Moon e Dickster em full-on de pista direta.",Full On,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
full_on,Master Blasters,Beatbox,Sangoma Records,146,2013,455,Germany,,"Master Blasters combina full-on e psytrance moderno com linhas fortes.",Full On,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
full_on,Symbolic,Crystal Clear,HOMmega,145,2014,480,Israel,,"Symbolic aparece no full-on e psytrance melodico com producao limpa.",Full On,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
full_on_night,Braincell,Frequency Evolution,Glowing Flame Records,148,2010,500,Switzerland,,"Braincell e referencia de full-on night tecnico e psicodelico.",Full On Night,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
full_on_night,Virtual Light,Zero One,Nano Records,148,2015,470,Canada,,"Virtual Light representa full-on noturno seco e acido.",Full On Night,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
full_on_night,Southwild,Stomping Ground,Wildthings Records,148,2013,470,United Kingdom,,"Southwild reforca o full-on noturno com groove pesado.",Full On Night,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
full_on_night,Ajja,Juicy Shrooms,Peak Records,148,2007,490,Switzerland,,"Ajja cruza psicodelia noturna e full-on organico.",Full On Night,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
full_on_night,Psymmetrix,Boing,Wildthings Records,148,2010,470,United Kingdom,,"Psymmetrix e conhecido por full-on noturno britanico e elastico.",Full On Night,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
full_on_night,Parasense,Shaman,Acidance Records,148,2002,500,Russia,,"Parasense e nome historico do psytrance noturno e full-on pesado.",Full On Night,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
full_on_night,Illegal Machines,Trouble Maker,Parvati Records,148,2008,480,France,,"Illegal Machines traz full-on noturno com textura underground.",Full On Night,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
full_on_morning,Digicult,Magic, Dacru Records,144,2010,460,Belgium,,"Digicult representa full-on morning melodico e aberto.",Full On Morning,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
full_on_morning,Tropical Bleyage,Human Lights,Dacru Records,144,2014,460,Serbia,,"Tropical Bleyage reforca o full-on morning de festival melodico.",Full On Morning,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
full_on_morning,Electro Sun,Death Wish,Com.Pact Records,145,2006,455,Israel,,"Electro Sun e ligado ao full-on melodico de manha e festival.",Full On Morning,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
full_on_morning,System Nipel,Dream Vision,Com.Pact Records,145,2007,455,Israel,,"System Nipel representa full-on melodico com energia clara.",Full On Morning,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
full_on_morning,Ananda Shake,Total Overdose,UTA Records,145,2005,460,Israel,,"Ananda Shake e um nome classico do full-on melodico israelense.",Full On Morning,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
full_on_morning,Sesto Sento,Disconnecting,Com.Pact Records,145,2005,455,Israel,,"Sesto Sento marcou o full-on melodico dos anos 2000.",Full On Morning,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
full_on_morning,Audiotec,The Magic Of Love,Mainstage Records,144,2014,450,Israel,,"Audiotec aparece no full-on morning com melodias diretas.",Full On Morning,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
progressive_psy,Neelix,Coloured Light,Spin Twist Records,136,2013,430,Germany,,"Neelix e referencia de progressive psy acessivel e grooveado.",Progressive Psy,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
progressive_psy,Phaxe,Mr Bogart,Spin Twist Records,138,2014,450,Denmark,,"Phaxe cria progressive psy melodico com acabamento emocional.",Progressive Psy,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
progressive_psy,Morten Granau,Fest,HOMmega,138,2015,450,Denmark,,"Morten Granau e conhecido por progressive psy limpo e melodico.",Progressive Psy,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
progressive_psy,Querox,Tripical Moon,Prog On Syndicate,136,2014,450,Germany,,"Querox representa progressive psy melodico de pista.",Progressive Psy,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
progressive_psy,Interactive Noise,Frequency Hugs,Spin Twist Records,138,2012,450,Mexico,,"Interactive Noise une progressive psy e groove de festival.",Progressive Psy,"Expansao v2 focada em subgenero com falta de faixas.",verified_track_expansion_v2
