"style","artist","country","city","artist_bio","artist_genre","artist_profile_hint","scene_role","source_anchor","source_anchor_url","primary_social_url","social_discovery_links","label_links","cover_art_url","profile_tracks","status","confidence","source_note"
"hypnotic_techno","Tobias.","Germany","Berlin","Tobias. entra no Berlin club radar a partir do programa oficial de Berghain em julho de 2026, no recorte hypnotic/deep techno.","Hypnotic Techno / Deep Techno","Recomendar Tobias. quando o usuario pedir techno hipnotico, profundo, preciso e de pista berlinense.","berlin_club_radar_202607_hypnotic_deep","Klubnacht 11.07.2026 / Berghain","https://www.berghain.berlin/en/program/","https://www.berghain.berlin/en/program/","https://www.youtube.com/results?search_query=Tobias.%20DJ%20set%20techno;https://soundcloud.com/search?q=Tobias.%20DJ%20set%20techno","https://www.berghain.berlin/en/program/","","Berghain program July 2026; Tobias.","published","high","Official Berghain program lists Tobias. for Klubnacht 11.07.2026; subgenre assigned by artist context and app taxonomy."
"deep_techno","Doltz","Japan","","Doltz entra como live act no programa oficial de Berghain em julho de 2026, ligado a deep/hypnotic techno.","Deep Techno / Hypnotic Techno / Live","Recomendar Doltz quando o usuario pedir live act de techno profundo, mental e textural.","berlin_club_radar_202607_hypnotic_live","Klubnacht 11.07.2026 / Berghain Live","https://www.berghain.berlin/en/program/","https://www.berghain.berlin/en/program/","https://www.youtube.com/results?search_query=Doltz%20live%20techno%20set;https://soundcloud.com/search?q=Doltz%20live%20techno","https://www.berghain.berlin/en/program/","","Berghain program July 2026; Doltz Live","published","high","Official Berghain program lists Doltz Live for Klubnacht 11.07.2026; live role preserved."
"hypnotic_techno","Adiel","Italy","","Adiel entra no Berlin club radar pelo programa oficial de Berghain, com recorte de techno hipnotico e profundo.","Hypnotic Techno / Deep Techno","Recomendar Adiel para techno circular, escuro e refinado com energia de club set.","berlin_club_radar_202607_hypnotic_deep","Klubnacht 11.07.2026 / Berghain","https://www.berghain.berlin/en/program/","https://www.berghain.berlin/en/program/","https://www.youtube.com/results?search_query=Adiel%20DJ%20set%20hypnotic%20techno;https://soundcloud.com/search?q=Adiel%20DJ%20set","https://www.berghain.berlin/en/program/","","Berghain program July 2026; Adiel","published","high","Official Berghain program lists Adiel for Klubnacht 11.07.2026; taxonomy uses hypnotic/deep techno."
"hardgroove_techno","BLANKA","France","","BLANKA entra no radar pelo programa oficial de Berghain, mapeada para hardgroove/raw techno contemporaneo.","Hardgroove Techno / Raw Techno","Recomendar BLANKA para techno ritmico, seco, rapido e com groove moderno.","berlin_club_radar_202607_raw_hardgroove","Klubnacht 11.07.2026 / Berghain","https://www.berghain.berlin/en/program/","https://www.berghain.berlin/en/program/","https://www.youtube.com/results?search_query=BLANKA%20DJ%20set%20techno;https://soundcloud.com/search?q=BLANKA%20DJ%20set%20techno","https://www.berghain.berlin/en/program/","","Berghain program July 2026; BLANKA","published","high","Official Berghain program lists BLANKA for Klubnacht 11.07.2026; subgenre assigned as raw/hardgroove."
"electro","Delta Funktionen","Netherlands","","Delta Funktionen entra no radar pelo line-up de Berghain com ponte entre techno, electro e acid.","Techno / Electro / Acid","Recomendar Delta Funktionen para usuarios que querem techno com electro, maquina e acidez.","berlin_club_radar_202607_acid_electro","Klubnacht 11.07.2026 / Berghain","https://www.berghain.berlin/en/program/","https://www.berghain.berlin/en/program/","https://www.youtube.com/results?search_query=Delta%20Funktionen%20DJ%20set;https://soundcloud.com/search?q=Delta%20Funktionen%20DJ%20set","https://www.berghain.berlin/en/program/","","Berghain program July 2026; Delta Funktionen","published","high","Official Berghain program lists Delta Funktionen for Klubnacht 11.07.2026; taxonomy puts him in acid/electro."
"raw_techno","Kr!z","Belgium","","Kr!z entra no radar de Berlim pelo programa oficial de Berghain, no eixo raw/groove techno.","Raw Techno / Groove Techno","Recomendar Kr!z para techno direto, tenso e de basement, sem excesso melodico.","berlin_club_radar_202607_raw_hardgroove","Klubnacht 11.07.2026 / Berghain","https://www.berghain.berlin/en/program/","https://www.berghain.berlin/en/program/","https://www.youtube.com/results?search_query=Kr!z%20DJ%20set%20techno;https://soundcloud.com/search?q=Kr!z%20DJ%20set%20techno","https://www.berghain.berlin/en/program/","","Berghain program July 2026; Kr!z","published","high","Official Berghain program lists Kr!z for Klubnacht 11.07.2026; subgenre assigned as raw/groove techno."
"hypnotic_techno","Mary Lake","Netherlands","","Mary Lake entra pelo programa oficial de Berghain como nome de techno hipnotico e profundo para pista longa.","Hypnotic Techno / Deep Techno","Recomendar Mary Lake para techno limpo, progressivo no sentido de construcao e hipnotico.","berlin_club_radar_202607_hypnotic_deep","Klubnacht 11.07.2026 / Berghain","https://www.berghain.berlin/en/program/","https://www.berghain.berlin/en/program/","https://www.youtube.com/results?search_query=Mary%20Lake%20DJ%20set%20techno;https://soundcloud.com/search?q=Mary%20Lake%20DJ%20set","https://www.berghain.berlin/en/program/","","Berghain program July 2026; Mary Lake","published","high","Official Berghain program lists Mary Lake for Klubnacht 11.07.2026; taxonomy uses hypnotic/deep techno."
"deep_techno","Aurora Halal","United States","New York","Aurora Halal entra no radar pelo programa oficial de Berghain, como referencia de deep/hypnotic techno psicodelico.","Deep Techno / Hypnotic Techno","Recomendar Aurora Halal para techno enevoado, profundo, psicodelico e de club set.","berlin_club_radar_202607_hypnotic_deep","Klubnacht 18.07.2026 / Berghain","https://www.berghain.berlin/en/program/","https://www.berghain.berlin/en/program/","https://www.youtube.com/results?search_query=Aurora%20Halal%20DJ%20set;https://soundcloud.com/search?q=Aurora%20Halal%20DJ%20set","https://www.berghain.berlin/en/program/","","Berghain program July 2026; Aurora Halal","published","high","Official Berghain program lists Aurora Halal for Klubnacht 18.07.2026; taxonomy uses deep/hypnotic techno."
"raw_techno","Blasha & Allatt","United Kingdom","Manchester","Blasha & Allatt entram no programa oficial de Berghain em julho de 2026 e reforcam o eixo raw/hardgroove.","Raw Techno / Hardgroove","Recomendar Blasha & Allatt para techno UK contemporaneo, bruto e com groove de pista.","berlin_club_radar_202607_raw_hardgroove","Klubnacht 18.07.2026 / Berghain","https://www.berghain.berlin/en/program/","https://www.berghain.berlin/en/program/","https://www.youtube.com/results?search_query=Blasha%20Allatt%20DJ%20set%20techno;https://soundcloud.com/search?q=Blasha%20Allatt%20DJ%20set","https://www.berghain.berlin/en/program/","","Berghain program July 2026; Blasha & Allatt","published","high","Official Berghain program lists Blasha & Allatt for Klubnacht 18.07.2026; stored as a joint recommendation."
"industrial_techno","Phase Fatale","United States","Berlin","Phase Fatale entra pelo CSD Klubnacht de Berghain no recorte industrial techno e EBM.","Industrial Techno / EBM","Recomendar Phase Fatale para techno sombrio, metalico, EBM e body-music.","berlin_club_radar_202607_industrial_ebm","CSD Klubnacht 25.07.2026 / Berghain","https://www.berghain.berlin/en/program/","https://www.berghain.berlin/en/program/","https://www.youtube.com/results?search_query=Phase%20Fatale%20DJ%20set;https://soundcloud.com/search?q=Phase%20Fatale%20DJ%20set","https://www.berghain.berlin/en/program/","","Berghain program July 2026; Phase Fatale","published","high","Official Berghain program lists Phase Fatale for CSD Klubnacht 25.07.2026; taxonomy uses industrial/EBM."
