style,artist,song,label,bpm_exact,preview_url,release_date,duration_sec,country,city,artist_bio,artist_genre,artist_profile_hint,source
prog_dark,Dividuum,Cold Fusion,Zenon Records,136,,2026-01-29,420,,,Dividuum no eixo prog dark zenonesque,Prog Dark / Zenonesque,Projeto com identidade sombria e progressiva,dataset_v14_prog_dark_seed_20260319
prog_dark,Evil Oil Man,Cable Guy,Zenon Records,136,,2025-12-12,413,,,Evil Oil Man com assinatura dark progressive,Prog Dark / Zenonesque,Referencia de groove profundo no catalogo Zenon,dataset_v14_prog_dark_seed_20260319
prog_dark,AIRI,Starship,Zenon Records,136,,2026-02-19,401,,,AIRI em lancamento recente de prog dark,Prog Dark / Zenonesque,Projeto em destaque recente no eixo zenonesque,dataset_v14_prog_dark_seed_20260319
prog_dark,Elberg,Flamencore,Zenon Records,137,,2025-11-14,408,,,Elberg com atmosfera hipnotica e escura,Prog Dark / Zenonesque,Dark progressive com textura organica,dataset_v14_prog_dark_seed_20260319
prog_dark,Molecc,Bizarradique,Zenon Records,136,,2025-10-03,396,,,Molecc com narrativa psicodelica de longa evolucao,Prog Dark / Zenonesque,Projeto associado ao recorte zenonesque,dataset_v14_prog_dark_seed_20260319
prog_dark,Doonz,Receptive,Zenon Records,135,,2025-09-26,402,,,Doonz com foco em progressao de pista,Prog Dark / Zenonesque,Projeto recente com perfil dark progressive,dataset_v14_prog_dark_seed_20260319
prog_dark,Hybrid,Abstractions,Zenon Records,136,,2026-02-19,404,,,Hybrid em release recente no eixo dark prog,Prog Dark / Zenonesque,Assinatura psytech escura com progressao constante,dataset_v14_prog_dark_seed_20260319
prog_dark,Hybrid,Darkterra,Zenon Records,137,,2024-07-15,398,,,Hybrid com estetica zenonesque profunda,Prog Dark / Zenonesque,Faixa com camada ritmica hipnotica,dataset_v14_prog_dark_seed_20260319
prog_dark,Sourone,Deep Seek,Zenon Records,136,,2024-10-04,392,,,Sourone com recorte dark progressive,Prog Dark / Zenonesque,Projeto focado em groove sombrio,dataset_v14_prog_dark_seed_20260319
prog_dark,Sourone,Equilibrium,Zenon Records,136,,2025-03-07,388,,,Sourone em leitura zenonesque de pista,Prog Dark / Zenonesque,Progressao linear com clima noturno,dataset_v14_prog_dark_seed_20260319
