"lineup_name","canonical_artist","action","status","style","confidence","reason","source_url","notes"
"Umber Vamber","Umber Vamber","include","producer_with_tracks","forest_psy","high","Bandcamp/Deezer/Beatport confirmam varias faixas; subgenero dark forest/forest.","https://umbervamber1.bandcamp.com/",""
"Umber Sonus","Umber Sonus","include","producer_with_tracks","forest_psy","high","Beatport e Deezer confirmam faixas dark & forest como The Web of Meaning.","https://www.beatport.com/track/the-web-of-meaning/18351731",""
"Phagos Sonus","Phagos Sonus","include","producer_with_tracks","dark_psy","high","Album Theatre of the Dust em Lycantrop Records confirma projeto e faixas 150-170 BPM.","https://lycantroprecords.bandcamp.com/album/phagos-sonus-theatre-of-the-dust-album-lyccd007-2014",""
"Ipotocaticac","Ipotocaticac","include","producer_with_tracks","dark_psy","high","Nome corrigido; Atomes Music confirma album e tags darkpsy/forestpsy/psygressive.","https://atomesmusic.bandcamp.com/album/the-mirror-of-the-world","Corrige Ipotocattica/Ipotocatticac do OCR."
"Paralocks","Paralocks","include","producer_with_tracks","hi_tech","high","Full Acceptance descreve foco em higher speeds e high-tech glitches.","https://beatspace-mittaimusic.bandcamp.com/album/full-acceptance",""
"Paralocks Retro","Paralocks","alias_only","not_separate_artist","hi_tech","high","Tratado como formato/set retro de Paralocks, nao artista separado.","https://beatspace-mittaimusic.bandcamp.com/album/full-acceptance",""
"Salakavala","Salakavala","include","producer_with_tracks","freeform","high","Discografia oficial confirma Suomitrance/freeform.","https://www.salakavala.net/discography/",""
"Igor Swamp","Igor Swamp","include","producer_with_tracks","freeform","high","Discografia oficial confirma albums e creditos de producao.","https://www.igorswamp.net/discography/",""
"Gaida","Gaida","include","producer_with_tracks","freeform","high","NULLZONE confirma duo finlandes misturando Goa, Suomisaundi e Forest psy.","https://nullzone2007.bandcamp.com/album/guidance",""
"Dylalien","Dylalien","include","producer_with_tracks","forest_psy","medium_high","Moon Koradji confirma release B. Whalian; material descrito como psytrance/forest/darkpsy.","https://www.moonkoradji.com/artists/dylalien",""
"Alcohibata","Alcohbata","include","producer_with_tracks","dark_psy","high","Nome corrigido para Alcohbata; Katayy/Deezer confirmam album e faixas.","https://katayyrecords.bandcamp.com/album/alcohbata-welcome-to-this-world",""
"Traxon","Traxon","include","producer_with_tracks","forest_psy","high","Brazilian Shamans lista Traxon - Taxi Pilot; fontes categorizam como forest psytrance.","https://woodogrecordingsofficial.bandcamp.com/album/v-a-brazilian-shamans-compiled-by-tiago-pires",""
"Minimal Criminal","Minimal Criminal","include","producer_with_tracks","dark_progressive","high","Faixas publicadas confirmam dark progressive/zenonesque; nao darkpsy/hitech.","https://www.deezer.com/track/359241241",""
"At Work","At Work","include","producer_with_tracks","freeform","high","Random Records confirma EP by At Work, escrito e produzido por Guilherme Araujo.","https://randomrecords.bandcamp.com/album/intrusive-thoughts",""
"Mielikki","Mielikki","exclude","dj_only_or_unverified_project","","medium","Resultados relevantes apontam DJ Mielikki; Deezer traz artista homonimo nao-psy, entao nao promovi como produtor.","https://playbpm.com.br/noticias/bloco-psytrance-somos-nozes-abril-2022/",""
"Booo","Booo","exclude","dj_only_or_unverified_project","","medium","Fontes publicas listam Dj BooO/Cosmic Crew/O.V.N.I.; nao encontrei faixa propria verificavel sob esta identidade.","https://www.instagram.com/reel/DEDt1fwPUsZ/",""
"Sutemi","Sutemi","exclude","dj_only","","high","Parvati Records chama Sutemi explicitamente de DJ; sem faixa propria verificada para entrada de produtor.","https://parvati-records.com/author/parvatirec/page/3/",""
"IndacoRuna","IndacoRuna","include","producer_with_tracks","dark_experimental","high","Popol-Vuh/Madmuzik/Deezer confirmam faixas; classificar como dark experimental/psycore por faixa.","https://popol-vuh.bandcamp.com/album/v-a-xa-xa-namaxitacor-compiled-by-mita",""
"RadiRuna","RadiRuna","include","producer_with_tracks","psycore","high","Projeto Radice x IndacoRuna com Pura Nasha/Fragment of Extinction; 185-197 BPM.","https://radice.bandcamp.com/track/radiruna-fragment-of-extinction",""
"Radice","Radice","include","producer_with_tracks","slambient","high","Bandcamp de Radice e The Hyperspace confirmam catalogo slambient/experimental/psycore.","https://radice.bandcamp.com/track/radice-primordial-level",""
"Umbra Lumen","Umbra Lumen","include","producer_with_tracks","dark_experimental","medium_high","Singles Vysehrad/Sahasrara confirmados em plataformas; perfil do projeto aponta dark/experimental/psycore.","https://www.instagram.com/umbra__lumen/",""
"Paula","Paula","exclude","ritual_or_dj_unverified","","medium","Nome generico em Special Ritual Session; sem release proprio verificavel ligado ao lineup.","https://zig.tickets/eventos/cosmic-crew-23-anos",""
"Thaty","Thaty","exclude","ritual_or_dj_unverified","","medium","Nome generico em Special Ritual Session; sem release proprio verificavel ligado ao lineup.","https://zig.tickets/eventos/cosmic-crew-23-anos",""
