"lineup_name","canonical_artist","action","status","style","confidence","reason","source_url","notes"
"Karmn'Eugen / Necropsycho","Karmn'Eugen","include","producer_with_tracks","dark_experimental","high","Body Awakening e Dormant Dreams confirmam release; subgenero e experimental/IDM/dark psychedelic, nao hitech.","https://necropsycho.bandcamp.com/album/body-awakening",""
"Karmn'Eugen / Necropsycho","Necropsycho","include","producer_with_tracks","dark_experimental","high","OPPEES/God's Own Country e catalogo Bandcamp confirmam projeto brasileiro de dark experimental/darkpsy.","https://www.deezer.com/en/track/2938879461",""
"Kasatka","Kasatka","include","producer_with_tracks","dark_experimental","high","Irreversible Echoes no Bandcamp traz darkpsy/experimental/hightech; perfil primario mantido em dark experimental.","https://kasatkamusic.bandcamp.com/album/irreversible-echoes",""
"Infra Retro","Infra","include","producer_with_tracks","psycore","medium_high","Infra aparece como projeto com faixas no Bandcamp de Tzu-Jan; Retro tratado como formato/set.","https://tzu-jan-official.bandcamp.com/",""
"Tzu Jan","Tzu Jan","include","producer_with_tracks","psycore","high","Entelechie e outras faixas no Bandcamp trazem tags darkpsy/experimental/psycore.","https://tzu-jan-official.bandcamp.com/album/tzu-jan-entelechie",""
"Absurdus","Absurdus","include","producer_with_tracks","dark_psy","medium_high","Transmutation e Zephyrum confirmam faixas; mantido como darkpsy/night psy.","https://www.deezer.com/track/3528600411",""
"Varasurdum","Varasurdum","include","collab_project_with_public_track","psycore","medium_high","Mechanika confirma projeto Varazslo vs Absurdus; nao separado como DJ.","https://www.youtube.com/watch?v=B6S2o7sCIj8",""
"Varazslo","Varazslo","include","producer_with_tracks","psycore","high","Expressed Impressions e faixas em plataformas confirmam darkpsy/psycore.","https://sacredsoundrecs.bandcamp.com/album/expressed-impressions-free-download",""
"KiLLATK","KiLLATK","include","producer_with_tracks","hi_tech","high","Discografia Deezer e videos confirmam hi-tech psytrance brasileiro.","https://www.deezer.com/us/artist/13226473",""
"Mentalecho","Mentalecho","include","producer_with_tracks","hi_tech","high","Black Out Records confirma Digital Nature; classificado como hi-tech, nao dark experimental.","https://blackoutrec.bandcamp.com/album/mentalecho-digital-nature",""
"Tetraktyz","Tetraktyz","include","producer_with_tracks","dark_psy","high","Enygma Music marca Anima 158 como darkpsy/experimental darkpsy.","https://enygmamusic.bandcamp.com/track/tetraktyz-bethad-anima-158",""
"Will O Wisp","Will O Wisp","include","producer_with_tracks","dark_experimental","high","Bandcamp oficial confirma projeto de Gaston Mellino e OSOM Music traz faixas de Mukashi Mukashi.","https://willowispmusic.bandcamp.com/",""
"Megalopsy","Megalopsy","include","producer_with_tracks","dark_psy","high","Bandcamp/Dark Prisma confirmam projeto argentino de psytrance psicodelico/avant-garde.","https://megalopsy.bandcamp.com/",""
"Zik","Zik","include","producer_with_tracks","psycore","medium_high","Ektoplazm indexa Zik em darkpsy/forest e MOP confirma Zik/ZikOre; mantido com cuidado por baixa cobertura de plataformas.","https://ektoplazm.com/artist/zik",""
"Orestis","Orestis","include","producer_with_tracks","dark_psy","high","Catalogo Deezer e post de MOP confirmam Orestis/ZikOre no Rage Stage.","https://www.deezer.com/track/118571264",""
"Zikore","ZikOre","include","collab_project_with_public_track","dark_psy","high","ZikOre e projeto Zik + Orestis; Universal Modules confirmado em plataformas.","https://www.viberate.com/artist/zikore/",""
"Osom","Osom","include","collab_project_with_public_track","psycore","high","Trancentral identifica OSOM como Kindzadza + Psykovsky e Deezer confirma faixas.","https://www.facebook.com/TrancentralTV/videos/this-is-osom-/1067465433355133/",""
"Kindzadza","Kindzadza","include","producer_with_tracks","psycore","high","Sun Station confirma papel no dark psytrance russo e OSOM Music; faixas Deezer adicionadas.","https://sunstation.ru/artists/kindzadza/",""
"Psykovsky","Psykovsky","include","producer_with_tracks","psycore","high","Trancentral confirma Psykovsky como produtor russo; evitei Beat Box Error porque Deezer atribui a Fuzulu.","https://trancentral.tv/2018/05/psykovsky-10-essential-tracks/",""
"Sectio Aurea","Sectio Aurea","include","producer_with_tracks","dark_experimental","high","Bandcamp oficial descreve Abstract and Complex Psychedelic Trance/Avant-garde; Deep Resonance 198 BPM nao vira hitech por padrao.","https://sectioaurea.bandcamp.com/",""
"Alpscore","AlpsCore","include","producer_with_tracks","hi_tech","high","Bandcamp oficial e Deezer confirmam projeto e faixas; classificado como hi-tech/psycore-adjacent.","https://alpscore.bandcamp.com/music",""
"Maramba","Maramba","include","producer_with_tracks","psycore","high","The Purge e Pray For Nepal confirmam projeto brasileiro; mantido como psycore/hi-tech-adjacent.","https://popol-vuh.bandcamp.com/track/pray-for-nepal-180-bpm-2",""
"Aquarius Orb","Aquarius Orb","include","producer_with_tracks","dark_psy","high","Resina Records confirma Wizard of Yester com tags darkpsy/forest/hitech; primario dark_psy.","https://resinarecords.bandcamp.com/album/wizard-of-yester",""
"Psynonima","Psynonima","exclude","dj_only_or_unverified_project","","medium","Resultados publicos apontam mais para Djane/sets; nao encontrei faixa propria verificavel sob a identidade do flyer.","https://www.party-accessory.eu/festivals/masters-of-puppets-brazil/",""
"Maiko","Maiko","exclude","dj_only_or_unverified_project","","medium","Nome muito generico; fontes do contexto indicam Djane Maiko e nao release proprio verificavel.","https://www.party-accessory.eu/festivals/masters-of-puppets-brazil/",""
