style,artist,country,city,artist_bio,artist_genre,artist_profile_hint,source
"psycore","JunxPunx","Japan","Tokyo","High-energy psycore and experimental dark psychedelic project.","psycore","extreme psychedelic core; fast festival energy","artist_expansion_v7_api_reinforce"
"psycore","Khaos Sektor","Brazil","Sao Paulo","Brazilian darkpsy and psycore project for high-intensity dancefloor sets.","psycore","dark psychedelic core; underground night sound","artist_expansion_v7_api_reinforce"
"psycore","Psykovsky","Russia","Moscow","Experimental high-speed psychedelic trance artist known for complex dark sound design.","psycore","experimental psycore; fractal darkpsy","artist_expansion_v7_api_reinforce"
"psycore","Kindzadza","Russia","Moscow","Pioneering dark psychedelic trance project with fast and intricate arrangements.","psycore","darkpsy and psycore foundation","artist_expansion_v7_api_reinforce"
"psycore","Orestis","Greece","Athens","Greek darkpsy artist with organic nighttime psychedelic textures.","psycore","forest and psycore-adjacent night trips","artist_expansion_v7_api_reinforce"
"psycore","Dark Whisper","Germany","Berlin","Fast psychedelic trance artist blending darkpsy pressure with melodic tension.","psycore","fast dark psychedelic sound","artist_expansion_v7_api_reinforce"
"psycore","Frantic Noise","Argentina","Buenos Aires","South American darkpsy project with dense basslines and fast psychedelic drive.","psycore","psycore and darkpsy pressure","artist_expansion_v7_api_reinforce"
"psycore","Kopophobia","Australia","Melbourne","Australian dark psychedelic project for fast and twisted psytrance sets.","psycore","psycore-adjacent darkpsy","artist_expansion_v7_api_reinforce"
"psycore","Parandroid","Germany","Hamburg","High-tech psychedelic trance artist with glitchy fast night sound.","psycore","hitech and psycore crossover","artist_expansion_v7_api_reinforce"
"psycore","Quantum Mechanica","Switzerland","Zurich","Fast psychedelic trance project with technical high-energy arrangements.","psycore","hitech psycore; precision night sound","artist_expansion_v7_api_reinforce"
"psycore","Kashyyyk","Mexico","Mexico City","Mexican dark psychedelic producer known for fast and heavy forest-infused sets.","psycore","psycore and forest-night energy","artist_expansion_v7_api_reinforce"
"psycore","Audiopathik","Mexico","Mexico City","Dark psychedelic trance act with aggressive fast dancefloor momentum.","psycore","psycore and darkpsy force","artist_expansion_v7_api_reinforce"
"psycore","Necropsycho","Brazil","Sao Paulo","Brazilian darkpsy project with heavy low-end and extreme psychedelic atmosphere.","psycore","Brazilian psycore; darkpsy","artist_expansion_v7_api_reinforce"
"psycore","Phyllorum","Brazil","Sao Paulo","Experimental dark psychedelic artist crossing psycore and slambient atmospheres.","psycore","psycore; ritual darkpsy; slambient edge","artist_expansion_v7_api_reinforce"
"psycore","Maramba","Germany","Berlin","Fast experimental psychedelic trance with dense nocturnal sound design.","psycore","psycore and hitech night sound","artist_expansion_v7_api_reinforce"
"psycore","Fobi","Serbia","Belgrade","Balkan dark psychedelic project for fast and hypnotic underground sets.","psycore","psycore; darkpsy; hitech edge","artist_expansion_v7_api_reinforce"
"psycore","Yatzee","Germany","Berlin","Fast psychedelic trance artist with experimental dark structures.","psycore","psycore and hitech bridge","artist_expansion_v7_api_reinforce"
"psycore","Btoxik","Brazil","Sao Paulo","Brazilian dark psychedelic project with fast aggressive dancefloor energy.","psycore","psycore; darkpsy; Brazilian underground","artist_expansion_v7_api_reinforce"
"slambient","Setu Ketu","India","Goa","Experimental psychedelic project suited to ritual dark ambient and slambient moods.","slambient","dark ambient psychedelic textures","artist_expansion_v7_api_reinforce"
"slambient","Nakba","Brazil","Sao Paulo","Underground psychedelic project for slow dark atmospheres and ritualized textures.","slambient","slambient; ritual darkpsy ambient","artist_expansion_v7_api_reinforce"
"slambient","Owgroly","Mexico","Mexico City","Experimental psychedelic sound with occult ambient and nocturnal atmospheres.","slambient","dark psychedelic ambient; slambient","artist_expansion_v7_api_reinforce"
"slambient","Labreska","Brazil","Curitiba","Brazilian experimental psychedelic artist with swampy dark ambient pressure.","slambient","slambient; dark organic textures","artist_expansion_v7_api_reinforce"
"slambient","NeuralKill","Brazil","Sao Paulo","Dark psychedelic project with cinematic low-tempo ritual energy.","slambient","slambient; industrial darkpsy ambient","artist_expansion_v7_api_reinforce"
"slambient","Walicho Digital","Argentina","Buenos Aires","South American psychedelic project with tribal and shadowy experimental sound.","slambient","slambient; ritual psychedelic","artist_expansion_v7_api_reinforce"
"slambient","Akephalos","Greece","Athens","Experimental dark psychedelic artist with ritual and atmospheric tendencies.","slambient","slambient; dark ritual trance","artist_expansion_v7_api_reinforce"
"slambient","Indaco Runa","Italy","Bologna","Experimental psychedelic project focused on deep organic ritual textures.","slambient","slambient; organic dark ambient","artist_expansion_v7_api_reinforce"
"slambient","Agodark","Brazil","Sao Paulo","Underground dark psychedelic project for nocturnal immersive listening.","slambient","slambient; darkpsy ambient","artist_expansion_v7_api_reinforce"
"slambient","Audionimus","Brazil","Sao Paulo","Experimental psychedelic act with shadowy immersive sound design.","slambient","slambient; dark ambient psy","artist_expansion_v7_api_reinforce"
"slambient","Akuma","Brazil","Sao Paulo","Dark psychedelic project with ritualized slow-burning atmosphere.","slambient","slambient; dark organic psy","artist_expansion_v7_api_reinforce"
"slambient","Through Dimensions","Brazil","Sao Paulo","Psychedelic project with expansive dimensional and low-tempo dark textures.","slambient","slambient; cinematic psychedelic ambient","artist_expansion_v7_api_reinforce"
"slambient","VallaK","Brazil","Sao Paulo","Underground psychedelic act for heavy occult atmospheres and dark rituals.","slambient","slambient; ritual darkpsy","artist_expansion_v7_api_reinforce"
"slambient","Vuga","Brazil","Sao Paulo","Experimental psychedelic project with deep nocturnal and organic textures.","slambient","slambient; dark swamp sound","artist_expansion_v7_api_reinforce"
"slambient","Vutt'un","Brazil","Sao Paulo","Dark experimental psychedelic project with slow ritual pressure.","slambient","slambient; occult psychedelic","artist_expansion_v7_api_reinforce"
"slambient","Cindervomit","United States","Portland","Experimental psychedelic artist crossing dark ambient and extreme psy textures.","slambient","slambient; dark experimental psy","artist_expansion_v7_api_reinforce"
"slambient","Pumkinhead","Brazil","Sao Paulo","Dark psychedelic project with strange low-tempo and ritual sound design.","slambient","slambient; experimental darkpsy","artist_expansion_v7_api_reinforce"
"full_on","Mad Tribe","United Kingdom","London","Full-on psychedelic trance act known for explosive festival energy.","full_on","festival full-on; high energy","artist_expansion_v7_api_reinforce"
"full_on","Killerwatts","United Kingdom","London","Full-on collaboration project with uplifting psychedelic festival drive.","full_on","uplifting full-on; festival trance","artist_expansion_v7_api_reinforce"
"full_on","Laughing Buddha","United Kingdom","London","UK full-on psytrance artist with bright melodic dancefloor momentum.","full_on","classic full-on; daytime festival","artist_expansion_v7_api_reinforce"
"full_on","Djantrix","North Macedonia","Skopje","Full-on psychedelic producer with sharp modern basslines and melodic pressure.","full_on","modern full-on; powerful groove","artist_expansion_v7_api_reinforce"
"full_on","Imaginarium","Serbia","Belgrade","Modern psytrance project blending full-on energy with progressive clarity.","full_on","full-on; modern psychedelic","artist_expansion_v7_api_reinforce"
"full_on","DigiCult","Belgium","Antwerp","Belgian full-on project with melodic daytime psychedelic sound.","full_on","melodic full-on; morning energy","artist_expansion_v7_api_reinforce"
"full_on","Faders","Israel","Tel Aviv","Israeli psytrance artist known for polished full-on and progressive power.","full_on","full-on; progressive psy crossover","artist_expansion_v7_api_reinforce"
"full_on","Tropical Bleyage","Serbia","Belgrade","Melodic full-on psytrance project with bright emotional festival sound.","full_on","melodic full-on; morning festival","artist_expansion_v7_api_reinforce"
"full_on","Relativ","Serbia","Belgrade","Modern psychedelic trance act with full-on and progressive drive.","full_on","full-on; progressive psy edge","artist_expansion_v7_api_reinforce"
"full_on","Vertical Mode","Israel","Tel Aviv","Israeli psytrance duo with powerful full-on and progressive dancefloor sound.","full_on","full-on; progressive psy","artist_expansion_v7_api_reinforce"
"full_on","Waio","Brazil","Sao Paulo","Brazilian psytrance artist known for detailed full-on festival productions.","full_on","Brazilian full-on; festival psytrance","artist_expansion_v7_api_reinforce"
"full_on","Materia","Austria","Vienna","Austrian psytrance producer with full-on night and festival energy.","full_on","full-on; modern psychedelic","artist_expansion_v7_api_reinforce"
"full_on","Hypnoise","Spain","Barcelona","Spanish psytrance project with polished full-on and night-leaning drive.","full_on","full-on; psychedelic groove","artist_expansion_v7_api_reinforce"
"full_on","X-NoiZe","Israel","Tel Aviv","Israeli psytrance act bridging full-on, progressive and electro-infused trance.","full_on","full-on; Israeli psytrance","artist_expansion_v7_api_reinforce"
"full_on","Xerox","Israel","Tel Aviv","Classic Israeli full-on psytrance artist with powerful dancefloor history.","full_on","classic full-on; Israeli psy","artist_expansion_v7_api_reinforce"
"full_on","Volcano","Israel","Tel Aviv","Full-on psytrance producer with heavy festival-oriented sound.","full_on","full-on; high-energy psytrance","artist_expansion_v7_api_reinforce"
"full_on","Earthspace","Brazil","Sao Paulo","Brazilian psytrance project with organic full-on and forest-edged intensity.","full_on","full-on; organic psychedelic","artist_expansion_v7_api_reinforce"
"full_on","Outsiders","Israel","Tel Aviv","Israeli psytrance project with modern full-on festival impact.","full_on","full-on; festival psytrance","artist_expansion_v7_api_reinforce"
"full_on","Electric Universe","Germany","Hamburg","Long-running psytrance project with melodic full-on festival sound.","full_on","classic full-on; melodic psytrance","artist_expansion_v7_api_reinforce"
"full_on","U-Recken","Israel","Tel Aviv","Melodic full-on psytrance artist with emotional morning festival energy.","full_on","melodic full-on; morning psy","artist_expansion_v7_api_reinforce"
"full_on_night","Azax Syndrom","Israel","Tel Aviv","Night full-on psytrance project with heavy aggressive basslines.","full_on_night","night full-on; aggressive psytrance","artist_expansion_v7_api_reinforce"
"full_on_night","Painkiller","Israel","Tel Aviv","Full-on night psytrance artist known for hard-hitting dancefloor energy.","full_on_night","night full-on; hard psytrance","artist_expansion_v7_api_reinforce"
"full_on_night","Menog","Portugal","Lisbon","Portuguese psytrance artist with powerful dark full-on night sound.","full_on_night","night full-on; Portuguese psytrance","artist_expansion_v7_api_reinforce"
"full_on_night","Abomination","South Africa","Cape Town","South African full-on night act with heavy psychedelic pressure.","full_on_night","night full-on; South African psy","artist_expansion_v7_api_reinforce"
"full_on_night","Tryambaka","Portugal","Lisbon","Portuguese night psytrance project with dark full-on intensity.","full_on_night","night full-on; darkpsy edge","artist_expansion_v7_api_reinforce"
"full_on_night","Delysid","Portugal","Lisbon","Night psytrance project with heavy full-on and dark psychedelic sound.","full_on_night","night full-on; powerful psychedelic","artist_expansion_v7_api_reinforce"
"full_on_night","Scorb","United Kingdom","London","UK psychedelic producer associated with darker and technical night psytrance.","full_on_night","night full-on; dark technical psy","artist_expansion_v7_api_reinforce"
"full_on_night","Illegal Machines","France","Paris","French psytrance project with driving night full-on attitude.","full_on_night","night full-on; French psytrance","artist_expansion_v7_api_reinforce"
"full_on_night","CPU","Switzerland","Geneva","Classic full-on night psytrance project with metallic dancefloor energy.","full_on_night","night full-on; classic psytrance","artist_expansion_v7_api_reinforce"
"full_on_night","Bliss","Israel","Tel Aviv","Israeli psytrance producer with hard full-on and festival night energy.","full_on_night","night full-on; hard festival psy","artist_expansion_v7_api_reinforce"
"full_on_night","Shift","South Africa","Cape Town","South African night full-on artist with intense psychedelic drive.","full_on_night","night full-on; South African psy","artist_expansion_v7_api_reinforce"
"full_on_night","Hydraglyph","South Africa","Cape Town","South African psytrance act with full-on night and twilight energy.","full_on_night","night full-on; twilight psy","artist_expansion_v7_api_reinforce"
"full_on_night","Outer Signal","Israel","Tel Aviv","Full-on night psytrance act with aggressive modern dancefloor sound.","full_on_night","night full-on; aggressive psy","artist_expansion_v7_api_reinforce"
"full_on_night","Tickets","South Africa","Cape Town","South African psytrance artist linked to tough night full-on energy.","full_on_night","night full-on; psychedelic pressure","artist_expansion_v7_api_reinforce"
"full_on_night","Broken Toy","South Africa","Cape Town","South African full-on act with hard-edged night and festival drive.","full_on_night","night full-on; South African scene","artist_expansion_v7_api_reinforce"
"full_on_night","Phatmatix","France","Paris","French night full-on producer with muscular psychedelic momentum.","full_on_night","night full-on; French psy","artist_expansion_v7_api_reinforce"
"full_on_night","Killer Buds","Brazil","Sao Paulo","Brazilian psytrance project with full-on night and powerful festival sound.","full_on_night","night full-on; Brazilian psytrance","artist_expansion_v7_api_reinforce"
"full_on_night","Braincell","Switzerland","Zurich","Swiss psychedelic producer bridging twilight full-on and night psy.","full_on_night","night full-on; twilight psy","artist_expansion_v7_api_reinforce"
"full_on_morning","Electro Sun","Israel","Tel Aviv","Melodic full-on project with bright morning psytrance energy.","full_on_morning","morning full-on; melodic psy","artist_expansion_v7_api_reinforce"
"full_on_morning","Bizarre Contact","Israel","Tel Aviv","Israeli full-on act known for melodic and uplifting psytrance.","full_on_morning","morning full-on; Israeli psy","artist_expansion_v7_api_reinforce"
"full_on_morning","Gataka","Israel","Tel Aviv","Melodic Israeli full-on project with sunrise festival character.","full_on_morning","morning full-on; melodic trance","artist_expansion_v7_api_reinforce"
"full_on_morning","Perplex","Israel","Tel Aviv","Israeli psytrance artist with melodic full-on and progressive touches.","full_on_morning","morning full-on; melodic psy","artist_expansion_v7_api_reinforce"
"full_on_morning","Visual Contact","Israel","Tel Aviv","Melodic full-on psytrance project for sunrise and daytime festival sets.","full_on_morning","morning full-on; uplifting psy","artist_expansion_v7_api_reinforce"
"full_on_morning","Soniq Vision","Israel","Tel Aviv","Full-on morning psytrance project with bright melodic pressure.","full_on_morning","morning full-on; melodic psy","artist_expansion_v7_api_reinforce"
"full_on_morning","Aquatica","Israel","Tel Aviv","Israeli full-on project with euphoric melodic festival sound.","full_on_morning","morning full-on; uplifting trance","artist_expansion_v7_api_reinforce"
"full_on_morning","Safi Connection","Israel","Tel Aviv","Classic Israeli full-on psytrance act with melodic daytime appeal.","full_on_morning","morning full-on; classic psy","artist_expansion_v7_api_reinforce"
"full_on_morning","Vibe Tribe","Israel","Tel Aviv","Melodic full-on project with high-energy sunrise festival sound.","full_on_morning","morning full-on; euphoric psy","artist_expansion_v7_api_reinforce"
"full_on_morning","Sesto Sento","Israel","Tel Aviv","Israeli full-on trio associated with melodic and uplifting psytrance.","full_on_morning","morning full-on; Israeli psy","artist_expansion_v7_api_reinforce"
"full_on_morning","Sonic Sense","Israel","Tel Aviv","Melodic psytrance project suited for full-on morning discovery.","full_on_morning","morning full-on; melodic psy","artist_expansion_v7_api_reinforce"
"full_on_morning","StarLab","India","New Delhi","Indian psytrance artist with melodic full-on and progressive festival energy.","full_on_morning","morning full-on; Indian psy","artist_expansion_v7_api_reinforce"
"full_on_morning","Static Movement","Israel","Tel Aviv","Melodic progressive psy artist useful for full-on morning crossover.","full_on_morning","morning full-on; progressive psy","artist_expansion_v7_api_reinforce"
"techno","Oscar Mulero","Spain","Madrid","Spanish techno artist known for hypnotic and uncompromising underground sound.","techno","hypnotic techno; hard underground","artist_expansion_v7_api_reinforce"
"techno","Luke Slater","United Kingdom","London","UK techno veteran associated with Planetary Assault Systems and future-facing club sound.","techno","classic and modern techno","artist_expansion_v7_api_reinforce"
"techno","Jeff Mills","United States","Detroit","Detroit techno pioneer with a foundational futuristic sound.","techno","Detroit techno; classic influence","artist_expansion_v7_api_reinforce"
"techno","DVS1","United States","Minneapolis","American techno artist known for deep powerful warehouse sets.","techno","warehouse techno; hypnotic pressure","artist_expansion_v7_api_reinforce"
"techno","Rodhad","Germany","Berlin","Berlin techno artist known for deep rolling hypnotic productions.","techno","deep techno; Berlin sound","artist_expansion_v7_api_reinforce"
"techno","Setaoc Mass","United Kingdom","Manchester","UK techno producer with precise rolling club-focused sound.","techno","modern hypnotic techno","artist_expansion_v7_api_reinforce"
"techno","Dustin Zahn","United States","Minneapolis","American techno producer with tough warehouse and hypnotic material.","techno","warehouse techno; raw club energy","artist_expansion_v7_api_reinforce"
"techno","Truncate","United States","Los Angeles","American techno artist focused on stripped-down functional club tools.","techno","raw techno; stripped groove","artist_expansion_v7_api_reinforce"
"techno","Developer","United States","Los Angeles","US techno producer with deep modular and underground warehouse sound.","techno","underground techno; hypnotic","artist_expansion_v7_api_reinforce"
"techno","Mike Parker","United States","Buffalo","American techno artist known for deep tunneling analog hypnotics.","techno","hypnotic techno; analog pressure","artist_expansion_v7_api_reinforce"
"techno","Planetary Assault Systems","United Kingdom","London","Luke Slater alias focused on high-pressure futuristic techno.","techno","classic techno; future machine sound","artist_expansion_v7_api_reinforce"
"techno","Ben Klock","Germany","Berlin","Berlin techno artist and DJ associated with powerful club minimalism.","techno","Berlin techno; warehouse sound","artist_expansion_v7_api_reinforce"
"techno","Marcel Dettmann","Germany","Berlin","Berlin techno producer known for raw industrial club aesthetics.","techno","Berlin techno; raw industrial","artist_expansion_v7_api_reinforce"
"techno","Surgeon","United Kingdom","Birmingham","UK techno pioneer associated with hard-edged Birmingham sound.","techno","Birmingham techno; industrial pressure","artist_expansion_v7_api_reinforce"
"techno","Function","United States","New York","American techno producer with deep hypnotic and atmospheric club sound.","techno","deep techno; hypnotic","artist_expansion_v7_api_reinforce"
"techno","Rrose","United States","New York","Experimental techno artist with hypnotic and textural sound design.","techno","experimental techno; hypnotic","artist_expansion_v7_api_reinforce"
