"style","artist","country","city","artist_bio","artist_genre","artist_profile_hint","source","source_url","status","confidence","scene_role","aliases","source_note","social_discovery_links","label_links","profile_tracks"
"dark_psy","Baile Freak Jam","Brazil","Fortaleza","Baile Freak Jam aparece no timeline Naturaiz Memento Mori como jam brasileira de pista psicodelica; usar como contexto de DJ/session, nao como produtor solo.","dark psy / psytrance jam","Recomendar como jam/set de festa quando o usuario quer line-ups brasileiros de dark psy.","psy_festival_lineups_202607","https://www.instagram.com/p/DaQ6P3BqVkp/","published","medium","festival_dj_session","Baile Freak","Naturaiz Memento Mori Fortaleza-CE 25-26/07/2026, 15:00.","https://www.youtube.com/results?search_query=Baile%20Freak%20Jam%20psytrance","",""
"forest_psy","Karapana","Brazil","Fortaleza","Karapana entra no recorte Naturaiz Memento Mori como live/projeto brasileiro de forest e dark psy em line-up de alta intensidade.","forest psy / dark psy","Usar em forest/dark psy de festival; grafia normalizada sem acento para busca.","psy_festival_lineups_202607","https://www.instagram.com/reel/C56NMYbLdiX/","published","medium","festival_live","Karapana","Line-up Memento Mori citado em post Baile Freak/Naturaiz Fortaleza.","https://www.youtube.com/results?search_query=Karapana%20forest%20psy","",""
"dark_psy","Groark","Brazil","Fortaleza","Groark aparece no timeline Naturaiz Memento Mori como projeto brasileiro em territorio dark psy/forest.","dark psy / forest","Recomendar no bloco de festas brasileiras de dark psy e forest.","psy_festival_lineups_202607","https://www.instagram.com/p/DaQ6P3BqVkp/","published","medium","festival_live","","Naturaiz Memento Mori Fortaleza-CE 25-26/07/2026, 20:00.","https://www.youtube.com/results?search_query=Groark%20dark%20psy","",""
"forest_psy","Surke","Brazil","Fortaleza","Surke aparece em Naturaiz Memento Mori no recorte forest/dark psy brasileiro.","forest psy / dark psy","Usar Surke para recomendacoes de forest/dark psy contextualizadas por festival.","psy_festival_lineups_202607","https://www.instagram.com/p/DaQ6P3BqVkp/","published","medium","festival_live","","Naturaiz Memento Mori Fortaleza-CE 25-26/07/2026, 22:00.","https://www.youtube.com/results?search_query=Surke%20forest%20psy","",""
"dark_psy","May","Brazil","Fortaleza","May aparece no timeline Memento Mori como entrada de madrugada; tratar como DJ/set de dark psy ate existir release autoral verificado.","dark psy / psytrance DJ","Recomendacao por set/session, nao produtor autoral.","psy_festival_lineups_202607","https://www.instagram.com/p/DaQ6P3BqVkp/","published","medium","festival_dj_session","","Naturaiz Memento Mori Fortaleza-CE 25-26/07/2026, 00:00.","https://www.youtube.com/results?search_query=May%20dark%20psy%20DJ%20set","",""
"psycore","Isiteshi","Hungary","","Isiteshi aparece em Naturaiz Memento Mori e Naturaiz Amor Fati; contexto aponta para psycore/dark psy de alta velocidade.","psycore / dark psy","Usar em psycore e dark psy de festival; reforcar presenca em dois line-ups 2026.","psy_festival_lineups_202607","https://www.jambase.com/festival/naturaiz-festival-2026","published","medium_high","festival_live","","Presente em Amor Fati e Memento Mori; adicionar festa/data no card.","https://www.youtube.com/results?search_query=Isiteshi%20psycore","",""
"dark_psy","Yara","LatAm","","Yara aparece no timeline Naturaiz Memento Mori; classificar no app como dark psy/dark forest ate pesquisa autoral mais profunda.","dark psy / dark forest","Nao usar como hi-tech por padrao; manter origem ampla LatAm por conflito entre fontes locais.","psy_festival_lineups_202607","https://www.instagram.com/p/DaQ6P3BqVkp/","published","medium","festival_live","","Naturaiz Memento Mori Fortaleza-CE 25-26/07/2026, 04:00.","https://www.youtube.com/results?search_query=Yara%20dark%20psy","",""
"psycore","Varazslo","Hungary","","Varazslo ja era ancora local de psycore/darkpsy no catalogo; os line-ups 2026 reforcam o uso em alta velocidade.","psycore / high-BPM darkpsy","Ja existe no catalogo; esta linha adiciona contexto Naturaiz Amor Fati e Memento Mori com preview tocavel.","psy_festival_lineups_202607","https://www.jambase.com/festival/naturaiz-festival-2026","published","high","festival_live","Varazslo","Amor Fati 10-12/07/2026 e Memento Mori 25-26/07/2026.","https://soundcloud.com/varazslo/varazslo-taltos?in=rpmota/sets/psycore","","Taltos"
"psycore","Arkhos","Brazil","","Arkhos ja aparece no catalogo Naturaiz/psycore; os line-ups 2026 reforcam o perfil high-BPM brasileiro.","psycore / hi-tech psytrance","Ja existe como seed/roster; manter em psycore/hi-tech, nao em dark forest.","psy_festival_lineups_202607","https://www.jambase.com/festival/naturaiz-festival-2026","published","high","festival_live","","Amor Fati sexta 20:00 e Memento Mori 10:00.","https://www.youtube.com/results?search_query=Arkhos%20psycore","https://naturaizrecords.bandcamp.com/",""
"psycore","Adrian","Brazil","","Adrian ja aparece no roster psycore local; os line-ups Naturaiz colocam o projeto no contexto high-BPM brasileiro.","psycore / high-BPM psytrance","Reforcar recomendacoes de psycore brasileiro com festa e horario.","psy_festival_lineups_202607","https://www.jambase.com/festival/naturaiz-festival-2026","published","medium_high","festival_live","","Amor Fati sexta 22:00 e Memento Mori 12:00.","https://www.youtube.com/results?search_query=Adrian%20psycore","https://naturaizrecords.bandcamp.com/",""
