"style","artist","country","artist_bio","artist_genre","artist_profile_hint","scene_role","source_anchor_url","profile_tracks","source_note"
"acid_techno","A&E Dept.","International","A&E Dept. entra na expansao v12 para aprofundar acid techno no Sonic Search e reduzir repeticao de artistas em recomendacoes e descoberta dinamica.","acid techno","Use A&E Dept. como seed de acid techno; recorte: acid techno, 303 pressure, warehouse drive and free-party roots.","artist_seed_v12","https://www.discogs.com/search/?q=acid%20techno&type=all","","Curated techno v4 expansion for acid techno; acid techno, 303 pressure, warehouse drive and free-party roots."
"acid_techno","Ant","International","Ant entra na expansao v12 para aprofundar acid techno no Sonic Search e reduzir repeticao de artistas em recomendacoes e descoberta dinamica.","acid techno","Use Ant como seed de acid techno; recorte: acid techno, 303 pressure, warehouse drive and free-party roots.","artist_seed_v12","https://www.discogs.com/search/?q=acid%20techno&type=all","","Curated techno v4 expansion for acid techno; acid techno, 303 pressure, warehouse drive and free-party roots."
"acid_techno","Benji303","International","Benji303 entra na expansao v12 para aprofundar acid techno no Sonic Search e reduzir repeticao de artistas em recomendacoes e descoberta dinamica.","acid techno","Use Benji303 como seed de acid techno; recorte: acid techno, 303 pressure, warehouse drive and free-party roots.","artist_seed_v12","https://www.discogs.com/search/?q=acid%20techno&type=all","","Curated techno v4 expansion for acid techno; acid techno, 303 pressure, warehouse drive and free-party roots."
"acid_techno","Chris Liberator & Sterling Moss","United Kingdom","Chris Liberator & Sterling Moss entra no lote techno v4 como referencia de acid techno, usando ""Scum Like Us"" para ampliar artistas, contexto e rota de descoberta do subgenero.","Acid Techno / London Acid Techno","Anchor editorial v4 para acid techno; links sao discovery/search e devem ser revisados antes de marcar qualquer perfil social como oficial.","suf_free_party_anchor","https://www.discogs.com/search/?q=Chris%20Liberator%20%26%20Sterling%20Moss%20Scum%20Like%20Us&type=all","Scum Like Us (140)","Curated techno v4 expansion for acid techno; acid techno, 303 pressure, warehouse drive and free-party roots."
"acid_techno","D.A.V.E. The Drummer","United Kingdom","D.A.V.E. The Drummer entra no lote techno v4 como referencia de acid techno, usando ""Hydraulix 09"" para ampliar artistas, contexto e rota de descoberta do subgenero.","Acid Techno / Hard Acid","Anchor editorial v4 para acid techno; links sao discovery/search e devem ser revisados antes de marcar qualquer perfil social como oficial.","hydraulix_anchor","https://www.discogs.com/search/?q=D.A.V.E.%20The%20Drummer%20Hydraulix%2009&type=all","Hydraulix 09 (140)","Curated techno v4 expansion for acid techno; acid techno, 303 pressure, warehouse drive and free-party roots."
"acid_techno","DJ Misjah","International","DJ Misjah entra na expansao v12 para aprofundar acid techno no Sonic Search e reduzir repeticao de artistas em recomendacoes e descoberta dinamica.","acid techno","Use DJ Misjah como seed de acid techno; recorte: acid techno, 303 pressure, warehouse drive and free-party roots.","artist_seed_v12","https://www.discogs.com/search/?q=acid%20techno&type=all","","Curated techno v4 expansion for acid techno; acid techno, 303 pressure, warehouse drive and free-party roots."
"acid_techno","DJ Misjah & DJ Tim","Netherlands","DJ Misjah & DJ Tim entra no lote techno v4 como referencia de acid techno, usando ""Access"" para ampliar artistas, contexto e rota de descoberta do subgenero.","Acid Techno / Rave Techno","Anchor editorial v4 para acid techno; links sao discovery/search e devem ser revisados antes de marcar qualquer perfil social como oficial.","acid_rave_crossover","https://www.discogs.com/search/?q=DJ%20Misjah%20%26%20DJ%20Tim%20Access&type=all","Access (135)","Curated techno v4 expansion for acid techno; acid techno, 303 pressure, warehouse drive and free-party roots."
"acid_techno","DJ Tim","International","DJ Tim entra na expansao v12 para aprofundar acid techno no Sonic Search e reduzir repeticao de artistas em recomendacoes e descoberta dinamica.","acid techno","Use DJ Tim como seed de acid techno; recorte: acid techno, 303 pressure, warehouse drive and free-party roots.","artist_seed_v12","https://www.discogs.com/search/?q=acid%20techno&type=all","","Curated techno v4 expansion for acid techno; acid techno, 303 pressure, warehouse drive and free-party roots."
"acid_techno","Lawrie Immersion","International","Lawrie Immersion entra na expansao v12 para aprofundar acid techno no Sonic Search e reduzir repeticao de artistas em recomendacoes e descoberta dinamica.","acid techno","Use Lawrie Immersion como seed de acid techno; recorte: acid techno, 303 pressure, warehouse drive and free-party roots.","artist_seed_v12","https://www.discogs.com/search/?q=acid%20techno&type=all","","Curated techno v4 expansion for acid techno; acid techno, 303 pressure, warehouse drive and free-party roots."
"acid_techno","Miss Djax","Netherlands","Miss Djax entra no lote techno v4 como referencia de acid techno, usando ""Acid Entrance"" para ampliar artistas, contexto e rota de descoberta do subgenero.","Acid Techno / Rave Techno","Anchor editorial v4 para acid techno; links sao discovery/search e devem ser revisados antes de marcar qualquer perfil social como oficial.","djax_acid_anchor","https://www.discogs.com/search/?q=Miss%20Djax%20Acid%20Entrance&type=all","Acid Entrance (136)","Curated techno v4 expansion for acid techno; acid techno, 303 pressure, warehouse drive and free-party roots."
