"style","artist","country","city","artist_bio","artist_genre","artist_profile_hint","scene_role","source_anchor","source_anchor_url","primary_social_url","social_discovery_links","label_links","cover_art_url","profile_tracks","status","confidence","source_note"
"psycore","ACCELERAPTOR","International","Montreal","ACCELERAPTOR esta na fila editorial psycore por aparecer em THE ART OF THE BLACK SPELLS - compiled by Neormm, fonte Bandcamp etiquetada com Electronic, darkpsy, experimental-psytrance, forest-psytrance, hitech-psytrance.","psycore / hi-tech psytrance / darkpsy","Verificar proximas faixas, BPM e links oficiais de ACCELERAPTOR; candidato para aprofundar psycore/darkpsy/hitech.","archive_profile_queue","THE ART OF THE BLACK SPELLS - compiled by Neormm","https://voodoo-hoodoo.bandcamp.com/album/the-art-of-the-black-spells-compiled-by-neormm","https://linktr.ee/vuduhudu","https://bandcamp.com/search?q=ACCELERAPTOR;https://soundcloud.com/search?q=ACCELERAPTOR;https://www.youtube.com/results?search_query=ACCELERAPTOR%20psycore;https://www.google.com/search?q=ACCELERAPTOR%20official%20instagram%20soundcloud%20bandcamp","https://voodoo-hoodoo.bandcamp.com;https://linktr.ee/vuduhudu","https://f4.bcbits.com/img/a3588926032_10.jpg","Keep Out of Reach of Children","needs_review","medium_high","Bandcamp JSON-LD exposes an archived psycore-tagged compilation; kept as artist research queue because BPM is not explicit."
"psycore","Acid Combo & Popek","International","","Acid Combo & Popek tem 1 faixa(s) novas no pacote V5, com fonte em Black Out Records. BPM verificado entre 190 e 190. Anchors: VA Flight of The Hummingbird.","psycore / hi-tech psytrance / darkpsy","Recomende Acid Combo & Popek para ouvintes de psycore, hi-tech, darkpsy, forest pesado e energia extrema. Melhor uso: hitech_psycore_bridge.","hitech_psycore_bridge","VA Flight of The Hummingbird","https://blackoutrec.bandcamp.com/album/va-flight-of-the-hummingbird","https://www.facebook.com/blackoutofficial/","https://bandcamp.com/search?q=Acid%20Combo%20%26%20Popek;https://soundcloud.com/search?q=Acid%20Combo%20%26%20Popek;https://www.youtube.com/results?search_query=Acid%20Combo%20%26%20Popek%20psycore;https://www.google.com/search?q=Acid%20Combo%20%26%20Popek%20official%20instagram%20soundcloud%20bandcamp","https://blackoutrec.bandcamp.com;https://www.facebook.com/blackoutofficial/;https://www.instagram.com/blackout.records/;https://soundcloud.com/black-out-records;https://open.spotify.com/user/blackoutrecords/playlist/53TiC8EwxYlcP1aslMFRuT;https://www.beatport.com/label/black-out-records/54476","https://f4.bcbits.com/img/a1172130011_10.jpg","We Are Inside (190)","published","medium_high","V5 artist profile generated from 1 imported track(s): We Are Inside (190)."
"psycore","ADRIAN","International","Montreal","ADRIAN tem 1 faixa(s) novas no pacote V5, com fonte em Voodoo Hoodoo Records. BPM verificado entre 184 e 184. Anchors: RITE OF PASSAGE [2026].","psycore / hi-tech psytrance / darkpsy","Recomende ADRIAN para ouvintes de psycore, hi-tech, darkpsy, forest pesado e energia extrema. Melhor uso: bpm_verified_psycore_artist.","bpm_verified_psycore_artist","RITE OF PASSAGE [2026]","https://voodoo-hoodoo.bandcamp.com/album/rite-of-passage-2026","https://linktr.ee/vuduhudu","https://bandcamp.com/search?q=ADRIAN;https://soundcloud.com/search?q=ADRIAN;https://www.youtube.com/results?search_query=ADRIAN%20psycore;https://www.google.com/search?q=ADRIAN%20official%20instagram%20soundcloud%20bandcamp","https://voodoo-hoodoo.bandcamp.com;https://linktr.ee/vuduhudu","https://f4.bcbits.com/img/a1191618092_10.jpg","Silentium (184)","published","high","V5 artist profile generated from 1 imported track(s): Silentium (184)."
"psycore","ALIENDIGENA","International","Montreal","ALIENDIGENA esta na fila editorial psycore por aparecer em THE ART OF THE BLACK SPELLS - compiled by Neormm, fonte Bandcamp etiquetada com Electronic, darkpsy, experimental-psytrance, forest-psytrance, hitech-psytrance.","psycore / hi-tech psytrance / darkpsy","Verificar proximas faixas, BPM e links oficiais de ALIENDIGENA; candidato para aprofundar psycore/darkpsy/hitech.","archive_profile_queue","THE ART OF THE BLACK SPELLS - compiled by Neormm","https://voodoo-hoodoo.bandcamp.com/album/the-art-of-the-black-spells-compiled-by-neormm","https://linktr.ee/vuduhudu","https://bandcamp.com/search?q=ALIENDIGENA;https://soundcloud.com/search?q=ALIENDIGENA;https://www.youtube.com/results?search_query=ALIENDIGENA%20psycore;https://www.google.com/search?q=ALIENDIGENA%20official%20instagram%20soundcloud%20bandcamp","https://voodoo-hoodoo.bandcamp.com;https://linktr.ee/vuduhudu","https://f4.bcbits.com/img/a3588926032_10.jpg","Intro: Petyngua","needs_review","medium_high","Bandcamp JSON-LD exposes an archived psycore-tagged compilation; kept as artist research queue because BPM is not explicit."
"psycore","Aliensynthesis","International","","Aliensynthesis tem 1 faixa(s) novas no pacote V5, com fonte em Black Out Records. BPM verificado entre 181 e 181. Anchors: VA Flight of The Hummingbird.","psycore / hi-tech psytrance / darkpsy","Recomende Aliensynthesis para ouvintes de psycore, hi-tech, darkpsy, forest pesado e energia extrema. Melhor uso: hitech_psycore_bridge.","hitech_psycore_bridge","VA Flight of The Hummingbird","https://blackoutrec.bandcamp.com/album/va-flight-of-the-hummingbird","https://www.facebook.com/blackoutofficial/","https://bandcamp.com/search?q=Aliensynthesis;https://soundcloud.com/search?q=Aliensynthesis;https://www.youtube.com/results?search_query=Aliensynthesis%20psycore;https://www.google.com/search?q=Aliensynthesis%20official%20instagram%20soundcloud%20bandcamp","https://blackoutrec.bandcamp.com;https://www.facebook.com/blackoutofficial/;https://www.instagram.com/blackout.records/;https://soundcloud.com/black-out-records;https://open.spotify.com/user/blackoutrecords/playlist/53TiC8EwxYlcP1aslMFRuT;https://www.beatport.com/label/black-out-records/54476","https://f4.bcbits.com/img/a1172130011_10.jpg","Nexo Void (181)","published","medium_high","V5 artist profile generated from 1 imported track(s): Nexo Void (181)."
"psycore","ALOA","International","Montreal","ALOA tem 1 faixa(s) novas no pacote V5, com fonte em Voodoo Hoodoo Records. BPM verificado entre 180 e 180. Anchors: RITE OF PASSAGE [2026].","psycore / hi-tech psytrance / darkpsy","Recomende ALOA para ouvintes de psycore, hi-tech, darkpsy, forest pesado e energia extrema. Melhor uso: bpm_verified_psycore_artist.","bpm_verified_psycore_artist","RITE OF PASSAGE [2026]","https://voodoo-hoodoo.bandcamp.com/album/rite-of-passage-2026","https://linktr.ee/vuduhudu","https://bandcamp.com/search?q=ALOA;https://soundcloud.com/search?q=ALOA;https://www.youtube.com/results?search_query=ALOA%20psycore;https://www.google.com/search?q=ALOA%20official%20instagram%20soundcloud%20bandcamp","https://voodoo-hoodoo.bandcamp.com;https://linktr.ee/vuduhudu","https://f4.bcbits.com/img/a1191618092_10.jpg","Chapter One (180)","published","high","V5 artist profile generated from 1 imported track(s): Chapter One (180)."
"psycore","ANALUA aka MAGA","International","Montreal","ANALUA aka MAGA esta na fila editorial psycore por aparecer em THE ART OF THE BLACK SPELLS - compiled by Neormm, fonte Bandcamp etiquetada com Electronic, darkpsy, experimental-psytrance, forest-psytrance, hitech-psytrance.","psycore / hi-tech psytrance / darkpsy","Verificar proximas faixas, BPM e links oficiais de ANALUA aka MAGA; candidato para aprofundar psycore/darkpsy/hitech.","archive_profile_queue","THE ART OF THE BLACK SPELLS - compiled by Neormm","https://voodoo-hoodoo.bandcamp.com/album/the-art-of-the-black-spells-compiled-by-neormm","https://linktr.ee/vuduhudu","https://bandcamp.com/search?q=ANALUA%20aka%20MAGA;https://soundcloud.com/search?q=ANALUA%20aka%20MAGA;https://www.youtube.com/results?search_query=ANALUA%20aka%20MAGA%20psycore;https://www.google.com/search?q=ANALUA%20aka%20MAGA%20official%20instagram%20soundcloud%20bandcamp","https://voodoo-hoodoo.bandcamp.com;https://linktr.ee/vuduhudu","https://f4.bcbits.com/img/a3588926032_10.jpg","No Gods No Masters","needs_review","medium_high","Bandcamp JSON-LD exposes an archived psycore-tagged compilation; kept as artist research queue because BPM is not explicit."
"psycore","ARKHOS & BARDO","International","Montreal","ARKHOS & BARDO tem 1 faixa(s) novas no pacote V5, com fonte em Voodoo Hoodoo Records. BPM verificado entre 196 e 196. Anchors: RITE OF PASSAGE [2026].","psycore / hi-tech psytrance / darkpsy","Recomende ARKHOS & BARDO para ouvintes de psycore, hi-tech, darkpsy, forest pesado e energia extrema. Melhor uso: bpm_verified_psycore_artist.","bpm_verified_psycore_artist","RITE OF PASSAGE [2026]","https://voodoo-hoodoo.bandcamp.com/album/rite-of-passage-2026","https://linktr.ee/vuduhudu","https://bandcamp.com/search?q=ARKHOS%20%26%20BARDO;https://soundcloud.com/search?q=ARKHOS%20%26%20BARDO;https://www.youtube.com/results?search_query=ARKHOS%20%26%20BARDO%20psycore;https://www.google.com/search?q=ARKHOS%20%26%20BARDO%20official%20instagram%20soundcloud%20bandcamp","https://voodoo-hoodoo.bandcamp.com;https://linktr.ee/vuduhudu","https://f4.bcbits.com/img/a1191618092_10.jpg","Gipsy Life (196)","published","high","V5 artist profile generated from 1 imported track(s): Gipsy Life (196)."
"psycore","ASPA SYAVA","International","Montreal","ASPA SYAVA tem 1 faixa(s) novas no pacote V5, com fonte em Voodoo Hoodoo Records. BPM verificado entre 184 e 184. Anchors: RITE OF PASSAGE [2026].","psycore / hi-tech psytrance / darkpsy","Recomende ASPA SYAVA para ouvintes de psycore, hi-tech, darkpsy, forest pesado e energia extrema. Melhor uso: bpm_verified_psycore_artist.","bpm_verified_psycore_artist","RITE OF PASSAGE [2026]","https://voodoo-hoodoo.bandcamp.com/album/rite-of-passage-2026","https://linktr.ee/vuduhudu","https://bandcamp.com/search?q=ASPA%20SYAVA;https://soundcloud.com/search?q=ASPA%20SYAVA;https://www.youtube.com/results?search_query=ASPA%20SYAVA%20psycore;https://www.google.com/search?q=ASPA%20SYAVA%20official%20instagram%20soundcloud%20bandcamp","https://voodoo-hoodoo.bandcamp.com;https://linktr.ee/vuduhudu","https://f4.bcbits.com/img/a1191618092_10.jpg","The Forth Ray of Passage (184)","published","high","V5 artist profile generated from 1 imported track(s): The Forth Ray of Passage (184)."
"psycore","ASUN","International","Montreal","ASUN tem 1 faixa(s) novas no pacote V5, com fonte em Voodoo Hoodoo Records. BPM verificado entre 207 e 207. Anchors: RITE OF PASSAGE [2026].","psycore / hi-tech psytrance / darkpsy","Recomende ASUN para ouvintes de psycore, hi-tech, darkpsy, forest pesado e energia extrema. Melhor uso: bpm_verified_psycore_artist.","bpm_verified_psycore_artist","RITE OF PASSAGE [2026]","https://voodoo-hoodoo.bandcamp.com/album/rite-of-passage-2026","https://linktr.ee/vuduhudu","https://bandcamp.com/search?q=ASUN;https://soundcloud.com/search?q=ASUN;https://www.youtube.com/results?search_query=ASUN%20psycore;https://www.google.com/search?q=ASUN%20official%20instagram%20soundcloud%20bandcamp","https://voodoo-hoodoo.bandcamp.com;https://linktr.ee/vuduhudu","https://f4.bcbits.com/img/a1191618092_10.jpg","Sound of Brain (207)","published","high","V5 artist profile generated from 1 imported track(s): Sound of Brain (207)."
