"style","artist","country","artist_bio","artist_genre","artist_profile_hint","scene_role","source_anchor_url","profile_tracks","source_note"
"deep_techno","Luigi Tozzi","Italy","Luigi Tozzi entra no lote techno v3 como referencia de deep techno, usando ""Tender Is The Night"" para ampliar a leitura de pulso, timbre e contexto de pista.","Deep Techno / Hypnotic Techno","Anchor editorial para deep techno; revisar links oficiais quando houver tempo, mas usar como rota de descoberta e contexto.","deep_atmospheric_anchor","https://www.discogs.com/search/?q=Luigi%20Tozzi%20Tender%20Is%20The%20Night&type=all","Tender Is The Night (128)","Adiciona techno atmosferico, hipnotico e profundo sem cair automaticamente em deep house."
"deep_techno","Claudio PRC","Italy","Claudio PRC entra no lote techno v3 como referencia de deep techno, usando ""Inner State"" para ampliar a leitura de pulso, timbre e contexto de pista.","Deep Techno / Hypnotic Techno","Anchor editorial para deep techno; revisar links oficiais quando houver tempo, mas usar como rota de descoberta e contexto.","deep_mental_anchor","https://www.discogs.com/search/?q=Claudio%20PRC%20Inner%20State&type=all","Inner State (128)","Adiciona techno atmosferico, hipnotico e profundo sem cair automaticamente em deep house."
"deep_techno","Deepbass","United Kingdom","Deepbass entra no lote techno v3 como referencia de deep techno, usando ""Parallel to Radius"" para ampliar a leitura de pulso, timbre e contexto de pista.","Deep Techno / Atmospheric Techno","Anchor editorial para deep techno; revisar links oficiais quando houver tempo, mas usar como rota de descoberta e contexto.","uk_deep_techno_depth","https://www.discogs.com/search/?q=Deepbass%20Parallel%20to%20Radius&type=all","Parallel to Radius (128)","Adiciona techno atmosferico, hipnotico e profundo sem cair automaticamente em deep house."
"deep_techno","Ness","Italy","Ness entra no lote techno v3 como referencia de deep techno, usando ""Trancemigration"" para ampliar a leitura de pulso, timbre e contexto de pista.","Deep Techno / Mental Techno","Anchor editorial para deep techno; revisar links oficiais quando houver tempo, mas usar como rota de descoberta e contexto.","italian_deep_techno_depth","https://www.discogs.com/search/?q=Ness%20Trancemigration&type=all","Trancemigration (128)","Adiciona techno atmosferico, hipnotico e profundo sem cair automaticamente em deep house."
"deep_techno","Artefakt","Netherlands","Artefakt entra no lote techno v3 como referencia de deep techno, usando ""The Fifth Planet"" para ampliar a leitura de pulso, timbre e contexto de pista.","Deep Techno / Atmospheric Techno","Anchor editorial para deep techno; revisar links oficiais quando houver tempo, mas usar como rota de descoberta e contexto.","delsin_atmospheric_anchor","https://www.discogs.com/search/?q=Artefakt%20The%20Fifth%20Planet&type=all","The Fifth Planet (128)","Adiciona techno atmosferico, hipnotico e profundo sem cair automaticamente em deep house."
"deep_techno","Polar Inertia","France","Polar Inertia entra no lote techno v3 como referencia de deep techno, usando ""The Last Vehicle"" para ampliar a leitura de pulso, timbre e contexto de pista.","Deep Techno / Atmospheric Techno","Anchor editorial para deep techno; revisar links oficiais quando houver tempo, mas usar como rota de descoberta e contexto.","french_atmospheric_anchor","https://www.discogs.com/search/?q=Polar%20Inertia%20The%20Last%20Vehicle&type=all","The Last Vehicle (130)","Adiciona techno atmosferico, hipnotico e profundo sem cair automaticamente em deep house."
"ambient_techno","B12","United Kingdom","B12 entra no lote techno v3 como referencia de ambient techno, usando ""Telefone 529"" para ampliar a leitura de pulso, timbre e contexto de pista.","Ambient Techno / IDM","Anchor editorial para ambient techno; revisar links oficiais quando houver tempo, mas usar como rota de descoberta e contexto.","warp_ambient_techno_anchor","https://www.discogs.com/search/?q=B12%20Telefone%20529&type=all","Telefone 529 (125)","Cobre a ponte ambient/IDM/techno para foco, estudo e after mental."
"ambient_techno","The Black Dog","United Kingdom","The Black Dog entra no lote techno v3 como referencia de ambient techno, usando ""Virtual"" para ampliar a leitura de pulso, timbre e contexto de pista.","Ambient Techno / IDM","Anchor editorial para ambient techno; revisar links oficiais quando houver tempo, mas usar como rota de descoberta e contexto.","uk_intelligent_techno_anchor","https://www.discogs.com/search/?q=The%20Black%20Dog%20Virtual&type=all","Virtual (126)","Cobre a ponte ambient/IDM/techno para foco, estudo e after mental."
"ambient_techno","Global Communication","United Kingdom","Global Communication entra no lote techno v3 como referencia de ambient techno, usando ""14:31"" para ampliar a leitura de pulso, timbre e contexto de pista.","Ambient Techno / Ambient","Anchor editorial para ambient techno; revisar links oficiais quando houver tempo, mas usar como rota de descoberta e contexto.","ambient_techno_downshift","https://www.discogs.com/search/?q=Global%20Communication%2014%3A31&type=all","14:31 (90)","Cobre a ponte ambient/IDM/techno para foco, estudo e after mental."
"ambient_techno","Biosphere","Norway","Biosphere entra no lote techno v3 como referencia de ambient techno, usando ""Novelty Waves"" para ampliar a leitura de pulso, timbre e contexto de pista.","Ambient Techno / Arctic Ambient","Anchor editorial para ambient techno; revisar links oficiais quando houver tempo, mas usar como rota de descoberta e contexto.","arctic_ambient_techno","https://www.discogs.com/search/?q=Biosphere%20Novelty%20Waves&type=all","Novelty Waves (128)","Cobre a ponte ambient/IDM/techno para foco, estudo e after mental."
"ambient_techno","Higher Intelligence Agency","United Kingdom","Higher Intelligence Agency entra no lote techno v3 como referencia de ambient techno, usando ""Ketamine Entity"" para ampliar a leitura de pulso, timbre e contexto de pista.","Ambient Techno / Intelligent Techno","Anchor editorial para ambient techno; revisar links oficiais quando houver tempo, mas usar como rota de descoberta e contexto.","intelligent_techno_depth","https://www.discogs.com/search/?q=Higher%20Intelligence%20Agency%20Ketamine%20Entity&type=all","Ketamine Entity (120)","Cobre a ponte ambient/IDM/techno para foco, estudo e after mental."
"ambient_techno","Voices From The Lake","Italy","Voices From The Lake entra no lote techno v3 como referencia de ambient techno, usando ""Velo Di Maya"" para ampliar a leitura de pulso, timbre e contexto de pista.","Ambient Techno / Deep Techno","Anchor editorial para ambient techno; revisar links oficiais quando houver tempo, mas usar como rota de descoberta e contexto.","ambient_deep_techno_bridge","https://www.discogs.com/search/?q=Voices%20From%20The%20Lake%20Velo%20Di%20Maya&type=all","Velo Di Maya (126)","Cobre a ponte ambient/IDM/techno para foco, estudo e after mental."
"bleep_techno","LFO","United Kingdom","LFO entra no lote techno v3 como referencia de bleep techno, usando ""LFO"" para ampliar a leitura de pulso, timbre e contexto de pista.","Bleep Techno / Sheffield Techno","Anchor editorial para bleep techno; revisar links oficiais quando houver tempo, mas usar como rota de descoberta e contexto.","warp_bleep_origin","https://www.discogs.com/search/?q=LFO%20LFO&type=all","LFO (123)","Inclui a vertente UK/Sheffield com bleeps, subgrave e raiz Warp."
"bleep_techno","Sweet Exorcist","United Kingdom","Sweet Exorcist entra no lote techno v3 como referencia de bleep techno, usando ""Testone"" para ampliar a leitura de pulso, timbre e contexto de pista.","Bleep Techno / UK Techno","Anchor editorial para bleep techno; revisar links oficiais quando houver tempo, mas usar como rota de descoberta e contexto.","sheffield_bleep_anchor","https://www.discogs.com/search/?q=Sweet%20Exorcist%20Testone&type=all","Testone (124)","Inclui a vertente UK/Sheffield com bleeps, subgrave e raiz Warp."
"bleep_techno","Forgemasters","United Kingdom","Forgemasters entra no lote techno v3 como referencia de bleep techno, usando ""Track With No Name"" para ampliar a leitura de pulso, timbre e contexto de pista.","Bleep Techno / Sheffield Techno","Anchor editorial para bleep techno; revisar links oficiais quando houver tempo, mas usar como rota de descoberta e contexto.","warp_catalog_origin","https://www.discogs.com/search/?q=Forgemasters%20Track%20With%20No%20Name&type=all","Track With No Name (122)","Inclui a vertente UK/Sheffield com bleeps, subgrave e raiz Warp."
"bleep_techno","Nightmares on Wax","United Kingdom","Nightmares on Wax entra no lote techno v3 como referencia de bleep techno, usando ""Dextrous"" para ampliar a leitura de pulso, timbre e contexto de pista.","Bleep Techno / UK Rave","Anchor editorial para bleep techno; revisar links oficiais quando houver tempo, mas usar como rota de descoberta e contexto.","bleep_rave_bridge","https://www.discogs.com/search/?q=Nightmares%20on%20Wax%20Dextrous&type=all","Dextrous (124)","Inclui a vertente UK/Sheffield com bleeps, subgrave e raiz Warp."
"bleep_techno","Unique 3","United Kingdom","Unique 3 entra no lote techno v3 como referencia de bleep techno, usando ""The Theme"" para ampliar a leitura de pulso, timbre e contexto de pista.","Bleep Techno / UK Bass","Anchor editorial para bleep techno; revisar links oficiais quando houver tempo, mas usar como rota de descoberta e contexto.","uk_bass_bleep_origin","https://www.discogs.com/search/?q=Unique%203%20The%20Theme&type=all","The Theme (122)","Inclui a vertente UK/Sheffield com bleeps, subgrave e raiz Warp."
"bleep_techno","Tricky Disco","United Kingdom","Tricky Disco entra no lote techno v3 como referencia de bleep techno, usando ""Tricky Disco"" para ampliar a leitura de pulso, timbre e contexto de pista.","Bleep Techno / Rave Techno","Anchor editorial para bleep techno; revisar links oficiais quando houver tempo, mas usar como rota de descoberta e contexto.","rave_bleep_anchor","https://www.discogs.com/search/?q=Tricky%20Disco%20Tricky%20Disco&type=all","Tricky Disco (123)","Inclui a vertente UK/Sheffield com bleeps, subgrave e raiz Warp."
"tribal_techno","Cave","Norway","Cave entra no lote techno v3 como referencia de tribal techno, usando ""Street Carnival"" para ampliar a leitura de pulso, timbre e contexto de pista.","Tribal Techno / Percussive Techno","Anchor editorial para tribal techno; revisar links oficiais quando houver tempo, mas usar como rota de descoberta e contexto.","tribal_loop_anchor","https://www.discogs.com/search/?q=Cave%20Street%20Carnival&type=all","Street Carnival (136)","Reforca techno percussivo e latino para pista fisica."
"tribal_techno","Hertz","Sweden","Hertz entra no lote techno v3 como referencia de tribal techno, usando ""Recreate"" para ampliar a leitura de pulso, timbre e contexto de pista.","Tribal Techno / Percussive Techno","Anchor editorial para tribal techno; revisar links oficiais quando houver tempo, mas usar como rota de descoberta e contexto.","swedish_percussive_tool","https://www.discogs.com/search/?q=Hertz%20Recreate&type=all","Recreate (136)","Reforca techno percussivo e latino para pista fisica."
"tribal_techno","The Advent","United Kingdom","The Advent entra no lote techno v3 como referencia de tribal techno, usando ""Bad Boy"" para ampliar a leitura de pulso, timbre e contexto de pista.","Tribal Techno / Hardgroove","Anchor editorial para tribal techno; revisar links oficiais quando houver tempo, mas usar como rota de descoberta e contexto.","tribal_hardgroove_bridge","https://www.discogs.com/search/?q=The%20Advent%20Bad%20Boy&type=all","Bad Boy (137)","Reforca techno percussivo e latino para pista fisica."
