"style","artist","song","label","bpm_exact","country","artist_genre","catalog_role","source_url","track_url","spotify_url","youtube_url","beatport_url","artist_bio","artist_profile_hint","source_note"
"acid_techno","Chris Liberator & Sterling Moss","Scum Like Us","Stay Up Forever","140","United Kingdom","Acid Techno / London Acid Techno","suf_free_party_anchor","https://www.discogs.com/search/?q=Chris%20Liberator%20%26%20Sterling%20Moss%20Scum%20Like%20Us&type=all","https://www.youtube.com/results?search_query=Chris%20Liberator%20%26%20Sterling%20Moss%20Scum%20Like%20Us","https://open.spotify.com/search/Chris%20Liberator%20%26%20Sterling%20Moss%20Scum%20Like%20Us","https://www.youtube.com/results?search_query=Chris%20Liberator%20%26%20Sterling%20Moss%20Scum%20Like%20Us","https://www.beatport.com/search?q=Chris%20Liberator%20%26%20Sterling%20Moss%20Scum%20Like%20Us","Chris Liberator & Sterling Moss entra no lote techno v4 como referencia de acid techno, usando ""Scum Like Us"" para ampliar artistas, contexto e rota de descoberta do subgenero.","Anchor editorial v4 para acid techno; links sao discovery/search e devem ser revisados antes de marcar qualquer perfil social como oficial.","Curated techno v4 expansion for acid techno; acid techno, 303 pressure, warehouse drive and free-party roots."
"acid_techno","D.A.V.E. The Drummer","Hydraulix 09","Hydraulix","140","United Kingdom","Acid Techno / Hard Acid","hydraulix_anchor","https://www.discogs.com/search/?q=D.A.V.E.%20The%20Drummer%20Hydraulix%2009&type=all","https://www.youtube.com/results?search_query=D.A.V.E.%20The%20Drummer%20Hydraulix%2009","https://open.spotify.com/search/D.A.V.E.%20The%20Drummer%20Hydraulix%2009","https://www.youtube.com/results?search_query=D.A.V.E.%20The%20Drummer%20Hydraulix%2009","https://www.beatport.com/search?q=D.A.V.E.%20The%20Drummer%20Hydraulix%2009","D.A.V.E. The Drummer entra no lote techno v4 como referencia de acid techno, usando ""Hydraulix 09"" para ampliar artistas, contexto e rota de descoberta do subgenero.","Anchor editorial v4 para acid techno; links sao discovery/search e devem ser revisados antes de marcar qualquer perfil social como oficial.","Curated techno v4 expansion for acid techno; acid techno, 303 pressure, warehouse drive and free-party roots."
"acid_techno","DJ Misjah & DJ Tim","Access","X-Trax","135","Netherlands","Acid Techno / Rave Techno","acid_rave_crossover","https://www.discogs.com/search/?q=DJ%20Misjah%20%26%20DJ%20Tim%20Access&type=all","https://www.youtube.com/results?search_query=DJ%20Misjah%20%26%20DJ%20Tim%20Access","https://open.spotify.com/search/DJ%20Misjah%20%26%20DJ%20Tim%20Access","https://www.youtube.com/results?search_query=DJ%20Misjah%20%26%20DJ%20Tim%20Access","https://www.beatport.com/search?q=DJ%20Misjah%20%26%20DJ%20Tim%20Access","DJ Misjah & DJ Tim entra no lote techno v4 como referencia de acid techno, usando ""Access"" para ampliar artistas, contexto e rota de descoberta do subgenero.","Anchor editorial v4 para acid techno; links sao discovery/search e devem ser revisados antes de marcar qualquer perfil social como oficial.","Curated techno v4 expansion for acid techno; acid techno, 303 pressure, warehouse drive and free-party roots."
"acid_techno","Miss Djax","Acid Entrance","Djax-Up-Beats","136","Netherlands","Acid Techno / Rave Techno","djax_acid_anchor","https://www.discogs.com/search/?q=Miss%20Djax%20Acid%20Entrance&type=all","https://www.youtube.com/results?search_query=Miss%20Djax%20Acid%20Entrance","https://open.spotify.com/search/Miss%20Djax%20Acid%20Entrance","https://www.youtube.com/results?search_query=Miss%20Djax%20Acid%20Entrance","https://www.beatport.com/search?q=Miss%20Djax%20Acid%20Entrance","Miss Djax entra no lote techno v4 como referencia de acid techno, usando ""Acid Entrance"" para ampliar artistas, contexto e rota de descoberta do subgenero.","Anchor editorial v4 para acid techno; links sao discovery/search e devem ser revisados antes de marcar qualquer perfil social como oficial.","Curated techno v4 expansion for acid techno; acid techno, 303 pressure, warehouse drive and free-party roots."
"acid_techno","Thomas P. Heckmann","Amphetamine","Trope Recordings","135","Germany","Acid Techno / Acid Trance","european_acid_classic","https://www.discogs.com/search/?q=Thomas%20P.%20Heckmann%20Amphetamine&type=all","https://www.youtube.com/results?search_query=Thomas%20P.%20Heckmann%20Amphetamine","https://open.spotify.com/search/Thomas%20P.%20Heckmann%20Amphetamine","https://www.youtube.com/results?search_query=Thomas%20P.%20Heckmann%20Amphetamine","https://www.beatport.com/search?q=Thomas%20P.%20Heckmann%20Amphetamine","Thomas P. Heckmann entra no lote techno v4 como referencia de acid techno, usando ""Amphetamine"" para ampliar artistas, contexto e rota de descoberta do subgenero.","Anchor editorial v4 para acid techno; links sao discovery/search e devem ser revisados antes de marcar qualquer perfil social como oficial.","Curated techno v4 expansion for acid techno; acid techno, 303 pressure, warehouse drive and free-party roots."
"acid_techno","Woody McBride","Basketball Heroes","Communique Records","130","United States","Acid Techno / Midwest Acid","midwest_acid_depth","https://www.discogs.com/search/?q=Woody%20McBride%20Basketball%20Heroes&type=all","https://www.youtube.com/results?search_query=Woody%20McBride%20Basketball%20Heroes","https://open.spotify.com/search/Woody%20McBride%20Basketball%20Heroes","https://www.youtube.com/results?search_query=Woody%20McBride%20Basketball%20Heroes","https://www.beatport.com/search?q=Woody%20McBride%20Basketball%20Heroes","Woody McBride entra no lote techno v4 como referencia de acid techno, usando ""Basketball Heroes"" para ampliar artistas, contexto e rota de descoberta do subgenero.","Anchor editorial v4 para acid techno; links sao discovery/search e devem ser revisados antes de marcar qualquer perfil social como oficial.","Curated techno v4 expansion for acid techno; acid techno, 303 pressure, warehouse drive and free-party roots."
"ambient_techno","Orbital","Belfast","FFRR","120","United Kingdom","Ambient Techno / Rave Ambient","uk_rave_ambient_anchor","https://www.discogs.com/search/?q=Orbital%20Belfast&type=all","https://www.youtube.com/results?search_query=Orbital%20Belfast","https://open.spotify.com/search/Orbital%20Belfast","https://www.youtube.com/results?search_query=Orbital%20Belfast","https://www.beatport.com/search?q=Orbital%20Belfast","Orbital entra no lote techno v4 como referencia de ambient techno, usando ""Belfast"" para ampliar artistas, contexto e rota de descoberta do subgenero.","Anchor editorial v4 para ambient techno; links sao discovery/search e devem ser revisados antes de marcar qualquer perfil social como oficial.","Curated techno v4 expansion for ambient techno; ambient techno, IDM-adjacent listening techno and soft machine pulse."
"ambient_techno","Speedy J","De-Orbit","Plus 8","126","Netherlands","Ambient Techno / Detroit Techno","plus8_ambient_techno","https://www.discogs.com/search/?q=Speedy%20J%20De-Orbit&type=all","https://www.youtube.com/results?search_query=Speedy%20J%20De-Orbit","https://open.spotify.com/search/Speedy%20J%20De-Orbit","https://www.youtube.com/results?search_query=Speedy%20J%20De-Orbit","https://www.beatport.com/search?q=Speedy%20J%20De-Orbit","Speedy J entra no lote techno v4 como referencia de ambient techno, usando ""De-Orbit"" para ampliar artistas, contexto e rota de descoberta do subgenero.","Anchor editorial v4 para ambient techno; links sao discovery/search e devem ser revisados antes de marcar qualquer perfil social como oficial.","Curated techno v4 expansion for ambient techno; ambient techno, IDM-adjacent listening techno and soft machine pulse."
"ambient_techno","The Future Sound of London","Papua New Guinea","Jumpin' & Pumpin'","102","United Kingdom","Ambient Techno / Ambient House","uk_ambient_crossover","https://www.discogs.com/search/?q=The%20Future%20Sound%20of%20London%20Papua%20New%20Guinea&type=all","https://www.youtube.com/results?search_query=The%20Future%20Sound%20of%20London%20Papua%20New%20Guinea","https://open.spotify.com/search/The%20Future%20Sound%20of%20London%20Papua%20New%20Guinea","https://www.youtube.com/results?search_query=The%20Future%20Sound%20of%20London%20Papua%20New%20Guinea","https://www.beatport.com/search?q=The%20Future%20Sound%20of%20London%20Papua%20New%20Guinea","The Future Sound of London entra no lote techno v4 como referencia de ambient techno, usando ""Papua New Guinea"" para ampliar artistas, contexto e rota de descoberta do subgenero.","Anchor editorial v4 para ambient techno; links sao discovery/search e devem ser revisados antes de marcar qualquer perfil social como oficial.","Curated techno v4 expansion for ambient techno; ambient techno, IDM-adjacent listening techno and soft machine pulse."
"ambient_techno","Ultramarine","Stella","Brainiak","112","United Kingdom","Ambient Techno / Ambient House","uk_pastoral_techno","https://www.discogs.com/search/?q=Ultramarine%20Stella&type=all","https://www.youtube.com/results?search_query=Ultramarine%20Stella","https://open.spotify.com/search/Ultramarine%20Stella","https://www.youtube.com/results?search_query=Ultramarine%20Stella","https://www.beatport.com/search?q=Ultramarine%20Stella","Ultramarine entra no lote techno v4 como referencia de ambient techno, usando ""Stella"" para ampliar artistas, contexto e rota de descoberta do subgenero.","Anchor editorial v4 para ambient techno; links sao discovery/search e devem ser revisados antes de marcar qualquer perfil social como oficial.","Curated techno v4 expansion for ambient techno; ambient techno, IDM-adjacent listening techno and soft machine pulse."
"bleep_techno","808 State","Cubik","ZTT","122","United Kingdom","Bleep Techno / Rave Techno","rave_bleep_crossover","https://www.discogs.com/search/?q=808%20State%20Cubik&type=all","https://www.youtube.com/results?search_query=808%20State%20Cubik","https://open.spotify.com/search/808%20State%20Cubik","https://www.youtube.com/results?search_query=808%20State%20Cubik","https://www.beatport.com/search?q=808%20State%20Cubik","808 State entra no lote techno v4 como referencia de bleep techno, usando ""Cubik"" para ampliar artistas, contexto e rota de descoberta do subgenero.","Anchor editorial v4 para bleep techno; links sao discovery/search e devem ser revisados antes de marcar qualquer perfil social como oficial.","Curated techno v4 expansion for bleep techno; bleeps, sub bass, rave minimalism and early UK techno pressure."
"bleep_techno","Ability II","Pressure Dub","Outer Rhythm","122","United Kingdom","Bleep Techno / Dub Techno","bleep_dub_anchor","https://www.discogs.com/search/?q=Ability%20II%20Pressure%20Dub&type=all","https://www.youtube.com/results?search_query=Ability%20II%20Pressure%20Dub","https://open.spotify.com/search/Ability%20II%20Pressure%20Dub","https://www.youtube.com/results?search_query=Ability%20II%20Pressure%20Dub","https://www.beatport.com/search?q=Ability%20II%20Pressure%20Dub","Ability II entra no lote techno v4 como referencia de bleep techno, usando ""Pressure Dub"" para ampliar artistas, contexto e rota de descoberta do subgenero.","Anchor editorial v4 para bleep techno; links sao discovery/search e devem ser revisados antes de marcar qualquer perfil social como oficial.","Curated techno v4 expansion for bleep techno; bleeps, sub bass, rave minimalism and early UK techno pressure."
"bleep_techno","Ital Rockers","Ital's Anthem","Bassic","124","United Kingdom","Bleep Techno / UK Bass","uk_bass_bleep_depth","https://www.discogs.com/search/?q=Ital%20Rockers%20Ital's%20Anthem&type=all","https://www.youtube.com/results?search_query=Ital%20Rockers%20Ital's%20Anthem","https://open.spotify.com/search/Ital%20Rockers%20Ital's%20Anthem","https://www.youtube.com/results?search_query=Ital%20Rockers%20Ital's%20Anthem","https://www.beatport.com/search?q=Ital%20Rockers%20Ital's%20Anthem","Ital Rockers entra no lote techno v4 como referencia de bleep techno, usando ""Ital's Anthem"" para ampliar artistas, contexto e rota de descoberta do subgenero.","Anchor editorial v4 para bleep techno; links sao discovery/search e devem ser revisados antes de marcar qualquer perfil social como oficial.","Curated techno v4 expansion for bleep techno; bleeps, sub bass, rave minimalism and early UK techno pressure."
"bleep_techno","Nexus 21","Self Hypnosis","Network","124","United Kingdom","Bleep Techno / UK Techno","network_bleep_anchor","https://www.discogs.com/search/?q=Nexus%2021%20Self%20Hypnosis&type=all","https://www.youtube.com/results?search_query=Nexus%2021%20Self%20Hypnosis","https://open.spotify.com/search/Nexus%2021%20Self%20Hypnosis","https://www.youtube.com/results?search_query=Nexus%2021%20Self%20Hypnosis","https://www.beatport.com/search?q=Nexus%2021%20Self%20Hypnosis","Nexus 21 entra no lote techno v4 como referencia de bleep techno, usando ""Self Hypnosis"" para ampliar artistas, contexto e rota de descoberta do subgenero.","Anchor editorial v4 para bleep techno; links sao discovery/search e devem ser revisados antes de marcar qualquer perfil social como oficial.","Curated techno v4 expansion for bleep techno; bleeps, sub bass, rave minimalism and early UK techno pressure."
"bleep_techno","Rhythmatic","Take Me Back","Network","124","United Kingdom","Bleep Techno / UK Rave","uk_rave_bleep_depth","https://www.discogs.com/search/?q=Rhythmatic%20Take%20Me%20Back&type=all","https://www.youtube.com/results?search_query=Rhythmatic%20Take%20Me%20Back","https://open.spotify.com/search/Rhythmatic%20Take%20Me%20Back","https://www.youtube.com/results?search_query=Rhythmatic%20Take%20Me%20Back","https://www.beatport.com/search?q=Rhythmatic%20Take%20Me%20Back","Rhythmatic entra no lote techno v4 como referencia de bleep techno, usando ""Take Me Back"" para ampliar artistas, contexto e rota de descoberta do subgenero.","Anchor editorial v4 para bleep techno; links sao discovery/search e devem ser revisados antes de marcar qualquer perfil social como oficial.","Curated techno v4 expansion for bleep techno; bleeps, sub bass, rave minimalism and early UK techno pressure."
"broken_techno","Hodge","Amor Fati","Berceuse Heroique","130","United Kingdom","Broken Techno / Bristol Techno","bristol_broken_anchor","https://www.discogs.com/search/?q=Hodge%20Amor%20Fati&type=all","https://www.youtube.com/results?search_query=Hodge%20Amor%20Fati","https://open.spotify.com/search/Hodge%20Amor%20Fati","https://www.youtube.com/results?search_query=Hodge%20Amor%20Fati","https://www.beatport.com/search?q=Hodge%20Amor%20Fati","Hodge entra no lote techno v4 como referencia de broken techno, usando ""Amor Fati"" para ampliar artistas, contexto e rota de descoberta do subgenero.","Anchor editorial v4 para broken techno; links sao discovery/search e devem ser revisados antes de marcar qualquer perfil social como oficial.","Curated techno v4 expansion for broken techno; syncopated techno, UK bass pressure and broken club rhythm."
