"style","artist","song","label","bpm_exact","preview_url","release_date","duration_sec","country","city","artist_bio","artist_genre","artist_profile_hint","source","youtube_track_url","soundcloud_track_url","bandcamp_track_url","bandcamp_track_id"
"chillout","Autechre","Foil","Amber","","https://cdnt-preview.dzcdn.net/api/1/1/4/4/9/0/4490e0bfba43515f5cdc916f0cd6f643.mp3?hdnea=exp=1781296610~acl=/api/1/1/4/4/9/0/4490e0bfba43515f5cdc916f0cd6f643.mp3*~data=user_id=0,application_id=42~hmac=844fb68e3ea3c1e00d46687b2a7554121baf273379cd1445d83e133ee03d71d6","2012-05-11","364","International","","Autechre entra na expansao v8 para reforcar pelo menos 50 artistas disponiveis em chillout, ampliando descoberta dinamica sem inventar faixa.","chillout","Expansao v6 focada em deficit de chillout; busca Deezer ancorada em artista seed e deduplicada globalmente.","verified_deezer_expansion_v6","https://www.youtube.com/results?search_query=Autechre%20Foil","","",""
"chillout","Autechre","Montreal","Amber","","https://cdnt-preview.dzcdn.net/api/1/1/5/4/5/0/54575e3f1de15183432a1b3db20bca67.mp3?hdnea=exp=1781296610~acl=/api/1/1/5/4/5/0/54575e3f1de15183432a1b3db20bca67.mp3*~data=user_id=0,application_id=42~hmac=eb240935894b5cd78b9ad1562e73cd15cdd20dee4463f960ecabf5837e49cd6b","2012-05-11","435","International","","Autechre entra na expansao v8 para reforcar pelo menos 50 artistas disponiveis em chillout, ampliando descoberta dinamica sem inventar faixa.","chillout","Expansao v6 focada em deficit de chillout; busca Deezer ancorada em artista seed e deduplicada globalmente.","verified_deezer_expansion_v6","https://www.youtube.com/results?search_query=Autechre%20Montreal","","",""
"chillout","Autechre","Glitch","Amber","","https://cdnt-preview.dzcdn.net/api/1/1/f/9/7/0/f97c8fac236871eb7d62ce29cf573f56.mp3?hdnea=exp=1781296610~acl=/api/1/1/f/9/7/0/f97c8fac236871eb7d62ce29cf573f56.mp3*~data=user_id=0,application_id=42~hmac=28dc6e552b28ae7c888c3f9c099327782a939e3ea43c8147b4bc0fdb48d079e0","2012-05-11","375","International","","Autechre entra na expansao v8 para reforcar pelo menos 50 artistas disponiveis em chillout, ampliando descoberta dinamica sem inventar faixa.","chillout","Expansao v6 focada em deficit de chillout; busca Deezer ancorada em artista seed e deduplicada globalmente.","verified_deezer_expansion_v6","https://www.youtube.com/results?search_query=Autechre%20Glitch","","",""
"chillout","Autechre","Bike","Incunabula","","https://cdnt-preview.dzcdn.net/api/1/1/e/8/1/0/e81c68528179282d2c28e8164924cb50.mp3?hdnea=exp=1781296610~acl=/api/1/1/e/8/1/0/e81c68528179282d2c28e8164924cb50.mp3*~data=user_id=0,application_id=42~hmac=56c60768491b2b3a5d41b497892adbd9192814e2b2405526e3e3a979aa0fb3be","2012-05-11","480","International","","Autechre entra na expansao v8 para reforcar pelo menos 50 artistas disponiveis em chillout, ampliando descoberta dinamica sem inventar faixa.","chillout","Expansao v6 focada em deficit de chillout; busca Deezer ancorada em artista seed e deduplicada globalmente.","verified_deezer_expansion_v6","https://www.youtube.com/results?search_query=Autechre%20Bike","","",""
"chillout","Autechre","Stud","Tri Repetae","","https://cdnt-preview.dzcdn.net/api/1/1/b/a/7/0/ba726f7c274c615f342f4bdd832c5d30.mp3?hdnea=exp=1781296610~acl=/api/1/1/b/a/7/0/ba726f7c274c615f342f4bdd832c5d30.mp3*~data=user_id=0,application_id=42~hmac=c0332514688a397dd27b740e778116c2754916815383acf7a72d427402ce5b20","2012-05-11","580","International","","Autechre entra na expansao v8 para reforcar pelo menos 50 artistas disponiveis em chillout, ampliando descoberta dinamica sem inventar faixa.","chillout","Expansao v6 focada em deficit de chillout; busca Deezer ancorada em artista seed e deduplicada globalmente.","verified_deezer_expansion_v6","https://www.youtube.com/results?search_query=Autechre%20Stud","","",""
"chillout","Autechre","Piezo","Amber","","https://cdnt-preview.dzcdn.net/api/1/1/8/6/4/0/8645ef4f8c75af6a70ae1eceab107520.mp3?hdnea=exp=1781296610~acl=/api/1/1/8/6/4/0/8645ef4f8c75af6a70ae1eceab107520.mp3*~data=user_id=0,application_id=42~hmac=520aeb47d5286a128229cc7772083dd59ca99bc7bd3974a18f415cbafc63c72e","2012-05-11","480","International","","Autechre entra na expansao v8 para reforcar pelo menos 50 artistas disponiveis em chillout, ampliando descoberta dinamica sem inventar faixa.","chillout","Expansao v6 focada em deficit de chillout; busca Deezer ancorada em artista seed e deduplicada globalmente.","verified_deezer_expansion_v6","https://www.youtube.com/results?search_query=Autechre%20Piezo","","",""
"chillout","Autechre","Clipper","Tri Repetae","","https://cdnt-preview.dzcdn.net/api/1/1/a/c/f/0/acf507b48c89e216f1a26be44e82791d.mp3?hdnea=exp=1781296610~acl=/api/1/1/a/c/f/0/acf507b48c89e216f1a26be44e82791d.mp3*~data=user_id=0,application_id=42~hmac=1231f999ec48bbfbe87ca9815268c327fdd6b7a1798769e91160b911a704cbe9","2012-05-11","514","International","","Autechre entra na expansao v8 para reforcar pelo menos 50 artistas disponiveis em chillout, ampliando descoberta dinamica sem inventar faixa.","chillout","Expansao v6 focada em deficit de chillout; busca Deezer ancorada em artista seed e deduplicada globalmente.","verified_deezer_expansion_v6","https://www.youtube.com/results?search_query=Autechre%20Clipper","","",""
"chillout","Autechre","VLetrmx","Garbage","","https://cdnt-preview.dzcdn.net/api/1/1/1/4/a/0/14a20fc34e7bc3d3472dce552959407c.mp3?hdnea=exp=1781296610~acl=/api/1/1/1/4/a/0/14a20fc34e7bc3d3472dce552959407c.mp3*~data=user_id=0,application_id=42~hmac=468acaff07b452751306b852abedf2b9a1c06efab634f461d376d043593a848f","2014-09-30","507","International","","Autechre entra na expansao v8 para reforcar pelo menos 50 artistas disponiveis em chillout, ampliando descoberta dinamica sem inventar faixa.","chillout","Expansao v6 focada em deficit de chillout; busca Deezer ancorada em artista seed e deduplicada globalmente.","verified_deezer_expansion_v6","https://www.youtube.com/results?search_query=Autechre%20VLetrmx","","",""
"chillout","Boards of Canada","The Word Becomes Flesh","Inferno","","https://cdnt-preview.dzcdn.net/api/1/1/4/c/1/0/4c1e999afe7966f9c547ee5a777c9c43.mp3?hdnea=exp=1781296613~acl=/api/1/1/4/c/1/0/4c1e999afe7966f9c547ee5a777c9c43.mp3*~data=user_id=0,application_id=42~hmac=7807eb85fe6603027c6d5ad2121e02b51f5f915ef0a7d2a749a08947ce3ffa46","2026-05-29","320","International","","Boards of Canada entra na expansao v8 para reforcar pelo menos 50 artistas disponiveis em chillout, ampliando descoberta dinamica sem inventar faixa.","chillout","Expansao v6 focada em deficit de chillout; busca Deezer ancorada em artista seed e deduplicada globalmente.","verified_deezer_expansion_v6","https://www.youtube.com/results?search_query=Boards%20of%20Canada%20The%20Word%20Becomes%20Flesh","","",""
"chillout","Boards of Canada","You Retreat In Time And Space","Inferno","","https://cdnt-preview.dzcdn.net/api/1/1/3/e/0/0/3e04475aa548361e10efd5d166b2d377.mp3?hdnea=exp=1781296613~acl=/api/1/1/3/e/0/0/3e04475aa548361e10efd5d166b2d377.mp3*~data=user_id=0,application_id=42~hmac=f3d4e097c06fad20da8544fd148b55d771854fc6ee3e4570b8518c9552a8710a","2026-05-29","325","International","","Boards of Canada entra na expansao v8 para reforcar pelo menos 50 artistas disponiveis em chillout, ampliando descoberta dinamica sem inventar faixa.","chillout","Expansao v6 focada em deficit de chillout; busca Deezer ancorada em artista seed e deduplicada globalmente.","verified_deezer_expansion_v6","https://www.youtube.com/results?search_query=Boards%20of%20Canada%20You%20Retreat%20In%20Time%20And%20Space","","",""
