style,artist,country,city,artist_bio,source
psytrance,Infected Mushroom,Israel,,Psytrance de assinatura forte com melodias marcantes e energia de festival.,artist_expansion_v2
psytrance,Ace Ventura,Israel,,Psytrance moderno com groove limpo e leitura progressiva de pista.,artist_expansion_v2
psytrance,Pixel,Israel,,Psytrance direto e melodico ligado a cultura de festa psicodelica.,artist_expansion_v2
psytrance,Dickster,United Kingdom,,Psytrance psicodelico com groove elastico e producao de pista.,artist_expansion_v2
psytrance,Space Tribe,Australia,,Psytrance colorido e classico com identidade de festival psicodelico.,artist_expansion_v2
forest_psy,Southwild,Canada,,Forest psy organico com groove noturno e textura de floresta.,artist_expansion_v2
forest_psy,Onkel Dunkel,Denmark,,Forest psy denso e sinuoso com narrativa subterranea.,artist_expansion_v2
forest_psy,Nargun,Australia,,Forest psy profundo com clima tribal e atmosfera noturna.,artist_expansion_v2
forest_psy,Jangaramongara,Japan,,Forest psy japones com desenho sonoro torto e psicodelia intensa.,artist_expansion_v2
forest_psy,Tengri,North Macedonia,,Forest psy meditativo e organico com progressao ritualistica.,artist_expansion_v2
dark_psy,Para Halu,Hungary,,Dark psy classico com pressao noturna e camadas hipnoticas.,artist_expansion_v2
dark_psy,Kashyyyk,Mexico,,Dark psy latino de alta intensidade com desenho sonoro agressivo.,artist_expansion_v2
dark_psy,Digital Talk,France,,Dark psy tecnico com linhas afiadas e energia de madrugada.,artist_expansion_v2
dark_psy,Jelly Headz,Russia,,Dark psy intenso com timbres acidos e linguagem underground.,artist_expansion_v2
dark_psy,Blisargon Demogorgon,North Macedonia,,Dark psy sombrio com assinatura pesada e atmosferas densas.,artist_expansion_v2
dark_experimental,Kasatka,Russia,,Dark experimental com estruturas densas e psicodelia pouco previsivel.,artist_expansion_v2
dark_experimental,Enichkin,Russia,,Dark experimental de forte imaginario psicodelico e arranjos tortos.,artist_expansion_v2
dark_experimental,Karash,Russia,,Dark experimental rapido com texturas secas e tensao constante.,artist_expansion_v2
dark_experimental,Polyphonia,Greece,,Dark experimental intenso com camadas caoticas e narrativa extrema.,artist_expansion_v2
dark_experimental,Silent Horror,India,,Dark experimental com atmosfera sombria e foco em pista acelerada.,artist_expansion_v2
psycore,Cosmo,Slovakia,,Psycore veloz com humor acido e energia extrema.,artist_expansion_v2
psycore,JunxPunx,Japan,,Psycore japones de alta velocidade e desenho sonoro frenetico.,artist_expansion_v2
psycore,Extraterrestrial,India,,Psycore intenso com BPM alto e atmosfera psicodelica pesada.,artist_expansion_v2
psycore,Polykaos,France,,Psycore de alta pressao com arranjos densos e caoticos.,artist_expansion_v2
psycore,Kalilaskov AS,Russia,,Psycore e hi-tech com energia extrema e timbres cortantes.,artist_expansion_v2
freeform,Tea Chairs,Finland,,Freeform psy finlandes com humor psicodelico e estrutura livre.,artist_expansion_v2
freeform,Aavepyora,Finland,,Freeform suomisaundi com groove brincalhao e timbres organicos.,artist_expansion_v2
freeform,Huopatossu Mononen,Finland,,Freeform finlandes irreverente com identidade suomisaundi.,artist_expansion_v2
freeform,Kiwa,Finland,,Freeform e progressive psy com groove elastico e clima psicodelico.,artist_expansion_v2
freeform,Antiscarp Warriors,Finland,,Freeform suomisaundi de pegada underground e narrativa pouco obvia.,artist_expansion_v2
full_on,Eat Static,United Kingdom,,Full-on e psytrance com heranca rave e sintetizadores expressivos.,artist_expansion_v2
full_on,ManMadeMan,United Kingdom,,Full-on psicodelico classico com groove vivo e linhas acidas.,artist_expansion_v2
full_on,Space Cat,Israel,,Full-on melodico com energia clara e construcao de festival.,artist_expansion_v2
full_on,Waio,Brazil,,Full-on brasileiro moderno com producao limpa e impacto de pista.,artist_expansion_v2
full_on,Braincell,Switzerland,,Full-on tecnico com psicodelia afiada e progressao de madrugada.,artist_expansion_v2
full_on_night,Xerox,Israel,,Full-on noturno com drive firme e tensao psicodelica.,artist_expansion_v2
full_on_night,Menog,Portugal,,Full-on night europeu com energia direta e linhas sombrias.,artist_expansion_v2
full_on_night,Tryambaka,Portugal,,Full-on night pesado com atmosfera de madrugada e pressao constante.,artist_expansion_v2
full_on_night,Dapanji,Israel,,Full-on noturno com drops grandes e energia de festival.,artist_expansion_v2
full_on_night,Azax Syndrom,Israel,,Full-on night intenso com sintetizadores agressivos e groove frontal.,artist_expansion_v2
full_on_morning,U-Recken,Israel,,Full-on morning melodico com abertura emocional e drive limpo.,artist_expansion_v2
full_on_morning,Digicult,Belgium,,Full-on morning luminoso com melodias claras e energia positiva.,artist_expansion_v2
full_on_morning,Tropical Bleyage,Serbia,,Full-on morning expansivo com leads melodicos e vibe solar.,artist_expansion_v2
